symbol,date,open,high,low,close,volume,market_cap
NLG,"Dec 20, 2017",0.162881,0.163915,0.133534,0.149959,"1,031,810","58,355,600"
NLG,"Dec 19, 2017",0.153651,0.176431,0.144872,0.163909,"1,726,640","55,039,600"
NLG,"Dec 18, 2017",0.131877,0.153543,0.121393,0.152262,"1,217,200","47,232,400"
NLG,"Dec 17, 2017",0.120186,0.134188,0.116983,0.131894,"908,581","43,038,000"
NLG,"Dec 16, 2017",0.104462,0.123444,0.104150,0.119992,"771,731","37,401,100"
NLG,"Dec 15, 2017",0.102354,0.113785,0.098786,0.104123,"743,523","36,640,500"
NLG,"Dec 14, 2017",0.090830,0.103389,0.090482,0.100738,"452,041","32,509,900"
NLG,"Dec 13, 2017",0.089353,0.096113,0.086749,0.090951,"321,056","31,976,200"
NLG,"Dec 12, 2017",0.093909,0.099988,0.088077,0.090054,"433,818","33,601,100"
NLG,"Dec 11, 2017",0.086403,0.105772,0.085134,0.095221,"467,558","30,910,400"
NLG,"Dec 10, 2017",0.091565,0.100773,0.081453,0.086885,"448,481","32,752,000"
NLG,"Dec 09, 2017",0.089189,0.092765,0.084576,0.091794,"253,749","31,896,600"
NLG,"Dec 08, 2017",0.091507,0.097555,0.082827,0.089313,"274,112","32,720,200"
NLG,"Dec 07, 2017",0.097890,0.105365,0.084203,0.091034,"526,330","34,997,200"
NLG,"Dec 06, 2017",0.094605,0.103657,0.094199,0.097630,"573,668","33,817,100"
NLG,"Dec 05, 2017",0.091346,0.098208,0.089242,0.095809,"348,530","32,646,800"
NLG,"Dec 04, 2017",0.085362,0.093390,0.084705,0.090740,"263,778","30,503,300"
NLG,"Dec 03, 2017",0.087586,0.094289,0.078001,0.085191,"462,736","31,292,700"
NLG,"Dec 02, 2017",0.090139,0.095616,0.085560,0.087517,"310,008","32,199,900"
NLG,"Dec 01, 2017",0.087165,0.096324,0.083581,0.090212,"225,334","31,132,100"
NLG,"Nov 30, 2017",0.088171,0.095769,0.080697,0.087566,"291,362","31,486,300"
NLG,"Nov 29, 2017",0.094994,0.101747,0.088495,0.088495,"614,038","33,917,500"
NLG,"Nov 28, 2017",0.095130,0.097875,0.091671,0.094230,"266,725","33,960,500"
NLG,"Nov 27, 2017",0.090269,0.097175,0.089938,0.095291,"207,270","32,220,000"
NLG,"Nov 26, 2017",0.090370,0.094523,0.088750,0.090219,"144,084","32,250,800"
NLG,"Nov 25, 2017",0.085891,0.090516,0.084827,0.090413,"99,066","30,647,500"
NLG,"Nov 24, 2017",0.084920,0.092259,0.083729,0.086584,"172,474","30,296,200"
NLG,"Nov 23, 2017",0.086646,0.087414,0.084043,0.085051,"136,863","30,906,900"
NLG,"Nov 22, 2017",0.087106,0.090567,0.084732,0.086644,"140,534","31,065,700"
NLG,"Nov 21, 2017",0.087655,0.090615,0.084460,0.087012,"180,501","31,256,400"
NLG,"Nov 20, 2017",0.085733,0.103016,0.083318,0.087652,"439,214","30,566,200"
NLG,"Nov 19, 2017",0.086236,0.091370,0.081704,0.085848,"149,678","30,740,600"
