symbol,date,open,high,low,close,volume,market_cap
NMC,"Dec 20, 2017",4.39,4.39,3.90,4.21,"1,511,110","64,761,400"
NMC,"Dec 19, 2017",4.96,5.02,4.20,4.40,"1,840,770","73,078,600"
NMC,"Dec 18, 2017",4.45,5.05,4.09,4.96,"2,748,870","65,593,100"
NMC,"Dec 17, 2017",4.42,4.53,4.33,4.46,"856,183","65,097,500"
NMC,"Dec 16, 2017",3.84,4.53,3.72,4.43,"1,619,030","56,520,000"
NMC,"Dec 15, 2017",3.93,3.96,3.46,3.83,"730,462","57,983,000"
NMC,"Dec 14, 2017",3.47,4.12,3.45,3.94,"1,268,850","51,128,300"
NMC,"Dec 13, 2017",3.07,4.24,2.99,3.48,"1,700,900","45,196,000"
NMC,"Dec 12, 2017",2.89,3.15,2.83,3.04,"612,700","42,545,700"
NMC,"Dec 11, 2017",2.65,3.07,2.65,2.89,"530,923","39,123,200"
NMC,"Dec 10, 2017",2.86,2.86,2.55,2.66,"246,317","42,169,800"
NMC,"Dec 09, 2017",2.91,3.01,2.66,2.86,"296,475","42,887,700"
NMC,"Dec 08, 2017",2.81,2.97,2.52,2.91,"698,644","41,434,300"
NMC,"Dec 07, 2017",2.50,2.82,2.43,2.82,"1,042,260","36,783,400"
NMC,"Dec 06, 2017",2.89,3.03,2.41,2.50,"1,734,590","42,654,100"
NMC,"Dec 05, 2017",2.38,3.18,2.30,2.91,"5,184,740","35,062,600"
NMC,"Dec 04, 2017",2.30,2.40,2.23,2.38,"267,053","33,920,000"
NMC,"Dec 03, 2017",2.40,2.55,2.15,2.30,"496,224","35,420,300"
NMC,"Dec 02, 2017",2.46,2.48,2.37,2.39,"208,115","36,311,100"
NMC,"Dec 01, 2017",2.35,2.49,2.18,2.45,"421,603","34,589,400"
NMC,"Nov 30, 2017",2.40,2.72,2.13,2.34,"690,465","35,367,100"
NMC,"Nov 29, 2017",2.08,2.94,2.01,2.39,"3,785,280","30,676,100"
NMC,"Nov 28, 2017",1.94,2.13,1.93,2.03,"614,490","28,626,700"
NMC,"Nov 27, 2017",1.73,2.07,1.70,1.94,"730,630","25,564,200"
NMC,"Nov 26, 2017",1.73,1.81,1.70,1.73,"331,006","25,531,400"
NMC,"Nov 25, 2017",1.66,1.79,1.64,1.73,"333,293","24,427,300"
NMC,"Nov 24, 2017",1.60,1.67,1.58,1.67,"230,436","23,625,900"
NMC,"Nov 23, 2017",1.60,1.62,1.56,1.60,"205,220","23,590,700"
NMC,"Nov 22, 2017",1.46,1.63,1.44,1.60,"341,967","21,568,800"
NMC,"Nov 21, 2017",1.50,1.53,1.45,1.47,"129,526","22,102,100"
NMC,"Nov 20, 2017",1.53,1.55,1.50,1.51,"98,520","22,608,900"
NMC,"Nov 19, 2017",1.58,1.60,1.52,1.54,"107,091","23,222,100"
NMC,"Nov 18, 2017",1.55,1.61,1.50,1.60,"155,497","22,862,700"
NMC,"Nov 17, 2017",1.47,1.61,1.43,1.55,"311,796","21,618,700"
NMC,"Nov 16, 2017",1.48,1.51,1.44,1.47,"170,890","21,783,000"
NMC,"Nov 15, 2017",1.39,1.50,1.39,1.48,"132,818","20,501,400"
NMC,"Nov 14, 2017",1.39,1.41,1.36,1.39,"120,290","20,465,400"
NMC,"Nov 13, 2017",1.36,1.43,1.35,1.39,"301,701","20,010,500"
