symbol,date,open,high,low,close,volume,market_cap
NXS,"Dec 20, 2017",4.00,4.43,3.32,4.03,"6,697,240","217,690,000"
NXS,"Dec 19, 2017",4.27,4.31,3.62,3.91,"2,435,640","232,329,000"
NXS,"Dec 18, 2017",3.72,4.26,3.57,4.26,"2,064,440","202,664,000"
NXS,"Dec 17, 2017",3.80,4.25,3.63,3.72,"2,727,650","207,025,000"
NXS,"Dec 16, 2017",4.01,4.08,3.58,3.83,"4,327,430","218,083,000"
NXS,"Dec 15, 2017",3.20,4.06,2.83,4.03,"7,751,370","173,778,000"
NXS,"Dec 14, 2017",2.78,3.29,2.63,3.20,"2,682,170","151,089,000"
NXS,"Dec 13, 2017",2.47,3.08,2.38,2.79,"3,661,090","134,122,000"
NXS,"Dec 12, 2017",2.30,2.58,2.25,2.47,"1,213,530","125,211,000"
NXS,"Dec 11, 2017",2.16,2.45,2.10,2.30,"1,084,050","117,384,000"
NXS,"Dec 10, 2017",2.39,2.43,1.93,2.19,"3,406,970","129,961,000"
NXS,"Dec 09, 2017",1.78,2.56,1.72,2.39,"2,536,800","96,584,000"
NXS,"Dec 08, 2017",1.79,1.92,1.59,1.86,"978,571","97,347,700"
NXS,"Dec 07, 2017",1.80,2.05,1.72,1.76,"1,599,790","97,619,400"
NXS,"Dec 06, 2017",1.83,2.06,1.71,1.81,"2,945,060","99,009,100"
NXS,"Dec 05, 2017",1.72,2.44,1.70,1.83,"6,097,360","93,180,700"
NXS,"Dec 04, 2017",1.44,1.87,1.43,1.72,"1,368,170","78,094,500"
NXS,"Dec 03, 2017",1.48,1.59,1.35,1.44,"483,147","79,888,700"
NXS,"Dec 02, 2017",1.52,1.58,1.47,1.47,"545,670","81,996,100"
NXS,"Dec 01, 2017",1.39,1.56,1.29,1.53,"566,652","75,323,300"
NXS,"Nov 30, 2017",1.15,1.47,1.12,1.40,"1,092,720","62,284,400"
NXS,"Nov 29, 2017",1.30,1.63,1.14,1.14,"1,650,700","70,443,100"
NXS,"Nov 28, 2017",1.43,1.45,1.30,1.30,"836,867","77,262,400"
NXS,"Nov 27, 2017",1.42,1.51,1.36,1.43,"1,122,850","76,661,500"
NXS,"Nov 26, 2017",1.55,1.56,1.36,1.44,"2,144,110","83,909,600"
NXS,"Nov 25, 2017",1.68,1.78,1.49,1.54,"5,478,260","90,814,600"
NXS,"Nov 24, 2017",1.33,2.08,1.16,1.63,"11,113,400","71,580,800"
NXS,"Nov 23, 2017",1.02,1.70,1.02,1.44,"2,502,290","55,258,200"
