symbol,date,open,high,low,close,volume,market_cap
OBITS,"Dec 20, 2017",1.64,2.07,1.34,1.72,"92,304","25,903,300"
OBITS,"Dec 19, 2017",2.17,2.21,1.44,1.64,"93,604","34,235,000"
OBITS,"Dec 18, 2017",1.70,2.17,1.47,2.16,"67,159","26,804,400"
OBITS,"Dec 17, 2017",1.77,1.94,1.56,1.64,"43,715","27,908,700"
OBITS,"Dec 16, 2017",1.66,3.01,1.52,1.77,"247,894","26,098,300"
OBITS,"Dec 15, 2017",1.70,1.74,1.27,1.65,"228,776","26,845,000"
OBITS,"Dec 14, 2017",1.20,1.70,1.20,1.70,"157,170","18,960,900"
OBITS,"Dec 13, 2017",1.15,1.34,1.07,1.20,"42,755","18,057,700"
OBITS,"Dec 12, 2017",1.16,1.24,1.01,1.14,"34,983","18,280,100"
OBITS,"Dec 11, 2017",1.13,1.23,1.09,1.16,"38,224","17,756,500"
OBITS,"Dec 10, 2017",1.17,1.17,0.981871,1.12,"41,652","18,356,500"
OBITS,"Dec 09, 2017",1.24,1.36,1.03,1.16,"47,960","19,578,700"
OBITS,"Dec 08, 2017",1.18,1.26,1.03,1.23,"13,622","18,551,300"
OBITS,"Dec 07, 2017",1.07,1.21,1.07,1.18,"31,852","16,866,200"
OBITS,"Dec 06, 2017",1.05,1.19,1.02,1.07,"46,163","16,567,600"
OBITS,"Dec 05, 2017",1.12,1.15,1.02,1.03,"38,448","17,661,200"
OBITS,"Dec 04, 2017",1.04,1.18,0.991791,1.13,"45,587","16,333,000"
OBITS,"Dec 03, 2017",1.00,1.10,0.991026,1.03,"65,033","15,764,700"
OBITS,"Dec 02, 2017",0.897815,1.14,0.808547,1.00,"203,616","14,176,400"
OBITS,"Dec 01, 2017",0.769717,0.913902,0.689978,0.897128,"91,241","12,153,700"
OBITS,"Nov 30, 2017",0.756925,0.829717,0.686451,0.778159,"26,631","11,951,800"
OBITS,"Nov 29, 2017",0.906305,0.960185,0.692240,0.753911,"26,535","14,310,500"
OBITS,"Nov 28, 2017",0.827939,0.923569,0.807568,0.908025,"45,993","13,073,100"
OBITS,"Nov 27, 2017",0.752840,0.826383,0.752840,0.823416,"25,888","11,887,300"
OBITS,"Nov 26, 2017",0.725136,0.780958,0.717315,0.752378,"20,708","11,449,800"
OBITS,"Nov 25, 2017",0.702108,0.737809,0.686098,0.724722,"6,353","11,086,200"
OBITS,"Nov 24, 2017",0.677687,0.738599,0.665527,0.704222,"15,844","10,700,600"
OBITS,"Nov 23, 2017",0.697505,0.717907,0.661961,0.682451,"8,879","11,013,500"
OBITS,"Nov 22, 2017",0.657055,0.730053,0.618924,0.699422,"10,299","10,374,800"
OBITS,"Nov 21, 2017",0.595129,0.703454,0.581310,0.656249,"23,067","9,397,020"
OBITS,"Nov 20, 2017",0.630071,0.680972,0.592181,0.593686,"39,650","9,948,760"
OBITS,"Nov 19, 2017",0.589827,0.620952,0.582062,0.608947,"32,970","9,313,310"
OBITS,"Nov 18, 2017",0.564530,0.726312,0.537700,0.590424,"25,616","8,913,880"
OBITS,"Nov 17, 2017",0.550165,0.588102,0.532504,0.566569,"11,364","8,687,050"
OBITS,"Nov 16, 2017",0.598977,0.613468,0.542202,0.555600,"9,609","9,457,790"
OBITS,"Nov 15, 2017",0.538877,0.633025,0.519523,0.596266,"13,270","8,508,810"
OBITS,"Nov 14, 2017",0.535131,0.551414,0.461720,0.528630,"9,117","8,449,670"
OBITS,"Nov 13, 2017",0.509796,0.564046,0.499854,0.540965,"6,101","8,049,630"
OBITS,"Nov 12, 2017",0.533953,0.557190,0.474111,0.509797,"13,773","8,431,060"
OBITS,"Nov 11, 2017",0.505964,0.609522,0.474116,0.537792,"23,499","7,989,120"
