symbol,date,open,high,low,close,volume,market_cap
OK,"Dec 20, 2017",0.641016,0.650268,0.529136,0.562353,"5,393,740","47,111,900"
OK,"Dec 19, 2017",0.667698,0.725529,0.561270,0.639746,"9,459,000","49,069,500"
OK,"Dec 18, 2017",0.573773,0.665767,0.551331,0.665767,"8,612,640","42,163,900"
OK,"Dec 17, 2017",0.521154,0.647434,0.521154,0.571776,"10,952,200","38,288,700"
OK,"Dec 16, 2017",0.481894,0.541919,0.473885,0.520491,"4,284,670","35,401,000"
OK,"Dec 15, 2017",0.494483,0.502207,0.455409,0.481392,"3,701,490","36,321,800"
OK,"Dec 14, 2017",0.494039,0.527714,0.466901,0.498197,"5,768,090","36,286,300"
OK,"Dec 13, 2017",0.473495,0.519662,0.443866,0.495742,"4,497,310","34,773,900"
OK,"Dec 12, 2017",0.448236,0.487018,0.430739,0.472560,"4,612,500","32,914,300"
OK,"Dec 11, 2017",0.390337,0.470809,0.386562,0.444961,"2,988,500","28,659,100"
OK,"Dec 10, 2017",0.446209,0.446209,0.349003,0.391059,"2,881,610","32,757,500"
OK,"Dec 09, 2017",0.470817,0.496753,0.408883,0.447978,"2,854,840","34,559,300"
OK,"Dec 08, 2017",0.442624,0.514455,0.378853,0.470835,"6,876,930","32,483,600"
OK,"Dec 07, 2017",0.457520,0.668554,0.424740,0.450715,"18,227,200","33,573,300"
OK,"Dec 06, 2017",0.518581,0.518927,0.443433,0.459944,"8,168,780","38,051,700"
OK,"Dec 05, 2017",0.537318,0.643930,0.519637,0.522284,"18,044,100","39,423,900"
OK,"Dec 04, 2017",0.421513,0.550485,0.415838,0.535044,"13,694,200","30,924,900"
OK,"Dec 03, 2017",0.419373,0.440889,0.381148,0.415547,"2,714,840","30,766,300"
OK,"Dec 02, 2017",0.404139,0.450925,0.386949,0.418871,"4,271,510","29,647,000"
OK,"Dec 01, 2017",0.341268,0.404868,0.323730,0.404696,"3,560,190","25,033,000"
OK,"Nov 30, 2017",0.309023,0.380679,0.284171,0.342904,"2,068,500","22,666,200"
OK,"Nov 29, 2017",0.397332,0.416679,0.309419,0.309419,"3,620,070","29,141,900"
OK,"Nov 28, 2017",0.451682,0.477236,0.395809,0.399080,"7,251,720","33,126,100"
OK,"Nov 27, 2017",0.403493,0.470808,0.388180,0.448958,"8,889,090","29,588,800"
OK,"Nov 26, 2017",0.404098,0.433851,0.387330,0.402845,"5,354,700","29,631,400"
OK,"Nov 25, 2017",0.421352,0.440857,0.408137,0.410973,"4,829,330","30,894,900"
OK,"Nov 24, 2017",0.460834,0.476219,0.402936,0.421875,"6,809,970","33,786,300"
OK,"Nov 23, 2017",0.501695,0.502842,0.444135,0.458299,"4,890,360","36,777,300"
OK,"Nov 22, 2017",0.429260,0.513429,0.419859,0.507914,"6,215,640","31,462,500"
OK,"Nov 21, 2017",0.430169,0.450278,0.394570,0.425996,"2,521,800","31,525,300"
OK,"Nov 20, 2017",0.442343,0.468036,0.428753,0.430919,"3,872,450","32,397,500"
OK,"Nov 19, 2017",0.427400,0.459078,0.410049,0.442552,"4,684,060","31,299,800"
OK,"Nov 18, 2017",0.448830,0.448830,0.416273,0.428271,"2,948,230","32,867,600"
OK,"Nov 17, 2017",0.399155,0.477062,0.363196,0.462237,"6,311,260","29,226,400"
OK,"Nov 16, 2017",0.485743,0.485743,0.386575,0.392930,"5,357,960","35,558,500"
OK,"Nov 15, 2017",0.467499,0.512380,0.456056,0.489190,"5,189,690","34,221,000"
OK,"Nov 14, 2017",0.453171,0.505274,0.413266,0.473055,"12,351,800","33,168,800"
OK,"Nov 13, 2017",0.331606,0.545894,0.331606,0.452988,"27,298,600","24,269,200"
OK,"Nov 12, 2017",0.319690,0.353363,0.235118,0.334028,"4,861,580","23,395,700"
OK,"Nov 11, 2017",0.316212,0.352022,0.303881,0.318102,"3,280,300","23,139,300"
OK,"Nov 10, 2017",0.326110,0.369178,0.286386,0.319960,"6,920,590","23,861,900"
OK,"Nov 09, 2017",0.268971,0.344397,0.264200,0.330021,"3,633,670","19,679,600"
OK,"Nov 08, 2017",0.242166,0.279200,0.237581,0.270724,"1,390,980","17,717,200"
OK,"Nov 07, 2017",0.254631,0.263266,0.237617,0.242921,"872,197","18,628,100"
OK,"Nov 06, 2017",0.280777,0.288679,0.248573,0.253445,"1,821,790","20,539,500"
