symbol,date,open,high,low,close,volume,market_cap
OMNI,"Dec 20, 2017",76.85,82.98,63.23,71.72,"1,035,650","43,061,400"
OMNI,"Dec 19, 2017",70.34,83.61,63.58,75.92,"1,262,050","39,410,500"
OMNI,"Dec 18, 2017",66.96,71.01,63.15,70.34,"495,103","37,519,500"
OMNI,"Dec 17, 2017",69.88,71.79,63.07,66.76,"799,981","39,151,000"
OMNI,"Dec 16, 2017",56.68,70.37,56.46,69.87,"574,265","31,756,300"
OMNI,"Dec 15, 2017",53.54,65.78,52.13,56.60,"1,024,200","29,996,000"
OMNI,"Dec 14, 2017",50.10,53.96,48.61,53.46,"455,879","28,071,500"
OMNI,"Dec 13, 2017",46.53,53.18,46.02,50.26,"355,323","26,070,400"
OMNI,"Dec 12, 2017",44.96,50.13,43.82,46.72,"242,428","25,188,300"
OMNI,"Dec 11, 2017",42.33,47.24,41.04,45.06,"182,261","23,715,100"
OMNI,"Dec 10, 2017",45.36,45.36,38.66,42.48,"168,455","25,412,100"
OMNI,"Dec 09, 2017",49.22,51.81,41.22,45.18,"407,650","27,573,200"
OMNI,"Dec 08, 2017",50.06,53.56,39.67,49.86,"423,968","28,048,200"
OMNI,"Dec 07, 2017",46.02,57.81,44.21,49.95,"1,149,510","25,779,500"
OMNI,"Dec 06, 2017",40.86,52.00,40.41,46.78,"1,535,790","22,888,300"
OMNI,"Dec 05, 2017",37.04,41.38,36.56,41.26,"234,080","20,751,000"
OMNI,"Dec 04, 2017",36.48,40.08,36.36,37.72,"280,772","20,433,900"
OMNI,"Dec 03, 2017",35.13,38.69,34.24,36.35,"229,623","19,679,100"
OMNI,"Dec 02, 2017",31.15,35.28,31.14,34.91,"294,140","17,451,100"
OMNI,"Dec 01, 2017",30.03,32.66,27.71,31.18,"188,354","16,820,600"
OMNI,"Nov 30, 2017",29.06,32.03,26.86,30.18,"93,880","16,280,400"
OMNI,"Nov 29, 2017",33.51,36.06,27.94,28.66,"184,013","18,774,000"
OMNI,"Nov 28, 2017",30.05,35.00,29.28,33.78,"383,463","16,832,200"
OMNI,"Nov 27, 2017",28.37,30.42,27.76,30.26,"119,479","15,893,300"
OMNI,"Nov 26, 2017",27.93,29.00,26.85,28.37,"127,194","15,646,700"
OMNI,"Nov 25, 2017",26.96,28.32,26.43,27.94,"171,732","15,104,700"
OMNI,"Nov 24, 2017",25.24,29.50,24.06,27.02,"386,055","14,139,600"
OMNI,"Nov 23, 2017",24.01,25.50,23.79,25.28,"101,578","13,449,500"
OMNI,"Nov 22, 2017",24.01,24.91,23.45,24.02,"89,978","13,450,900"
OMNI,"Nov 21, 2017",23.48,26.58,21.88,23.95,"175,328","13,151,900"
OMNI,"Nov 20, 2017",23.16,25.75,22.52,23.51,"184,503","12,970,200"
OMNI,"Nov 19, 2017",24.50,24.53,22.53,23.08,"100,307","13,722,300"
OMNI,"Nov 18, 2017",22.20,24.75,21.93,24.72,"76,105","12,432,800"
OMNI,"Nov 17, 2017",24.18,24.45,22.07,22.16,"53,644","13,546,400"
OMNI,"Nov 16, 2017",24.09,24.93,23.31,24.25,"97,278","13,495,500"
OMNI,"Nov 15, 2017",24.51,25.57,23.65,23.97,"99,744","13,727,100"
OMNI,"Nov 14, 2017",23.42,25.32,22.69,25.07,"118,908","13,118,500"
OMNI,"Nov 13, 2017",20.83,26.59,20.83,23.37,"296,910","11,667,800"
OMNI,"Nov 12, 2017",25.19,25.56,20.06,20.80,"2,798,390","14,108,500"
OMNI,"Nov 11, 2017",20.37,26.85,20.34,25.23,"568,172","11,407,700"
OMNI,"Nov 10, 2017",24.63,25.51,20.54,20.54,"106,062","13,797,000"
OMNI,"Nov 09, 2017",23.37,25.86,23.06,24.56,"266,826","13,087,800"
OMNI,"Nov 08, 2017",22.75,24.85,21.65,23.28,"1,402,720","12,742,400"
OMNI,"Nov 07, 2017",21.13,25.20,21.13,22.82,"321,662","11,835,100"
OMNI,"Nov 06, 2017",22.84,22.84,20.92,21.17,"141,390","12,793,800"
OMNI,"Nov 05, 2017",22.99,25.27,21.53,22.79,"731,332","12,874,800"
OMNI,"Nov 04, 2017",18.71,25.92,18.30,22.74,"418,830","10,475,900"
OMNI,"Nov 03, 2017",18.74,23.77,18.17,18.75,"377,276","10,492,500"
OMNI,"Nov 02, 2017",20.93,21.49,17.09,18.76,"438,128","11,721,800"
OMNI,"Nov 01, 2017",22.36,22.65,20.81,20.96,"557,335","12,520,900"
OMNI,"Oct 31, 2017",21.71,24.80,21.38,22.37,"247,767","12,160,700"
OMNI,"Oct 30, 2017",23.09,23.25,21.29,21.79,"123,840","12,930,700"
OMNI,"Oct 29, 2017",22.63,24.66,21.53,23.22,"336,978","12,670,500"
OMNI,"Oct 28, 2017",22.48,27.10,21.63,22.49,"580,518","12,589,600"
OMNI,"Oct 27, 2017",19.90,24.52,19.60,22.90,"1,669,920","11,144,100"
OMNI,"Oct 26, 2017",21.14,21.44,19.37,19.90,"230,767","11,837,300"
OMNI,"Oct 25, 2017",21.43,21.58,19.67,21.14,"164,958","11,998,300"
OMNI,"Oct 24, 2017",18.88,23.64,18.06,21.19,"387,168","10,573,600"
OMNI,"Oct 23, 2017",20.95,21.40,18.52,18.88,"503,824","11,730,300"
OMNI,"Oct 22, 2017",20.51,22.02,19.63,21.06,"160,556","11,483,000"
OMNI,"Oct 21, 2017",23.26,25.70,19.79,20.63,"664,713","13,023,000"
OMNI,"Oct 20, 2017",21.62,27.57,21.13,23.31,"859,988","12,107,400"
OMNI,"Oct 19, 2017",23.01,23.35,20.97,21.58,"175,648","12,885,000"
OMNI,"Oct 18, 2017",23.13,23.68,21.23,23.56,"162,659","12,953,200"
OMNI,"Oct 17, 2017",26.10,26.74,22.65,23.13,"316,728","14,615,300"
OMNI,"Oct 16, 2017",26.00,28.08,22.56,26.10,"463,455","14,558,900"
OMNI,"Oct 15, 2017",23.82,30.01,22.43,25.93,"955,019","13,337,800"
OMNI,"Oct 14, 2017",29.19,29.19,22.82,23.78,"646,133","16,342,300"
OMNI,"Oct 13, 2017",32.06,46.81,24.88,29.54,"5,066,050","17,948,300"
OMNI,"Oct 12, 2017",20.12,69.47,19.82,31.79,"9,668,720","11,264,100"
OMNI,"Oct 11, 2017",19.09,20.25,18.97,20.18,"58,471","10,687,800"
OMNI,"Oct 10, 2017",19.14,20.42,18.68,19.09,"103,908","10,718,100"
OMNI,"Oct 09, 2017",22.84,26.34,18.70,19.38,"369,834","12,786,800"
OMNI,"Oct 08, 2017",21.17,24.10,19.97,22.86,"1,029,260","11,852,000"
OMNI,"Oct 07, 2017",22.17,22.17,20.45,21.13,"44,280","12,411,400"
OMNI,"Oct 06, 2017",22.46,23.04,21.68,22.16,"55,524","12,574,800"
OMNI,"Oct 05, 2017",23.18,23.39,21.57,22.46,"63,553","12,977,100"
OMNI,"Oct 04, 2017",22.97,25.37,22.07,23.16,"666,590","12,860,600"
OMNI,"Oct 03, 2017",24.21,24.74,22.47,22.92,"100,036","13,551,300"
OMNI,"Oct 02, 2017",25.44,25.74,23.75,24.20,"92,421","14,239,900"
OMNI,"Oct 01, 2017",26.95,28.13,24.85,25.45,"368,433","15,085,400"
OMNI,"Sep 30, 2017",25.81,27.43,25.77,26.93,"546,115","14,450,700"
OMNI,"Sep 29, 2017",26.48,26.57,24.96,25.64,"71,375","14,821,800"
OMNI,"Sep 28, 2017",26.63,27.38,25.79,26.40,"65,499","14,907,100"
OMNI,"Sep 27, 2017",25.67,27.15,25.22,26.41,"97,720","14,369,400"
OMNI,"Sep 26, 2017",26.02,26.80,25.40,25.74,"98,657","14,568,500"
OMNI,"Sep 25, 2017",25.90,27.83,24.51,25.99,"369,542","14,499,900"
OMNI,"Sep 24, 2017",23.72,27.90,22.29,26.45,"1,834,200","13,277,700"
OMNI,"Sep 23, 2017",22.40,23.72,22.28,23.61,"40,888","12,540,800"
OMNI,"Sep 22, 2017",22.71,24.06,22.03,22.39,"36,257","12,713,300"
OMNI,"Sep 21, 2017",25.43,26.91,22.62,22.74,"196,909","14,235,000"
OMNI,"Sep 20, 2017",25.34,26.79,25.05,25.56,"96,723","14,184,300"
OMNI,"Sep 19, 2017",26.31,27.87,24.68,25.37,"113,419","14,728,000"
OMNI,"Sep 18, 2017",23.68,29.03,23.68,26.25,"135,525","13,257,500"
OMNI,"Sep 17, 2017",23.12,24.46,22.08,23.73,"64,947","12,944,000"
OMNI,"Sep 16, 2017",23.72,25.30,22.20,23.46,"144,153","13,277,900"
OMNI,"Sep 15, 2017",21.52,24.61,18.93,23.78,"122,332","12,047,700"
OMNI,"Sep 14, 2017",27.76,28.57,21.36,21.36,"149,266","15,538,000"
OMNI,"Sep 13, 2017",30.37,30.94,26.61,27.80,"173,647","16,996,700"
OMNI,"Sep 12, 2017",30.85,33.48,30.19,30.95,"216,330","17,268,000"
OMNI,"Sep 11, 2017",30.87,31.86,29.39,30.82,"178,468","17,275,900"
OMNI,"Sep 10, 2017",32.88,33.77,29.42,30.92,"113,102","18,402,300"
OMNI,"Sep 09, 2017",33.62,34.99,30.30,32.92,"144,783","18,819,500"
OMNI,"Sep 08, 2017",39.44,40.17,30.40,32.72,"716,657","22,075,900"
OMNI,"Sep 07, 2017",31.10,41.78,29.69,39.91,"1,235,580","17,405,800"
OMNI,"Sep 06, 2017",28.59,31.98,28.57,31.16,"158,000","16,000,500"
OMNI,"Sep 05, 2017",28.95,29.74,26.43,28.55,"113,831","16,200,700"
OMNI,"Sep 04, 2017",32.61,33.15,26.90,28.61,"173,254","18,253,100"
OMNI,"Sep 03, 2017",31.53,33.26,31.52,32.75,"83,536","17,648,300"
OMNI,"Sep 02, 2017",35.02,36.52,30.70,31.56,"251,788","19,601,200"
OMNI,"Sep 01, 2017",35.09,35.91,33.18,34.98,"298,927","19,638,200"
OMNI,"Aug 31, 2017",35.67,35.99,33.90,35.08,"204,565","19,964,700"
OMNI,"Aug 30, 2017",37.16,37.27,33.10,35.74,"178,340","20,797,900"
OMNI,"Aug 29, 2017",39.14,39.17,36.48,37.21,"305,060","21,902,500"
OMNI,"Aug 28, 2017",35.57,39.17,34.52,39.09,"242,287","19,903,000"
OMNI,"Aug 27, 2017",35.59,36.53,34.88,35.60,"230,555","19,915,600"
OMNI,"Aug 26, 2017",36.78,36.79,34.10,35.68,"377,484","20,583,100"
OMNI,"Aug 25, 2017",38.67,42.36,34.13,36.77,"809,993","21,637,000"
OMNI,"Aug 24, 2017",31.53,41.82,30.10,38.80,"966,378","17,641,200"
OMNI,"Aug 23, 2017",29.93,32.94,28.83,31.46,"287,304","16,750,700"
OMNI,"Aug 22, 2017",28.86,30.91,27.74,30.20,"346,416","16,152,000"
OMNI,"Aug 21, 2017",28.39,33.38,25.32,28.76,"820,035","15,888,600"
OMNI,"Aug 20, 2017",27.83,29.54,25.17,28.50,"245,979","15,574,600"
OMNI,"Aug 19, 2017",25.49,33.68,22.52,28.29,"367,663","14,261,200"
OMNI,"Aug 18, 2017",25.40,26.26,23.71,24.31,"183,368","14,209,900"
OMNI,"Aug 17, 2017",28.49,28.87,24.60,25.12,"132,980","15,942,100"
OMNI,"Aug 16, 2017",25.91,29.42,24.99,28.65,"227,848","14,497,000"
OMNI,"Aug 15, 2017",25.56,30.01,22.92,25.88,"263,637","14,303,200"
OMNI,"Aug 14, 2017",26.68,27.77,24.28,25.49,"284,993","14,927,700"
OMNI,"Aug 13, 2017",30.45,31.81,26.33,26.66,"331,915","17,035,600"
OMNI,"Aug 12, 2017",29.16,37.06,28.78,30.41,"805,200","16,317,600"
OMNI,"Aug 11, 2017",31.84,32.76,27.20,29.19,"538,721","17,815,600"
OMNI,"Aug 10, 2017",34.34,36.94,31.84,31.84,"351,792","19,214,600"
OMNI,"Aug 09, 2017",31.74,40.42,31.40,34.57,"483,879","17,758,200"
OMNI,"Aug 08, 2017",32.19,32.89,30.83,31.84,"226,228","18,006,900"
OMNI,"Aug 07, 2017",33.05,34.27,30.77,31.82,"222,199","18,489,200"
OMNI,"Aug 06, 2017",33.29,35.08,32.25,33.12,"135,853","18,625,600"
OMNI,"Aug 05, 2017",33.27,35.67,31.97,33.46,"162,809","18,611,200"
OMNI,"Aug 04, 2017",33.10,33.72,31.73,33.28,"135,034","18,518,000"
OMNI,"Aug 03, 2017",33.84,34.48,31.07,33.11,"239,232","18,931,400"
OMNI,"Aug 02, 2017",31.24,35.14,30.60,33.19,"262,426","17,478,200"
OMNI,"Aug 01, 2017",28.87,33.34,28.48,31.00,"212,564","16,149,400"
OMNI,"Jul 31, 2017",31.47,31.97,28.44,28.85,"86,254","17,602,800"
OMNI,"Jul 30, 2017",32.40,34.07,30.46,31.43,"70,412","18,125,600"
OMNI,"Jul 29, 2017",32.27,33.06,31.20,32.21,"142,987","18,054,800"
OMNI,"Jul 28, 2017",36.50,36.85,32.60,33.18,"163,861","20,420,600"
OMNI,"Jul 27, 2017",36.01,37.55,34.34,36.40,"126,302","20,143,700"
OMNI,"Jul 26, 2017",35.21,36.86,33.68,35.91,"97,651","19,695,500"
OMNI,"Jul 25, 2017",44.61,45.27,34.52,35.55,"242,146","24,953,400"
OMNI,"Jul 24, 2017",44.84,51.92,42.85,44.61,"585,886","25,080,600"
OMNI,"Jul 23, 2017",41.18,46.94,38.72,44.92,"403,090","23,037,300"
OMNI,"Jul 22, 2017",37.31,41.86,37.13,41.36,"181,405","20,869,800"
OMNI,"Jul 21, 2017",39.21,40.68,36.44,37.32,"149,884","21,929,400"
OMNI,"Jul 20, 2017",30.62,40.38,30.22,38.97,"426,137","17,126,300"
OMNI,"Jul 19, 2017",34.44,35.44,30.01,30.44,"233,588","19,261,900"
OMNI,"Jul 18, 2017",33.19,34.80,30.34,34.38,"147,457","18,562,500"
OMNI,"Jul 17, 2017",25.96,34.11,25.30,33.13,"205,818","14,518,600"
OMNI,"Jul 16, 2017",28.11,29.08,22.96,26.04,"144,802","15,721,500"
OMNI,"Jul 15, 2017",32.73,32.79,27.85,28.35,"82,509","18,307,800"
OMNI,"Jul 14, 2017",35.73,36.31,30.66,32.81,"114,194","19,985,600"
OMNI,"Jul 13, 2017",39.51,44.38,35.21,35.42,"246,184","22,095,200"
OMNI,"Jul 12, 2017",32.12,39.09,31.18,39.09,"285,084","17,964,300"
OMNI,"Jul 11, 2017",40.02,40.85,29.04,32.28,"437,408","22,380,500"
OMNI,"Jul 10, 2017",49.99,52.76,38.33,40.10,"473,786","27,960,200"
OMNI,"Jul 09, 2017",52.88,55.69,49.81,49.81,"195,775","29,576,500"
OMNI,"Jul 08, 2017",51.79,53.86,47.85,52.30,"405,515","28,965,400"
OMNI,"Jul 07, 2017",59.51,64.02,51.39,51.75,"754,264","33,278,300"
OMNI,"Jul 06, 2017",49.78,65.39,48.79,59.92,"2,475,610","27,841,000"
OMNI,"Jul 05, 2017",52.95,52.95,48.82,50.16,"230,220","29,612,300"
OMNI,"Jul 04, 2017",50.07,57.65,49.41,52.87,"671,283","28,002,200"
OMNI,"Jul 03, 2017",48.42,59.16,45.54,50.66,"1,002,180","27,076,400"
OMNI,"Jul 02, 2017",48.31,49.48,44.52,48.62,"488,617","27,017,500"
OMNI,"Jul 01, 2017",56.00,57.59,48.30,48.30,"598,382","31,317,700"
OMNI,"Jun 30, 2017",65.91,66.62,54.83,55.87,"1,431,050","36,857,200"
OMNI,"Jun 29, 2017",71.37,72.24,64.11,66.45,"783,316","39,908,900"
OMNI,"Jun 28, 2017",67.66,80.24,67.03,70.06,"1,802,370","37,834,200"
OMNI,"Jun 27, 2017",67.81,69.95,54.08,67.22,"1,901,700","37,915,000"
