symbol,date,open,high,low,close,volume,market_cap
PASC,"Dec 20, 2017",1.45,1.46,1.20,1.39,"518,373","23,535,100"
PASC,"Dec 19, 2017",1.61,1.64,1.40,1.44,"533,311","25,915,300"
PASC,"Dec 18, 2017",1.59,1.66,1.46,1.59,"475,390","25,575,400"
PASC,"Dec 17, 2017",1.48,1.66,1.45,1.58,"420,371","23,802,100"
PASC,"Dec 16, 2017",1.79,1.82,1.41,1.50,"829,839","28,780,200"
PASC,"Dec 15, 2017",1.26,1.88,1.25,1.74,"2,131,760","20,147,700"
PASC,"Dec 14, 2017",1.05,1.31,1.01,1.24,"607,700","16,764,200"
PASC,"Dec 13, 2017",1.01,1.06,0.950268,1.05,"133,004","16,158,000"
PASC,"Dec 12, 2017",0.982419,1.11,0.942268,1.01,"371,197","15,655,000"
PASC,"Dec 11, 2017",1.02,1.10,0.954155,0.979275,"213,021","16,186,700"
PASC,"Dec 10, 2017",0.856236,1.04,0.795766,1.03,"605,570","13,594,100"
PASC,"Dec 09, 2017",0.839051,0.906449,0.721226,0.852781,"94,453","13,295,000"
PASC,"Dec 08, 2017",0.783422,0.956773,0.646360,0.842665,"312,189","12,391,400"
PASC,"Dec 07, 2017",0.837751,0.846119,0.674479,0.781237,"311,781","13,224,200"
PASC,"Dec 06, 2017",0.771783,0.850385,0.771783,0.833827,"147,564","12,161,800"
PASC,"Dec 05, 2017",0.813607,0.836125,0.772043,0.780651,"151,234","12,794,900"
PASC,"Dec 04, 2017",0.733188,0.821480,0.717496,0.814686,"119,624","11,507,300"
PASC,"Dec 03, 2017",0.734719,0.836917,0.687389,0.730766,"193,636","11,510,300"
PASC,"Dec 02, 2017",0.771483,0.779065,0.690231,0.734018,"171,337","12,062,600"
PASC,"Dec 01, 2017",0.686525,0.772140,0.658600,0.772140,"78,754","10,714,700"
PASC,"Nov 30, 2017",0.658522,0.762612,0.645742,0.688136,"117,085","10,257,500"
PASC,"Nov 29, 2017",0.785301,0.898653,0.645648,0.655142,"422,955","12,208,800"
PASC,"Nov 28, 2017",0.737799,0.871828,0.697632,0.786083,"282,259","11,448,100"
PASC,"Nov 27, 2017",0.680564,0.736861,0.663013,0.735893,"130,896","10,539,800"
PASC,"Nov 26, 2017",0.666117,0.686443,0.643392,0.680434,"115,515","10,296,200"
PASC,"Nov 25, 2017",0.603432,0.688767,0.599922,0.666952,"102,401","9,309,090"
PASC,"Nov 24, 2017",0.612825,0.651082,0.592739,0.604654,"95,460","9,435,350"
PASC,"Nov 23, 2017",0.648720,0.677671,0.608271,0.608271,"119,823","9,969,660"
PASC,"Nov 22, 2017",0.586649,0.675034,0.586649,0.648927,"165,647","8,998,080"
PASC,"Nov 21, 2017",0.688243,0.688243,0.572925,0.590569,"242,115","10,534,700"
PASC,"Nov 20, 2017",0.530381,0.812755,0.530381,0.679793,"769,217","8,093,560"
PASC,"Nov 19, 2017",0.527952,0.561194,0.519000,0.529341,"94,939","8,049,800"
PASC,"Nov 18, 2017",0.512090,0.567446,0.501529,0.530571,"146,881","7,792,630"
PASC,"Nov 17, 2017",0.525672,0.589974,0.483295,0.514061,"341,871","7,984,220"
PASC,"Nov 16, 2017",0.598850,0.635816,0.519283,0.527320,"509,445","9,077,370"
PASC,"Nov 15, 2017",0.599540,0.642979,0.562863,0.597690,"818,828","9,066,480"
PASC,"Nov 14, 2017",0.639959,0.824656,0.548786,0.601244,"3,344,770","9,659,860"
PASC,"Nov 13, 2017",0.335282,0.760175,0.335282,0.664740,"3,056,150","5,050,990"
PASC,"Nov 12, 2017",0.306546,0.363433,0.270134,0.334794,"95,695","4,608,150"
PASC,"Nov 11, 2017",0.318157,0.349836,0.286316,0.306772,"69,981","4,773,660"
PASC,"Nov 10, 2017",0.346605,0.379000,0.312578,0.318898,"69,886","5,190,130"
PASC,"Nov 09, 2017",0.324310,0.396133,0.315348,0.356809,"169,504","4,847,000"
PASC,"Nov 08, 2017",0.310548,0.332315,0.292700,0.321654,"80,268","4,630,270"
PASC,"Nov 07, 2017",0.290816,0.326005,0.270285,0.314096,"31,238","4,328,910"
PASC,"Nov 06, 2017",0.297065,0.306031,0.278071,0.287031,"21,922","4,413,410"
PASC,"Nov 05, 2017",0.285113,0.320001,0.270255,0.296407,"23,418","4,227,060"
PASC,"Nov 04, 2017",0.278937,0.292387,0.265818,0.285654,"12,709","4,127,150"
PASC,"Nov 03, 2017",0.277490,0.286636,0.269339,0.273771,"19,918","4,097,360"
PASC,"Nov 02, 2017",0.312881,0.318189,0.259516,0.280737,"57,237","4,611,770"
PASC,"Nov 01, 2017",0.302800,0.319492,0.293388,0.312532,"34,641","4,453,770"
PASC,"Oct 31, 2017",0.300691,0.317758,0.299782,0.311276,"40,617","4,414,290"
PASC,"Oct 30, 2017",0.301012,0.305754,0.295663,0.301716,"18,732","4,409,910"
PASC,"Oct 29, 2017",0.280668,0.309864,0.279346,0.302771,"24,014","4,103,280"
PASC,"Oct 28, 2017",0.273820,0.304547,0.271596,0.281052,"24,669","3,995,230"
PASC,"Oct 27, 2017",0.278799,0.286880,0.269180,0.272902,"12,738","4,058,950"
PASC,"Oct 26, 2017",0.292683,0.303456,0.274105,0.278970,"19,370","4,253,040"
PASC,"Oct 25, 2017",0.307425,0.313957,0.271664,0.292718,"64,106","4,457,780"
PASC,"Oct 24, 2017",0.247644,0.317163,0.238849,0.303881,"125,501","3,583,560"
PASC,"Oct 23, 2017",0.275047,0.282695,0.243956,0.248954,"28,169","3,972,370"
PASC,"Oct 22, 2017",0.275367,0.281791,0.253417,0.275491,"25,850","3,968,890"
PASC,"Oct 21, 2017",0.293472,0.302368,0.260410,0.275284,"64,823","4,221,150"
PASC,"Oct 20, 2017",0.267601,0.306340,0.266859,0.302876,"74,173","3,841,230"
PASC,"Oct 19, 2017",0.276569,0.291438,0.256576,0.267526,"63,614","3,962,020"
PASC,"Oct 18, 2017",0.247272,0.313243,0.233672,0.277431,"98,529","3,534,780"
PASC,"Oct 17, 2017",0.250753,0.250753,0.237974,0.247255,"17,050","3,576,840"
PASC,"Oct 16, 2017",0.259664,0.260986,0.238518,0.248981,"17,321","3,674,220"
PASC,"Oct 15, 2017",0.248971,0.262319,0.231310,0.259630,"27,636","3,522,920"
PASC,"Oct 14, 2017",0.263046,0.277941,0.240152,0.248526,"25,935","3,722,070"
PASC,"Oct 13, 2017",0.272252,0.276219,0.247987,0.262974,"29,497","3,851,360"
PASC,"Oct 12, 2017",0.269931,0.302887,0.255066,0.271362,"109,289","3,810,570"
PASC,"Oct 11, 2017",0.253855,0.276965,0.252370,0.269703,"47,917","3,576,050"
PASC,"Oct 10, 2017",0.261277,0.302998,0.241077,0.254088,"75,814","3,673,110"
PASC,"Oct 09, 2017",0.305257,0.308744,0.212572,0.261296,"174,985","4,282,420"
PASC,"Oct 08, 2017",0.317585,0.328889,0.301026,0.305179,"43,124","4,446,150"
PASC,"Oct 07, 2017",0.323664,0.325337,0.307961,0.323604,"42,115","4,521,580"
PASC,"Oct 06, 2017",0.341656,0.361841,0.309974,0.323516,"94,116","4,762,760"
PASC,"Oct 05, 2017",0.363675,0.382559,0.336943,0.341960,"57,096","5,059,000"
PASC,"Oct 04, 2017",0.379269,0.381233,0.357114,0.363346,"14,707","5,263,720"
PASC,"Oct 03, 2017",0.390224,0.398579,0.363438,0.378391,"35,228","5,404,640"
