symbol,date,open,high,low,close,volume,market_cap
PHR,"Dec 20, 2017",2.60,2.65,1.83,2.26,"547,494","25,571,500"
PHR,"Dec 19, 2017",3.43,3.52,2.19,2.58,"916,786","33,706,600"
PHR,"Dec 18, 2017",3.25,3.78,2.74,3.46,"1,447,320","31,897,600"
PHR,"Dec 17, 2017",2.13,3.75,1.92,3.24,"2,074,470","20,925,000"
PHR,"Dec 16, 2017",0.962123,2.40,0.943991,2.13,"1,911,040","9,420,160"
PHR,"Dec 15, 2017",0.767081,0.942553,0.719357,0.942553,"281,206","7,502,860"
PHR,"Dec 14, 2017",0.759086,0.814748,0.699138,0.765769,"113,719","7,417,160"
PHR,"Dec 13, 2017",0.745283,0.786083,0.661091,0.761530,"79,918","7,274,890"
PHR,"Dec 12, 2017",0.729681,0.819565,0.693340,0.744660,"162,758","7,115,330"
PHR,"Dec 11, 2017",0.639494,0.905257,0.636675,0.727346,"259,779","6,229,500"
PHR,"Dec 10, 2017",0.586957,0.676094,0.521477,0.644145,"108,377","5,711,900"
PHR,"Dec 09, 2017",0.601479,0.659628,0.487116,0.609518,"91,303","5,847,240"
PHR,"Dec 08, 2017",0.562645,0.638092,0.463475,0.634069,"93,116","5,464,110"
PHR,"Dec 07, 2017",0.654910,0.764332,0.498040,0.561324,"106,004","6,375,920"
PHR,"Dec 06, 2017",0.508590,0.663009,0.450825,0.655399,"82,851","4,946,310"
PHR,"Dec 05, 2017",0.381494,0.515573,0.357721,0.510238,"58,335","3,706,440"
PHR,"Dec 04, 2017",0.379744,0.408015,0.326653,0.380746,"68,187","3,685,710"
PHR,"Dec 03, 2017",0.367995,0.411836,0.330077,0.378490,"46,651","3,567,970"
PHR,"Dec 02, 2017",0.393278,0.451296,0.280371,0.367644,"119,032","3,809,190"
PHR,"Dec 01, 2017",0.436771,0.491245,0.322751,0.393597,"62,498","4,226,110"
PHR,"Nov 30, 2017",0.465504,0.511146,0.362918,0.405445,"19,134","4,505,090"
PHR,"Nov 29, 2017",0.551548,0.584099,0.398314,0.459247,"107,628","5,332,350"
PHR,"Nov 28, 2017",0.557555,0.608574,0.490836,0.548273,"114,503",-
PHR,"Nov 27, 2017",0.447537,0.646535,0.384529,0.556114,"146,609",-
PHR,"Nov 26, 2017",0.464341,0.500269,0.375498,0.447451,"57,962",-
PHR,"Nov 25, 2017",0.398485,0.534469,0.301560,0.464496,"61,380",-
PHR,"Nov 24, 2017",0.394619,0.433480,0.374513,0.399292,"49,922",-
PHR,"Nov 23, 2017",0.567455,0.570194,0.380604,0.395159,"57,994",-
PHR,"Nov 22, 2017",0.370571,0.578688,0.316592,0.510132,"111,890",-
PHR,"Nov 21, 2017",0.428530,0.430142,0.333131,0.357134,"79,802",-
PHR,"Nov 20, 2017",0.325713,0.429355,0.325713,0.428451,"11,450",-
PHR,"Nov 16, 2017",0.288470,0.288470,0.282011,0.284155,"102,573",-
PHR,"Nov 15, 2017",0.280993,0.355666,0.262145,0.286967,"103,588",-
PHR,"Nov 14, 2017",0.358544,0.367594,0.260365,0.280801,"129,625",-
PHR,"Nov 13, 2017",0.214285,0.341214,0.184313,0.340190,"48,257",-
PHR,"Nov 12, 2017",0.241725,0.246713,0.203564,0.213973,"37,621",-
PHR,"Nov 11, 2017",0.272857,0.306015,0.031868,0.241903,"51,411",-
PHR,"Nov 10, 2017",0.374215,0.382878,0.257327,0.273831,"39,523",-
PHR,"Nov 09, 2017",0.302438,3.67,0.298858,0.373107,"39,960",-
PHR,"Nov 08, 2017",0.319514,0.497961,0.231230,0.302750,"101,343",-
PHR,"Nov 07, 2017",0.246004,0.306943,0.245344,0.306943,"31,763",-
