symbol,date,open,high,low,close,volume,market_cap
PINK,"Dec 20, 2017",0.040367,0.045271,0.034709,0.044784,"788,087","15,099,100"
PINK,"Dec 19, 2017",0.045245,0.047586,0.038511,0.040230,"933,788","16,919,400"
PINK,"Dec 18, 2017",0.042462,0.045594,0.039748,0.044554,"666,401","15,874,400"
PINK,"Dec 17, 2017",0.036518,0.045454,0.036246,0.043553,"926,933","13,648,800"
PINK,"Dec 16, 2017",0.031524,0.038261,0.030569,0.037773,"629,383","11,779,300"
PINK,"Dec 15, 2017",0.031856,0.033650,0.029531,0.031417,"465,821","11,836,500"
PINK,"Dec 14, 2017",0.031661,0.034209,0.030377,0.031806,"508,883","11,761,000"
PINK,"Dec 13, 2017",0.028086,0.031424,0.027334,0.030864,"314,921","10,430,500"
PINK,"Dec 12, 2017",0.026603,0.029845,0.025570,0.028237,"178,701","9,877,180"
PINK,"Dec 11, 2017",0.024372,0.029090,0.024265,0.026267,"191,253","9,046,600"
PINK,"Dec 10, 2017",0.027522,0.028163,0.023304,0.024549,"279,151","10,213,100"
PINK,"Dec 09, 2017",0.027937,0.038439,0.025740,0.027566,"875,258","10,364,600"
PINK,"Dec 08, 2017",0.028145,0.028145,0.022744,0.027675,"327,659","10,439,100"
PINK,"Dec 07, 2017",0.031404,0.033322,0.026941,0.027863,"472,368","11,644,800"
PINK,"Dec 06, 2017",0.029076,0.031493,0.028352,0.031458,"387,279","10,779,000"
PINK,"Dec 05, 2017",0.030705,0.031052,0.028140,0.029141,"277,757","11,379,700"
PINK,"Dec 04, 2017",0.029558,0.032662,0.028367,0.030799,"680,645","10,952,000"
PINK,"Dec 03, 2017",0.026348,0.035047,0.026232,0.029181,"1,153,800","9,760,020"
PINK,"Dec 02, 2017",0.023960,0.027714,0.023442,0.026715,"281,329","8,873,270"
PINK,"Dec 01, 2017",0.022283,0.024430,0.021547,0.023985,"152,492","8,250,150"
PINK,"Nov 30, 2017",0.022557,0.025108,0.020054,0.022354,"131,848","8,349,610"
PINK,"Nov 29, 2017",0.024931,0.026699,0.021485,0.022072,"204,744","9,225,840"
PINK,"Nov 28, 2017",0.025209,0.025776,0.024422,0.025084,"142,143","9,326,560"
PINK,"Nov 27, 2017",0.023616,0.025262,0.023056,0.025144,"212,658","8,735,110"
PINK,"Nov 26, 2017",0.023244,0.023765,0.022140,0.023497,"298,807","8,595,100"
PINK,"Nov 25, 2017",0.021917,0.023276,0.021556,0.022947,"116,135","8,102,560"
PINK,"Nov 24, 2017",0.021361,0.022113,0.020750,0.022087,"72,735","7,894,870"
PINK,"Nov 23, 2017",0.021676,0.022139,0.020736,0.021342,"114,596","8,009,310"
PINK,"Nov 22, 2017",0.020400,0.022575,0.020296,0.021683,"177,682","7,535,900"
PINK,"Nov 21, 2017",0.021241,0.021348,0.019590,0.020350,"91,857","7,844,940"
PINK,"Nov 20, 2017",0.020911,0.021676,0.020563,0.021236,"122,750","7,721,140"
PINK,"Nov 19, 2017",0.022247,0.022247,0.020616,0.020922,"116,642","8,212,350"
PINK,"Nov 18, 2017",0.020011,0.024359,0.019293,0.021972,"410,280","7,384,910"
PINK,"Nov 17, 2017",0.021361,0.021914,0.018872,0.020053,"69,928","7,880,970"
PINK,"Nov 16, 2017",0.020541,0.022131,0.020066,0.021396,"56,824","7,576,850"
PINK,"Nov 15, 2017",0.019466,0.020989,0.019466,0.020434,"120,279","7,178,390"
PINK,"Nov 14, 2017",0.019179,0.019809,0.018290,0.019453,"99,474","7,070,550"
PINK,"Nov 13, 2017",0.016575,0.019492,0.016411,0.019175,"162,000","6,108,880"
PINK,"Nov 12, 2017",0.019249,0.019337,0.015895,0.016429,"156,610","7,092,620"
PINK,"Nov 11, 2017",0.019556,0.020798,0.018500,0.019258,"69,099","7,204,100"
PINK,"Nov 10, 2017",0.023497,0.024219,0.018682,0.019626,"165,417","8,606,640"
PINK,"Nov 09, 2017",0.023609,0.024700,0.022976,0.023460,"233,068","8,645,280"
PINK,"Nov 08, 2017",0.022672,0.024364,0.021438,0.023923,"252,822","8,299,910"
PINK,"Nov 07, 2017",0.022481,0.025178,0.021907,0.022743,"323,303","8,227,870"
PINK,"Nov 06, 2017",0.020802,0.026023,0.020332,0.022465,"821,558","7,611,450"
PINK,"Nov 05, 2017",0.018123,0.022303,0.017977,0.020564,"338,869","6,629,460"
PINK,"Nov 04, 2017",0.016833,0.021177,0.016428,0.018157,"211,702","6,156,280"
PINK,"Nov 03, 2017",0.017630,0.017923,0.015743,0.016877,"69,889","6,446,090"
PINK,"Nov 02, 2017",0.018270,0.018337,0.016366,0.017517,"169,066","6,678,460"
PINK,"Nov 01, 2017",0.018950,0.019457,0.017617,0.018250,"111,599","6,925,130"
PINK,"Oct 31, 2017",0.020560,0.020760,0.018474,0.018964,"155,045","7,511,620"
PINK,"Oct 30, 2017",0.019041,0.023251,0.018925,0.020758,"490,088","6,954,860"
PINK,"Oct 29, 2017",0.017930,0.020374,0.017511,0.019152,"170,743","6,547,280"
PINK,"Oct 28, 2017",0.018191,0.018561,0.017764,0.017954,"30,591","6,641,000"
PINK,"Oct 27, 2017",0.018275,0.019022,0.017615,0.018141,"69,612","6,670,170"
PINK,"Oct 26, 2017",0.019499,0.021395,0.017824,0.018271,"180,519","7,114,840"
PINK,"Oct 25, 2017",0.018486,0.022679,0.017453,0.019882,"585,358","6,743,610"
PINK,"Oct 24, 2017",0.016327,0.019555,0.015952,0.018614,"130,836","5,954,340"
PINK,"Oct 23, 2017",0.017679,0.019079,0.015815,0.016513,"59,541","6,445,860"
PINK,"Oct 22, 2017",0.017108,0.018061,0.016916,0.017736,"46,771","6,236,060"
PINK,"Oct 21, 2017",0.018565,0.018832,0.016357,0.017309,"81,078","6,765,510"
PINK,"Oct 20, 2017",0.018849,0.020257,0.017940,0.018604,"120,255","6,867,210"
PINK,"Oct 19, 2017",0.020531,0.021470,0.018798,0.018844,"113,695","7,478,020"
PINK,"Oct 18, 2017",0.020967,0.023438,0.019216,0.020569,"325,056","7,634,750"
PINK,"Oct 17, 2017",0.020315,0.024766,0.018979,0.021686,"318,070","7,395,620"
PINK,"Oct 16, 2017",0.018057,0.021227,0.017677,0.020257,"214,971","6,572,050"
PINK,"Oct 15, 2017",0.018690,0.019555,0.017321,0.017934,"72,202","6,800,700"
PINK,"Oct 14, 2017",0.018361,0.019987,0.018241,0.018657,"99,562","6,679,320"
PINK,"Oct 13, 2017",0.019028,0.020823,0.017752,0.018357,"129,206","6,920,240"
PINK,"Oct 12, 2017",0.020006,0.022453,0.018360,0.019044,"440,193","7,273,810"
PINK,"Oct 11, 2017",0.017098,0.020286,0.017052,0.019830,"172,371","6,214,930"
PINK,"Oct 10, 2017",0.017544,0.018536,0.016778,0.017101,"78,396","6,358,170"
PINK,"Oct 09, 2017",0.018614,0.018690,0.016812,0.017615,"186,698","6,743,980"
PINK,"Oct 08, 2017",0.022281,0.022394,0.018551,0.018551,"233,962","8,070,600"
PINK,"Oct 07, 2017",0.022655,0.022868,0.021777,0.022340,"75,770","8,204,210"
PINK,"Oct 06, 2017",0.022144,0.023375,0.022093,0.022627,"74,973","8,017,000"
PINK,"Oct 05, 2017",0.022492,0.022675,0.021571,0.022168,"143,005","8,141,020"
PINK,"Oct 04, 2017",0.024725,0.024725,0.022054,0.022579,"125,116","8,946,930"
PINK,"Oct 03, 2017",0.025673,0.025724,0.023696,0.024566,"104,043","9,287,500"
PINK,"Oct 02, 2017",0.026273,0.026753,0.024410,0.025517,"169,021","9,502,380"
PINK,"Oct 01, 2017",0.025802,0.027417,0.025191,0.026431,"179,758","9,329,420"
PINK,"Sep 30, 2017",0.025998,0.026596,0.024896,0.025601,"158,470","9,398,070"
PINK,"Sep 29, 2017",0.024171,0.027362,0.022915,0.026199,"362,994","8,735,480"
PINK,"Sep 28, 2017",0.025624,0.025847,0.023626,0.024190,"160,403","9,258,120"
PINK,"Sep 27, 2017",0.025464,0.027256,0.024404,0.025598,"474,939","9,198,100"
PINK,"Sep 26, 2017",0.021656,0.027524,0.021476,0.025730,"855,600","7,820,520"
PINK,"Sep 25, 2017",0.019943,0.022257,0.019859,0.021823,"67,943","7,200,210"
PINK,"Sep 24, 2017",0.021520,0.021686,0.019879,0.019981,"64,135","7,767,510"
PINK,"Sep 23, 2017",0.019203,0.021801,0.019059,0.021521,"145,420","6,929,370"
PINK,"Sep 22, 2017",0.019133,0.020709,0.018691,0.019257,"108,943","6,902,440"
PINK,"Sep 21, 2017",0.020924,0.022181,0.019030,0.019155,"212,586","7,546,720"
PINK,"Sep 20, 2017",0.021858,0.022277,0.020747,0.020971,"87,377","7,881,500"
