symbol,date,open,high,low,close,volume,market_cap
POT,"Dec 20, 2017",0.338265,0.353908,0.282889,0.340188,"6,066,090","74,083,900"
POT,"Dec 19, 2017",0.361263,0.410482,0.317653,0.338401,"9,509,430","79,119,600"
POT,"Dec 18, 2017",0.348885,0.368399,0.337124,0.361554,"5,088,820","76,406,700"
POT,"Dec 17, 2017",0.326352,0.366596,0.321759,0.347833,"6,907,340","71,469,500"
POT,"Dec 16, 2017",0.316418,0.330828,0.311884,0.325791,"4,590,610","69,291,100"
POT,"Dec 15, 2017",0.327980,0.338860,0.301069,0.312359,"7,320,930","71,815,300"
POT,"Dec 14, 2017",0.418274,0.485150,0.298920,0.323923,"24,453,200","91,583,000"
POT,"Dec 13, 2017",0.307642,0.404811,0.287419,0.404811,"8,971,820","67,358,400"
POT,"Dec 12, 2017",0.290735,0.310230,0.280615,0.304688,"2,698,840","63,652,200"
POT,"Dec 11, 2017",0.264640,0.320270,0.264640,0.288401,"2,035,580","57,937,800"
POT,"Dec 10, 2017",0.294828,0.294828,0.246802,0.265324,"1,676,030","64,546,100"
POT,"Dec 09, 2017",0.292242,0.337658,0.257660,0.293126,"3,619,240","63,978,400"
POT,"Dec 08, 2017",0.330621,0.352751,0.272086,0.293570,"6,299,120","72,372,300"
POT,"Dec 07, 2017",0.341345,0.362530,0.263050,0.332879,"7,809,570","74,717,900"
POT,"Dec 06, 2017",0.398530,0.493014,0.318450,0.348971,"11,205,200","87,234,400"
POT,"Dec 05, 2017",0.424659,0.429841,0.391161,0.399804,"3,622,250","92,951,900"
POT,"Dec 04, 2017",0.427607,0.446867,0.400088,0.425645,"5,092,860","93,594,800"
POT,"Dec 03, 2017",0.371783,0.461595,0.363958,0.427497,"7,201,440","81,363,000"
POT,"Dec 02, 2017",0.359246,0.395563,0.358921,0.370691,"4,194,200","78,615,400"
POT,"Dec 01, 2017",0.295596,0.429119,0.294931,0.359167,"9,522,770","64,681,600"
POT,"Nov 30, 2017",0.289577,0.302087,0.240050,0.298004,"1,431,390","63,360,500"
POT,"Nov 29, 2017",0.279170,0.333644,0.255421,0.288018,"2,360,370","61,079,000"
POT,"Nov 28, 2017",0.302358,0.307027,0.278774,0.279058,"1,820,180","66,149,300"
POT,"Nov 27, 2017",0.300218,0.308940,0.250006,0.302378,"3,469,230","65,674,600"
POT,"Nov 26, 2017",0.284431,0.311857,0.261143,0.301897,"3,612,080","62,220,100"
POT,"Nov 25, 2017",0.221233,0.311943,0.214223,0.282159,"8,741,070","48,393,000"
POT,"Nov 24, 2017",0.177057,0.239543,0.168598,0.222881,"2,376,070","38,729,200"
POT,"Nov 23, 2017",0.161221,0.210845,0.161221,0.178521,"4,767,080","35,264,400"
POT,"Nov 22, 2017",0.144463,0.166527,0.141084,0.160148,"1,817,500","31,596,000"
POT,"Nov 21, 2017",0.135625,0.160789,0.120175,0.144031,"5,819,040","29,660,100"
POT,"Nov 20, 2017",0.125649,0.205840,0.123593,0.136331,"19,714,400","27,476,700"
POT,"Nov 19, 2017",0.125815,0.133902,0.124812,0.126374,"269,523","27,511,200"
POT,"Nov 18, 2017",0.122937,0.137129,0.117493,0.126049,"387,813","26,881,600"
POT,"Nov 17, 2017",0.129735,0.132032,0.118844,0.123434,"398,303","28,366,900"
POT,"Nov 16, 2017",0.128872,0.145441,0.118207,0.129533,"639,493","28,177,800"
POT,"Nov 15, 2017",0.129327,0.134196,0.121137,0.127532,"609,145","28,271,300"
POT,"Nov 14, 2017",0.127237,0.132213,0.121509,0.129428,"359,406","27,813,400"
POT,"Nov 13, 2017",0.114343,0.139439,0.113152,0.126910,"1,307,370","24,994,100"
POT,"Nov 12, 2017",0.125090,0.125919,0.096830,0.113862,"1,423,450","27,343,000"
POT,"Nov 11, 2017",0.131961,0.141656,0.119793,0.124971,"1,314,180","28,844,200"
POT,"Nov 10, 2017",0.148796,0.174827,0.132640,0.132640,"3,717,340","32,523,500"
POT,"Nov 09, 2017",0.121300,0.159332,0.120174,0.149617,"4,341,070","26,512,500"
POT,"Nov 08, 2017",0.129312,0.129492,0.113007,0.121463,"2,113,550","28,263,300"
POT,"Nov 07, 2017",0.148127,0.167465,0.116158,0.128906,"6,210,540","32,370,800"
POT,"Nov 06, 2017",0.101196,0.214583,0.094363,0.147764,"34,912,700","22,112,500"
POT,"Nov 05, 2017",0.092502,0.125556,0.091337,0.100118,"1,252,210","20,212,500"
POT,"Nov 04, 2017",0.088643,0.097765,0.085193,0.092882,"301,233","19,367,500"
POT,"Nov 03, 2017",0.082602,0.093569,0.081075,0.088870,"255,267","18,044,200"
POT,"Nov 02, 2017",0.080866,0.092956,0.073698,0.083303,"682,773","17,664,500"
POT,"Nov 01, 2017",0.083311,0.091333,0.073267,0.079979,"506,908","18,198,400"
POT,"Oct 31, 2017",0.085536,0.089097,0.077575,0.085131,"382,978","18,684,300"
POT,"Oct 30, 2017",0.080323,0.082748,0.076067,0.082748,"118,754","17,544,700"
POT,"Oct 29, 2017",0.076816,0.083287,0.074808,0.081041,"258,053","16,778,000"
POT,"Oct 28, 2017",0.082452,0.084363,0.074363,0.078774,"407,811","18,008,900"
POT,"Oct 27, 2017",0.080151,0.092046,0.079868,0.082949,"445,997","17,504,100"
