symbol,date,open,high,low,close,volume,market_cap
PPC,"Dec 20, 2017",5.92,6.15,5.34,5.73,"6,504,460","145,163,000"
PPC,"Dec 19, 2017",6.68,6.78,5.70,5.89,"7,803,620","163,824,000"
PPC,"Dec 18, 2017",5.72,6.83,5.55,6.65,"7,024,760","140,365,000"
PPC,"Dec 17, 2017",5.87,6.07,5.41,5.69,"5,113,420","143,822,000"
PPC,"Dec 16, 2017",4.18,6.02,4.18,5.82,"8,978,460","102,554,000"
PPC,"Dec 15, 2017",4.49,4.52,3.98,4.18,"2,532,540","109,966,000"
PPC,"Dec 14, 2017",4.02,4.62,3.98,4.50,"5,298,770","98,403,300"
PPC,"Dec 13, 2017",3.56,4.30,3.43,4.03,"6,059,040","87,278,100"
PPC,"Dec 12, 2017",3.46,3.69,3.17,3.57,"3,354,130","84,793,700"
PPC,"Dec 11, 2017",3.04,3.82,3.03,3.47,"3,554,860","74,490,400"
PPC,"Dec 10, 2017",3.21,3.26,2.94,3.06,"1,568,200","78,690,700"
PPC,"Dec 09, 2017",3.21,3.43,2.94,3.20,"2,104,980","78,625,600"
PPC,"Dec 08, 2017",2.93,3.34,2.75,3.24,"3,011,420","71,859,600"
PPC,"Dec 07, 2017",3.05,3.58,2.81,2.97,"3,620,640","74,741,500"
PPC,"Dec 06, 2017",3.28,3.35,3.01,3.08,"3,522,130","80,231,300"
PPC,"Dec 05, 2017",3.50,3.58,3.26,3.28,"2,755,280","85,752,000"
PPC,"Dec 04, 2017",3.35,3.60,3.27,3.50,"2,683,470","81,964,700"
PPC,"Dec 03, 2017",3.54,3.67,3.18,3.35,"3,152,620","86,566,900"
PPC,"Dec 02, 2017",3.70,3.71,3.38,3.51,"2,455,030","90,669,200"
PPC,"Dec 01, 2017",3.20,3.73,2.90,3.70,"3,632,580","78,282,200"
PPC,"Nov 30, 2017",3.23,3.79,2.77,3.23,"4,674,400","79,131,500"
PPC,"Nov 29, 2017",2.39,4.43,2.39,3.21,"16,859,100","58,452,500"
PPC,"Nov 28, 2017",2.14,2.52,2.10,2.41,"2,234,600","52,438,000"
PPC,"Nov 27, 2017",1.89,2.18,1.82,2.13,"2,133,480","46,338,200"
PPC,"Nov 26, 2017",1.97,1.99,1.88,1.91,"635,862","48,231,700"
PPC,"Nov 25, 2017",1.78,1.98,1.75,1.98,"723,966","43,496,300"
PPC,"Nov 24, 2017",1.74,1.78,1.71,1.78,"716,486","42,460,300"
PPC,"Nov 23, 2017",1.70,1.76,1.65,1.74,"1,078,410","41,667,000"
PPC,"Nov 22, 2017",1.52,1.74,1.52,1.70,"827,815","37,224,600"
PPC,"Nov 21, 2017",1.58,1.60,1.50,1.52,"458,434","38,730,000"
PPC,"Nov 20, 2017",1.57,1.61,1.54,1.58,"377,150","38,363,600"
PPC,"Nov 19, 2017",1.62,1.64,1.56,1.57,"527,524","39,622,300"
PPC,"Nov 18, 2017",1.68,1.68,1.56,1.62,"723,615","41,065,800"
PPC,"Nov 17, 2017",1.60,1.83,1.60,1.69,"1,693,130","39,077,800"
PPC,"Nov 16, 2017",1.50,1.81,1.46,1.59,"716,526","36,557,700"
PPC,"Nov 15, 2017",1.47,1.53,1.46,1.48,"422,057","35,910,800"
PPC,"Nov 14, 2017",1.49,1.53,1.46,1.47,"413,628","36,471,000"
PPC,"Nov 13, 2017",1.41,1.50,1.40,1.49,"651,810","34,401,900"
PPC,"Nov 12, 2017",1.44,1.51,1.35,1.40,"930,811","35,217,800"
PPC,"Nov 11, 2017",1.40,1.50,1.38,1.44,"941,496","34,264,700"
PPC,"Nov 10, 2017",1.65,1.70,1.37,1.42,"988,942","40,270,600"
PPC,"Nov 09, 2017",1.54,1.69,1.53,1.64,"723,863","37,527,900"
PPC,"Nov 08, 2017",1.40,1.60,1.39,1.54,"1,075,320","34,254,900"
PPC,"Nov 07, 2017",1.33,1.41,1.31,1.41,"392,342","32,408,800"
PPC,"Nov 06, 2017",1.36,1.38,1.29,1.33,"269,424","33,281,600"
PPC,"Nov 05, 2017",1.37,1.42,1.33,1.36,"245,093","33,401,900"
PPC,"Nov 04, 2017",1.24,1.49,1.21,1.37,"545,068","30,186,000"
PPC,"Nov 03, 2017",1.26,1.29,1.21,1.24,"217,274","30,710,400"
PPC,"Nov 02, 2017",1.35,1.36,1.19,1.25,"467,073","33,044,400"
PPC,"Nov 01, 2017",1.32,1.49,1.26,1.36,"1,061,490","32,140,100"
PPC,"Oct 31, 2017",1.16,1.47,1.16,1.31,"589,024","28,291,300"
PPC,"Oct 30, 2017",1.18,1.20,1.14,1.17,"156,116","28,725,300"
PPC,"Oct 29, 2017",1.19,1.23,1.18,1.20,"121,288","28,936,100"
PPC,"Oct 28, 2017",1.19,1.21,1.16,1.19,"110,604","29,073,600"
PPC,"Oct 27, 2017",1.18,1.21,1.14,1.19,"112,845","28,740,200"
PPC,"Oct 26, 2017",1.21,1.23,1.14,1.19,"96,534","29,415,200"
PPC,"Oct 25, 2017",1.21,1.26,1.16,1.21,"178,149","29,505,400"
PPC,"Oct 24, 2017",1.17,1.26,1.13,1.23,"236,694","28,585,300"
PPC,"Oct 23, 2017",1.25,1.25,1.15,1.18,"160,342","30,431,200"
PPC,"Oct 22, 2017",1.26,1.28,1.21,1.25,"143,803","30,827,600"
PPC,"Oct 21, 2017",1.25,1.33,1.22,1.26,"254,340","30,445,000"
PPC,"Oct 20, 2017",1.20,1.48,1.19,1.25,"1,119,200","29,328,400"
