symbol,date,open,high,low,close,volume,market_cap
PRE,"Dec 20, 2017",0.246662,0.246662,0.172182,0.205327,"25,055","38,232,700"
PRE,"Dec 19, 2017",0.193179,0.275248,0.151526,0.246906,"177,211","29,942,800"
PRE,"Dec 18, 2017",0.183749,0.199354,0.169695,0.192982,"86,894","28,481,100"
PRE,"Dec 17, 2017",0.194905,0.210998,0.166787,0.190766,"45,044","30,210,300"
PRE,"Dec 16, 2017",0.186449,0.210512,0.164325,0.183732,"38,348","28,899,500"
PRE,"Dec 15, 2017",0.198753,0.211710,0.161153,0.193163,"202,646","30,806,700"
PRE,"Dec 14, 2017",0.196506,0.206237,0.169836,0.183974,"58,315","30,458,400"
PRE,"Dec 13, 2017",0.212495,0.213564,0.168612,0.195496,"77,461","32,936,700"
PRE,"Dec 12, 2017",0.210458,0.220956,0.184371,0.212317,"54,356","32,621,000"
PRE,"Dec 11, 2017",0.198211,0.232306,0.148606,0.208106,"150,103","30,722,700"
PRE,"Dec 10, 2017",0.192480,0.217067,0.158249,0.199652,"31,147","29,834,400"
PRE,"Dec 09, 2017",0.169144,0.227223,0.160731,0.191703,"58,524","26,217,300"
PRE,"Dec 08, 2017",0.249918,0.254538,0.153098,0.195363,"53,118","38,737,200"
PRE,"Dec 07, 2017",0.219774,0.272896,0.146473,0.249331,"244,094",-
PRE,"Dec 06, 2017",0.211784,0.242871,0.185495,0.209145,"40,214",-
PRE,"Dec 05, 2017",0.104294,0.245670,0.104294,0.212254,"98,499",-
