symbol,date,open,high,low,close,volume,market_cap
PRG,"Dec 20, 2017",0.455155,0.455155,0.332305,0.344580,"84,846","29,556,200"
PRG,"Dec 19, 2017",0.478392,0.529672,0.435065,0.455486,"124,990","31,065,200"
PRG,"Dec 18, 2017",0.398751,0.544141,0.388711,0.479975,"189,290","25,893,600"
PRG,"Dec 17, 2017",0.293899,0.431582,0.285134,0.391310,"201,232","19,084,800"
PRG,"Dec 16, 2017",0.287722,0.312238,0.275835,0.293598,"71,758","18,683,700"
PRG,"Dec 15, 2017",0.302662,0.357970,0.275634,0.285886,"146,994","19,653,900"
PRG,"Dec 14, 2017",0.304712,0.328050,0.261848,0.299230,"136,968","19,787,000"
PRG,"Dec 13, 2017",0.296873,0.309735,0.278875,0.305311,"110,343","19,278,000"
PRG,"Dec 12, 2017",0.274284,0.299471,0.238578,0.297791,"129,552","17,811,100"
PRG,"Dec 11, 2017",0.286778,0.308471,0.271243,0.274474,"151,992","18,622,400"
PRG,"Dec 10, 2017",0.467614,0.467614,0.260169,0.282012,"276,471","30,365,300"
PRG,"Dec 09, 2017",0.241325,0.430518,0.241089,0.299142,"236,428","15,670,900"
PRG,"Dec 08, 2017",0.252154,0.269243,0.205029,0.241716,"269,272","16,374,000"
PRG,"Dec 07, 2017",0.256519,0.279696,0.209318,0.250810,"191,990","16,657,500"
PRG,"Dec 06, 2017",0.248397,0.264517,0.237978,0.250808,"74,450","16,130,100"
PRG,"Dec 05, 2017",0.258953,0.276045,0.239160,0.248903,"187,230","16,815,600"
PRG,"Dec 04, 2017",0.261853,0.275480,0.247618,0.258576,"200,746","17,003,900"
PRG,"Dec 03, 2017",0.246138,0.282409,0.232712,0.262555,"159,551","15,983,400"
PRG,"Dec 02, 2017",0.242462,0.277399,0.226777,0.245967,"180,121","15,744,700"
PRG,"Dec 01, 2017",0.247495,0.292814,0.225964,0.256396,"182,518","16,071,500"
PRG,"Nov 30, 2017",0.223246,0.250443,0.205963,0.248380,"157,747","14,496,900"
PRG,"Nov 29, 2017",0.224024,0.303469,0.214929,0.220469,"119,507","14,547,400"
PRG,"Nov 28, 2017",0.228320,0.245730,0.173700,0.224159,"143,733","14,826,400"
PRG,"Nov 27, 2017",0.253255,0.289265,0.221917,0.228007,"148,366","16,445,500"
PRG,"Nov 26, 2017",0.288020,0.312067,0.235341,0.253242,"176,148","18,703,100"
PRG,"Nov 25, 2017",0.286040,0.327209,0.272026,0.288069,"116,967","18,574,500"
PRG,"Nov 24, 2017",0.317180,0.331260,0.260638,0.286381,"182,826","20,596,600"
PRG,"Nov 23, 2017",0.327304,0.333961,0.308125,0.317934,"114,257","21,254,000"
PRG,"Nov 22, 2017",0.321459,0.342749,0.254051,0.327274,"106,392","20,874,500"
PRG,"Nov 21, 2017",0.305186,0.341066,0.305186,0.321059,"140,829","19,817,800"
PRG,"Nov 20, 2017",0.390611,0.396888,0.293050,0.305061,"239,637","25,365,000"
PRG,"Nov 19, 2017",0.405321,0.427030,0.341822,0.390866,"221,981","26,320,200"
PRG,"Nov 18, 2017",0.340653,0.511536,0.326281,0.407060,"155,068","22,120,900"
PRG,"Nov 17, 2017",0.362191,0.384138,0.333068,0.338365,"195,463","22,836,800"
PRG,"Nov 16, 2017",0.381623,0.450343,0.349186,0.363646,"260,496","24,062,100"
PRG,"Nov 15, 2017",0.406724,0.452795,0.367702,0.381033,"233,580","25,644,800"
PRG,"Nov 14, 2017",0.279131,0.449018,0.279131,0.400589,"213,939","17,599,800"
PRG,"Nov 13, 2017",0.324421,0.360406,0.278700,0.278940,"4,749","20,455,400"
PRG,"Nov 12, 2017",0.346293,0.368705,0.290231,0.323955,"8,586","21,834,400"
PRG,"Nov 11, 2017",0.339660,0.405826,0.321574,0.346416,"8,957","21,416,300"
PRG,"Nov 10, 2017",0.362522,0.453709,0.337306,0.340655,"9,975","22,857,700"
PRG,"Nov 09, 2017",0.331468,0.427525,0.307101,0.361946,"30,866","20,899,700"
PRG,"Nov 08, 2017",0.364482,0.389939,0.319589,0.332495,"13,269","22,981,300"
PRG,"Nov 07, 2017",0.316289,0.371362,0.292808,0.365015,"7,981","19,942,600"
PRG,"Nov 06, 2017",0.297848,0.383859,0.292674,0.316310,"10,120","18,779,900"
PRG,"Nov 05, 2017",0.345033,0.345033,0.258682,0.297244,"13,578",-
PRG,"Nov 04, 2017",0.390791,0.425524,0.334415,0.345508,"10,569",-
PRG,"Nov 03, 2017",0.408827,0.453623,0.377727,0.391182,"17,398",-
PRG,"Nov 02, 2017",0.369109,0.469751,0.368049,0.407589,"13,637",-
PRG,"Nov 01, 2017",0.408946,0.487190,0.368260,0.368442,"14,899",-
PRG,"Oct 31, 2017",0.669716,0.704272,0.390439,0.409451,"44,730",-
PRG,"Oct 30, 2017",0.471942,0.740045,0.362888,0.660301,"153,199",-
PRG,"Oct 29, 2017",0.371037,0.543219,0.326588,0.472973,"40,187",-
PRG,"Oct 28, 2017",0.508912,0.741501,0.327959,0.371276,"84,966",-
PRG,"Oct 27, 2017",0.658986,0.670265,0.521856,0.521924,"42,806",-
PRG,"Oct 26, 2017",1.89,1.89,0.584677,0.649578,"284,896",-
