symbol,date,open,high,low,close,volume,market_cap
QRL,"Dec 20, 2017",1.62,1.67,1.38,1.51,"1,231,800","84,471,700"
QRL,"Dec 19, 2017",1.79,1.87,1.53,1.62,"2,029,200","93,093,800"
QRL,"Dec 18, 2017",1.61,1.85,1.52,1.81,"2,909,750","83,658,500"
QRL,"Dec 17, 2017",1.50,1.70,1.45,1.60,"1,922,040","77,902,900"
QRL,"Dec 16, 2017",1.48,1.54,1.37,1.52,"2,189,650","76,940,600"
QRL,"Dec 15, 2017",1.26,1.84,1.26,1.50,"9,791,960","65,374,600"
QRL,"Dec 14, 2017",1.19,1.54,1.17,1.27,"3,455,540","61,780,300"
QRL,"Dec 13, 2017",1.22,1.31,1.10,1.20,"1,469,230","63,379,700"
QRL,"Dec 12, 2017",1.20,1.34,1.16,1.22,"940,961","62,352,800"
QRL,"Dec 11, 2017",1.11,1.24,1.07,1.20,"477,491","57,785,100"
QRL,"Dec 10, 2017",1.15,1.29,1.01,1.11,"474,630","59,960,300"
QRL,"Dec 09, 2017",1.17,1.33,1.01,1.14,"756,137","61,091,200"
QRL,"Dec 08, 2017",1.12,1.31,0.921807,1.17,"850,512","58,178,400"
QRL,"Dec 07, 2017",1.28,1.39,1.04,1.11,"1,073,370","66,466,700"
QRL,"Dec 06, 2017",1.29,1.36,1.19,1.28,"1,165,290","66,977,000"
QRL,"Dec 05, 2017",1.20,1.40,1.15,1.29,"1,420,760","62,272,000"
QRL,"Dec 04, 2017",1.13,1.23,1.11,1.19,"642,901","58,769,800"
QRL,"Dec 03, 2017",1.04,1.45,1.03,1.12,"3,067,250","54,332,500"
QRL,"Dec 02, 2017",1.09,1.12,1.03,1.04,"314,352","56,757,100"
QRL,"Dec 01, 2017",0.993753,1.15,0.956195,1.09,"492,158","51,675,200"
QRL,"Nov 30, 2017",0.963574,1.25,0.883018,0.987118,"539,394","50,105,800"
QRL,"Nov 29, 2017",1.11,1.13,0.931630,0.963194,"388,543","57,841,600"
QRL,"Nov 28, 2017",1.15,1.18,1.06,1.09,"411,976","59,919,000"
QRL,"Nov 27, 2017",1.20,1.25,1.08,1.15,"846,218","62,260,700"
QRL,"Nov 26, 2017",0.977423,1.36,0.920265,1.21,"3,522,520","50,826,000"
QRL,"Nov 25, 2017",0.818187,1.07,0.813966,0.982080,"694,722","42,545,700"
QRL,"Nov 24, 2017",0.841536,0.855561,0.781123,0.819480,"367,703","43,759,900"
QRL,"Nov 23, 2017",0.959965,0.965744,0.812018,0.833399,"585,877","49,918,200"
QRL,"Nov 22, 2017",0.716099,1.30,0.699638,0.958013,"3,648,850","37,237,100"
QRL,"Nov 21, 2017",0.706230,0.751231,0.634057,0.721292,"452,343","36,724,000"
QRL,"Nov 20, 2017",0.686948,0.743357,0.670461,0.706726,"317,567","35,721,300"
QRL,"Nov 19, 2017",0.669806,0.692795,0.648504,0.687310,"206,364","34,829,900"
QRL,"Nov 18, 2017",0.660116,0.702244,0.625982,0.669439,"182,254","34,326,000"
QRL,"Nov 17, 2017",0.647853,0.713427,0.609548,0.662030,"297,215","33,688,400"
QRL,"Nov 16, 2017",0.660744,0.701825,0.646595,0.649586,"218,750","34,358,700"
QRL,"Nov 15, 2017",0.629333,0.668622,0.627159,0.658211,"181,215","32,725,300"
QRL,"Nov 14, 2017",0.635942,0.666965,0.605852,0.628994,"184,979","33,069,000"
QRL,"Nov 13, 2017",0.554277,0.656020,0.554277,0.634848,"181,004","28,822,400"
QRL,"Nov 12, 2017",0.591959,0.624243,0.510663,0.553501,"269,815","30,781,800"
QRL,"Nov 11, 2017",0.585749,0.628844,0.565083,0.591876,"152,706","30,458,900"
QRL,"Nov 10, 2017",0.675307,0.681670,0.572242,0.587608,"192,086","35,116,000"
QRL,"Nov 09, 2017",0.666249,0.707088,0.654580,0.672962,"239,662","34,644,900"
QRL,"Nov 08, 2017",0.598299,0.694199,0.595663,0.667007,"263,179","31,111,500"
QRL,"Nov 07, 2017",0.593829,0.606305,0.584633,0.601883,"96,924","30,879,100"
QRL,"Nov 06, 2017",0.593181,0.603984,0.577560,0.594105,"131,976","30,845,400"
QRL,"Nov 05, 2017",0.610794,0.618333,0.580843,0.589931,"143,025","31,761,300"
QRL,"Nov 04, 2017",0.584027,0.625063,0.576375,0.611791,"156,637","30,369,400"
QRL,"Nov 03, 2017",0.635747,0.647582,0.571691,0.585002,"286,000","33,058,900"
QRL,"Nov 02, 2017",0.634387,0.727737,0.546258,0.636951,"479,984","32,988,100"
QRL,"Nov 01, 2017",0.708000,0.715045,0.595932,0.633795,"377,148","36,816,000"
QRL,"Oct 31, 2017",0.702965,0.759476,0.699839,0.708576,"261,226","36,554,200"
QRL,"Oct 30, 2017",0.712522,0.734874,0.698677,0.703781,"166,378","37,051,200"
