symbol,date,open,high,low,close,volume,market_cap
R,"Dec 20, 2017",0.660740,0.663370,0.571579,0.593110,"835,685","121,874,000"
R,"Dec 19, 2017",0.705960,0.766943,0.647906,0.660814,"884,860","130,214,000"
R,"Dec 18, 2017",0.715520,0.726599,0.665204,0.707191,"849,406","131,978,000"
R,"Dec 17, 2017",0.738634,0.750364,0.675820,0.713545,"864,352","136,241,000"
R,"Dec 16, 2017",0.668242,0.746601,0.639200,0.740757,"827,732","123,257,000"
R,"Dec 15, 2017",0.556016,0.669081,0.554941,0.666533,"915,668","102,557,000"
R,"Dec 14, 2017",0.515317,0.552062,0.494240,0.550969,"880,079","95,050,100"
R,"Dec 13, 2017",0.542900,0.552328,0.485716,0.516410,"767,549","100,138,000"
R,"Dec 12, 2017",0.494132,0.553202,0.461312,0.543314,"806,686","91,142,700"
R,"Dec 11, 2017",0.416764,0.508068,0.411394,0.493074,"914,265","76,872,100"
R,"Dec 10, 2017",0.417565,0.440673,0.375996,0.415603,"612,072","77,019,900"
R,"Dec 09, 2017",0.429397,0.429873,0.376372,0.417460,"602,023","79,202,200"
R,"Dec 08, 2017",0.453912,0.465357,0.379610,0.429685,"495,557","83,724,100"
R,"Dec 07, 2017",0.362859,0.454664,0.362859,0.454664,"952,561","66,929,400"
R,"Dec 06, 2017",0.315553,0.363451,0.315553,0.363451,"1,031,540","58,203,800"
R,"Dec 05, 2017",0.254864,0.323471,0.239433,0.316202,"919,279","47,009,600"
R,"Dec 04, 2017",0.228783,0.283975,0.220270,0.254501,"848,678","42,199,000"
R,"Dec 03, 2017",0.225445,0.241185,0.211648,0.228330,"266,704","41,583,400"
R,"Dec 02, 2017",0.224076,0.230935,0.196633,0.225265,"484,415","41,330,800"
R,"Dec 01, 2017",0.210259,0.227921,0.201753,0.224007,"520,054","38,782,400"
R,"Nov 30, 2017",0.219129,0.233212,0.173933,0.211173,"496,711","40,418,300"
R,"Nov 29, 2017",0.222459,0.253682,0.213261,0.216942,"499,632","41,032,600"
R,"Nov 28, 2017",0.213929,0.223048,0.166085,0.222669,"581,905","39,459,100"
R,"Nov 27, 2017",0.207729,0.217985,0.204202,0.213445,"15,612","38,315,600"
R,"Nov 26, 2017",0.195967,0.212910,0.195013,0.207726,"313,451","36,146,200"
R,"Nov 25, 2017",0.183365,0.198810,0.182449,0.196017,"282,245","33,821,800"
R,"Nov 24, 2017",0.175445,0.186608,0.173069,0.183641,"147,897","32,360,800"
R,"Nov 23, 2017",0.188065,0.191966,0.170005,0.175684,"348,209","34,688,700"
R,"Nov 22, 2017",0.163069,0.191834,0.154856,0.188052,"425,440","30,078,000"
R,"Nov 21, 2017",0.163621,0.167751,0.147503,0.162836,"358,998","30,179,900"
R,"Nov 20, 2017",0.178713,0.180244,0.153720,0.163599,"517,577","32,963,600"
R,"Nov 19, 2017",0.169185,0.182240,0.159999,0.178796,"414,461","31,206,200"
R,"Nov 18, 2017",0.156104,0.169447,0.148924,0.164611,"472,386","28,793,300"
R,"Nov 17, 2017",0.142094,0.166906,0.128795,0.154506,"467,642","26,209,200"
R,"Nov 16, 2017",0.109977,0.231389,0.107584,0.142069,"355,310","20,285,300"
R,"Nov 15, 2017",0.085413,0.117465,0.085413,0.109359,"293,291","15,754,500"
R,"Nov 14, 2017",0.082270,0.085873,0.081246,0.085288,"115,823","15,174,800"
R,"Nov 13, 2017",0.070526,0.087036,0.065259,0.082099,"124,921","13,008,500"
R,"Nov 12, 2017",0.070801,0.087463,0.061804,0.070424,"49,253","13,059,200"
R,"Nov 11, 2017",0.106840,0.108146,0.053231,0.070852,"18,531","19,706,700"
R,"Nov 10, 2017",0.079421,0.115888,0.072964,0.106858,"88,747","14,649,100"
R,"Nov 09, 2017",0.092102,0.093926,0.072499,0.079204,"48,738","16,988,300"
R,"Nov 08, 2017",0.083578,0.093262,0.066483,0.092193,"78,791","15,415,900"
R,"Nov 07, 2017",0.080932,0.092206,0.079770,0.083864,"31,221","14,928,000"
R,"Nov 06, 2017",0.095522,0.098802,0.075852,0.081176,"45,650","17,619,000"
R,"Nov 05, 2017",0.085447,0.105262,0.083875,0.095310,"75,067","15,760,700"
R,"Nov 04, 2017",0.093197,0.103142,0.063766,0.085600,"74,034","17,190,200"
R,"Nov 03, 2017",0.070878,0.109798,0.043620,0.093439,"91,173",-
R,"Nov 02, 2017",0.070216,0.104455,0.068734,0.070405,"72,377",-
R,"Nov 01, 2017",0.087214,0.088396,0.077879,0.077879,"107,140",-
