symbol,date,open,high,low,close,volume,market_cap
RADS,"Dec 20, 2017",11.80,11.80,9.06,10.05,"3,288,240","40,281,700"
RADS,"Dec 19, 2017",8.56,12.14,8.07,11.84,"7,002,000","29,189,000"
RADS,"Dec 18, 2017",7.73,8.56,7.22,8.56,"1,378,070","26,376,800"
RADS,"Dec 17, 2017",7.18,9.64,7.18,7.71,"4,339,620","24,495,100"
RADS,"Dec 16, 2017",6.26,9.78,6.24,7.15,"5,600,960","21,329,700"
RADS,"Dec 15, 2017",6.88,6.96,5.63,6.25,"863,022","23,454,500"
RADS,"Dec 14, 2017",5.62,6.81,5.49,6.75,"917,848","19,156,000"
RADS,"Dec 13, 2017",5.47,6.44,5.18,5.54,"693,948","18,627,800"
RADS,"Dec 12, 2017",5.04,6.43,4.68,5.47,"1,163,850","17,185,000"
RADS,"Dec 11, 2017",4.79,5.55,4.75,5.03,"486,815","16,317,500"
RADS,"Dec 10, 2017",5.29,5.45,4.61,4.81,"296,931","18,012,700"
RADS,"Dec 09, 2017",5.69,6.09,4.83,5.27,"802,115","19,357,900"
RADS,"Dec 08, 2017",5.14,5.70,4.06,5.69,"1,047,660","17,488,200"
RADS,"Dec 07, 2017",6.02,6.50,5.04,5.04,"1,597,560","20,502,700"
RADS,"Dec 06, 2017",6.53,6.53,5.61,6.03,"1,727,550","22,214,500"
RADS,"Dec 05, 2017",6.08,7.43,5.89,6.47,"2,568,860","20,692,700"
RADS,"Dec 04, 2017",5.68,6.25,5.53,6.12,"978,727","19,320,600"
RADS,"Dec 03, 2017",5.05,6.52,4.79,5.65,"1,872,100","17,177,100"
RADS,"Dec 02, 2017",5.22,5.34,4.75,5.06,"448,170","17,741,200"
RADS,"Dec 01, 2017",5.15,5.55,4.64,5.26,"885,028","17,493,700"
RADS,"Nov 30, 2017",4.58,6.65,4.28,5.16,"3,463,370","15,557,700"
RADS,"Nov 29, 2017",4.61,9.14,4.41,4.63,"8,703,650","15,654,400"
RADS,"Nov 28, 2017",4.44,5.20,4.34,4.62,"877,051","15,071,100"
RADS,"Nov 27, 2017",4.15,4.51,4.06,4.43,"299,016","14,101,000"
RADS,"Nov 26, 2017",3.98,4.18,3.93,4.15,"231,294","13,529,900"
RADS,"Nov 25, 2017",3.83,4.10,3.83,3.91,"154,914","13,009,500"
RADS,"Nov 24, 2017",3.68,3.93,3.58,3.83,"268,908","12,474,100"
RADS,"Nov 23, 2017",3.61,3.79,3.53,3.64,"113,389","12,253,900"
RADS,"Nov 22, 2017",3.55,3.68,3.45,3.61,"165,474","12,029,000"
RADS,"Nov 21, 2017",3.62,3.70,3.36,3.54,"104,963","12,268,100"
RADS,"Nov 20, 2017",3.81,4.28,3.55,3.62,"422,090","12,933,900"
RADS,"Nov 19, 2017",3.88,4.04,3.78,3.79,"55,871","13,149,900"
RADS,"Nov 18, 2017",3.62,4.03,3.51,3.89,"144,236","12,288,800"
RADS,"Nov 17, 2017",3.74,3.91,3.53,3.64,"177,893","12,676,100"
RADS,"Nov 16, 2017",3.95,4.09,3.70,3.75,"111,704","13,397,200"
RADS,"Nov 15, 2017",3.80,3.97,3.70,3.93,"166,342","12,861,200"
RADS,"Nov 14, 2017",3.38,4.10,3.26,3.81,"304,080","11,444,400"
RADS,"Nov 13, 2017",2.95,3.60,2.94,3.37,"196,853","10,001,800"
RADS,"Nov 12, 2017",3.30,3.33,2.85,2.95,"60,832","11,164,900"
RADS,"Nov 11, 2017",3.59,3.81,3.22,3.30,"141,210","12,154,500"
RADS,"Nov 10, 2017",3.57,3.92,3.26,3.60,"248,290","12,091,300"
RADS,"Nov 09, 2017",3.55,3.82,3.50,3.56,"252,838","12,007,500"
RADS,"Nov 08, 2017",3.13,3.56,3.10,3.55,"199,752","10,592,200"
RADS,"Nov 07, 2017",2.99,3.32,2.99,3.12,"148,223","10,113,000"
RADS,"Nov 06, 2017",3.08,3.18,2.93,2.99,"133,552","10,423,200"
RADS,"Nov 05, 2017",3.05,3.81,3.00,3.08,"266,889","10,301,300"
RADS,"Nov 04, 2017",2.90,3.15,2.80,3.05,"61,495","9,810,520"
RADS,"Nov 03, 2017",3.00,3.06,2.74,2.91,"124,118","10,147,900"
RADS,"Nov 02, 2017",3.05,3.15,2.72,3.01,"163,570","10,291,200"
RADS,"Nov 01, 2017",3.09,3.13,2.97,3.05,"68,198","10,438,000"
RADS,"Oct 31, 2017",3.10,3.28,3.05,3.09,"97,391","10,454,800"
RADS,"Oct 30, 2017",3.13,3.14,2.95,3.10,"58,934","10,585,000"
RADS,"Oct 29, 2017",2.98,3.18,2.92,3.15,"178,269","10,059,800"
RADS,"Oct 28, 2017",2.93,3.45,2.88,2.98,"406,961","9,889,220"
RADS,"Oct 27, 2017",2.98,3.06,2.79,2.92,"116,917","10,050,500"
RADS,"Oct 26, 2017",3.25,3.40,2.85,2.98,"152,242","10,969,500"
RADS,"Oct 25, 2017",2.91,3.31,2.84,3.24,"108,923","9,831,150"
RADS,"Oct 24, 2017",2.81,3.25,2.75,2.90,"170,511","9,470,800"
RADS,"Oct 23, 2017",3.00,3.04,2.77,2.83,"40,589","10,113,100"
RADS,"Oct 22, 2017",2.87,3.20,2.84,3.01,"96,174","9,662,970"
RADS,"Oct 21, 2017",3.29,3.31,2.74,2.86,"86,392","11,104,400"
RADS,"Oct 20, 2017",3.55,3.63,3.21,3.30,"250,177","11,972,400"
RADS,"Oct 19, 2017",4.02,4.10,3.39,3.55,"297,041","13,534,000"
RADS,"Oct 18, 2017",3.34,4.12,3.13,3.93,"1,245,310","11,258,100"
RADS,"Oct 17, 2017",3.53,3.57,3.30,3.34,"79,138","11,897,600"
RADS,"Oct 16, 2017",3.47,4.36,3.25,3.43,"279,819","11,670,900"
RADS,"Oct 15, 2017",3.73,3.80,3.31,3.47,"130,583","12,569,900"
RADS,"Oct 14, 2017",3.62,3.90,3.56,3.73,"184,784","12,200,500"
RADS,"Oct 13, 2017",3.49,3.73,3.39,3.62,"97,102","11,734,100"
RADS,"Oct 12, 2017",3.81,3.83,3.43,3.52,"252,515","12,812,800"
RADS,"Oct 11, 2017",3.39,3.90,3.32,3.81,"260,492","11,402,100"
RADS,"Oct 10, 2017",3.39,3.48,3.27,3.39,"63,554","11,384,000"
RADS,"Oct 09, 2017",3.38,3.45,3.17,3.39,"182,516","11,375,300"
RADS,"Oct 08, 2017",3.95,4.07,3.36,3.38,"190,753","13,278,400"
RADS,"Oct 07, 2017",4.33,4.36,3.81,3.96,"206,184","14,548,400"
RADS,"Oct 06, 2017",4.47,4.58,4.31,4.33,"40,776","15,022,500"
RADS,"Oct 05, 2017",4.17,4.50,4.14,4.46,"78,575","14,023,800"
RADS,"Oct 04, 2017",4.22,4.33,4.08,4.17,"91,320","14,187,800"
RADS,"Oct 03, 2017",4.64,4.68,4.14,4.21,"222,955","15,572,000"
RADS,"Oct 02, 2017",5.11,5.19,4.50,4.64,"293,899","17,150,600"
RADS,"Oct 01, 2017",5.06,5.23,5.00,5.11,"207,010","16,993,000"
RADS,"Sep 30, 2017",4.81,5.06,4.81,5.06,"73,063","16,147,600"
RADS,"Sep 29, 2017",4.88,4.94,4.69,4.81,"188,013","16,390,900"
RADS,"Sep 28, 2017",5.06,5.28,4.88,4.89,"151,624","16,965,100"
RADS,"Sep 27, 2017",4.50,5.12,4.47,5.06,"159,398","15,100,400"
RADS,"Sep 26, 2017",4.43,4.77,4.32,4.54,"145,144","14,854,000"
RADS,"Sep 25, 2017",4.13,4.48,4.11,4.43,"117,327","13,852,600"
RADS,"Sep 24, 2017",4.49,4.49,4.14,4.17,"92,182","15,046,000"
RADS,"Sep 23, 2017",4.21,4.52,4.16,4.49,"45,273","14,106,700"
RADS,"Sep 22, 2017",4.34,4.42,3.95,4.22,"140,465","14,547,500"
RADS,"Sep 21, 2017",4.69,4.90,4.31,4.35,"251,154","15,710,300"
RADS,"Sep 20, 2017",4.64,4.85,4.52,4.71,"95,761","15,554,700"
RADS,"Sep 19, 2017",5.09,5.10,4.58,4.65,"156,548","17,048,900"
RADS,"Sep 18, 2017",4.64,5.12,4.64,5.10,"126,728","15,545,700"
RADS,"Sep 17, 2017",4.70,4.75,4.29,4.65,"244,772","15,718,600"
RADS,"Sep 16, 2017",4.77,5.01,4.53,4.70,"106,276","15,965,700"
RADS,"Sep 15, 2017",3.97,4.87,3.61,4.77,"136,567","13,270,300"
RADS,"Sep 14, 2017",5.02,5.13,3.94,3.94,"206,841","16,803,500"
RADS,"Sep 13, 2017",5.80,5.80,4.87,5.09,"222,104","19,401,700"
RADS,"Sep 12, 2017",5.46,5.97,5.31,5.83,"468,548","18,246,600"
RADS,"Sep 11, 2017",5.85,6.10,5.40,5.45,"278,313","19,547,900"
RADS,"Sep 10, 2017",6.12,6.23,5.69,5.86,"295,648","20,454,800"
RADS,"Sep 09, 2017",5.91,6.29,5.71,6.20,"159,688","19,747,500"
RADS,"Sep 08, 2017",6.92,6.92,5.72,5.90,"313,915","23,106,000"
RADS,"Sep 07, 2017",6.94,7.05,6.40,6.85,"516,277","23,186,100"
RADS,"Sep 06, 2017",7.26,7.94,6.83,6.95,"706,651","24,254,800"
RADS,"Sep 05, 2017",6.42,7.39,5.58,7.25,"598,735","21,433,800"
RADS,"Sep 04, 2017",7.85,8.15,6.03,6.47,"1,145,150","26,215,500"
RADS,"Sep 03, 2017",7.36,8.31,6.79,7.87,"1,297,310","24,559,400"
RADS,"Sep 02, 2017",6.63,7.37,6.15,7.37,"797,388","22,121,200"
RADS,"Sep 01, 2017",6.31,6.69,6.19,6.50,"518,270","21,047,500"
RADS,"Aug 31, 2017",6.52,6.71,6.21,6.31,"340,065","21,754,800"
RADS,"Aug 30, 2017",5.90,6.73,5.90,6.53,"422,199","19,685,700"
RADS,"Aug 29, 2017",5.96,6.14,5.77,5.88,"246,315","19,885,800"
RADS,"Aug 28, 2017",5.69,5.98,5.42,5.95,"162,366","18,949,400"
RADS,"Aug 27, 2017",6.03,6.09,5.57,5.69,"343,117","20,088,300"
RADS,"Aug 26, 2017",5.55,6.06,5.24,6.01,"298,204","18,492,300"
RADS,"Aug 25, 2017",5.84,5.92,5.49,5.55,"109,583","19,466,700"
RADS,"Aug 24, 2017",5.60,5.96,5.49,5.84,"205,889","18,660,700"
RADS,"Aug 23, 2017",5.56,6.03,5.44,5.60,"150,874","18,510,900"
RADS,"Aug 22, 2017",5.81,5.90,5.42,5.57,"153,374","19,356,500"
RADS,"Aug 21, 2017",5.58,6.44,5.58,5.76,"708,013","18,564,300"
RADS,"Aug 20, 2017",5.16,5.76,4.88,5.57,"164,977","17,179,000"
RADS,"Aug 19, 2017",5.27,5.32,4.67,5.15,"229,527","17,548,100"
RADS,"Aug 18, 2017",5.14,5.44,5.00,5.32,"209,744","17,098,400"
RADS,"Aug 17, 2017",6.02,6.35,4.96,5.25,"337,332","20,008,400"
RADS,"Aug 16, 2017",5.35,6.17,4.96,6.01,"553,881","17,777,500"
RADS,"Aug 15, 2017",6.14,6.30,5.16,5.47,"822,503","20,414,300"
RADS,"Aug 14, 2017",6.41,7.92,5.91,6.11,"2,726,950","21,281,900"
RADS,"Aug 13, 2017",4.32,6.83,4.30,6.20,"1,278,280","14,347,200"
RADS,"Aug 12, 2017",4.37,4.58,4.16,4.32,"200,416","14,515,700"
RADS,"Aug 11, 2017",4.39,4.54,4.24,4.37,"167,483","14,564,300"
RADS,"Aug 10, 2017",4.70,4.83,4.39,4.39,"155,183","15,607,900"
RADS,"Aug 09, 2017",4.43,4.94,4.27,4.67,"238,573","14,706,300"
RADS,"Aug 08, 2017",4.08,4.74,4.04,4.44,"330,248","13,522,800"
RADS,"Aug 07, 2017",3.80,4.20,3.73,4.07,"144,989","12,603,500"
RADS,"Aug 06, 2017",4.20,4.20,3.73,3.81,"125,334","13,905,800"
RADS,"Aug 05, 2017",4.10,4.27,3.54,4.20,"274,010","13,574,700"
RADS,"Aug 04, 2017",4.05,4.34,3.96,4.01,"209,764","13,413,800"
RADS,"Aug 03, 2017",3.96,4.13,3.80,4.05,"60,835","13,116,000"
RADS,"Aug 02, 2017",3.90,4.08,3.72,3.93,"117,548","12,893,000"
RADS,"Aug 01, 2017",3.43,4.21,3.26,3.90,"157,761","11,353,100"
RADS,"Jul 31, 2017",3.41,3.48,3.17,3.35,"121,204","11,293,000"
RADS,"Jul 30, 2017",3.38,3.62,3.34,3.41,"92,123","11,187,500"
RADS,"Jul 29, 2017",3.42,3.55,3.23,3.38,"69,314","11,304,100"
RADS,"Jul 28, 2017",3.62,3.72,3.31,3.43,"214,509","11,963,000"
RADS,"Jul 27, 2017",3.86,3.99,3.54,3.61,"105,703","12,755,300"
RADS,"Jul 26, 2017",4.17,4.25,3.65,3.87,"187,491","13,760,800"
RADS,"Jul 25, 2017",5.26,5.61,3.85,4.16,"305,260","17,355,300"
RADS,"Jul 24, 2017",4.85,5.97,4.69,5.26,"621,586","16,003,300"
RADS,"Jul 23, 2017",4.92,5.08,4.01,4.85,"350,913","16,237,300"
RADS,"Jul 22, 2017",4.15,4.92,4.03,4.89,"183,242","13,671,200"
RADS,"Jul 21, 2017",4.03,4.39,3.85,4.12,"110,519","13,296,000"
RADS,"Jul 20, 2017",3.00,4.15,3.00,4.04,"228,538","9,875,380"
RADS,"Jul 19, 2017",3.15,3.43,2.97,3.00,"100,202","10,371,700"
RADS,"Jul 18, 2017",2.75,3.35,2.56,3.11,"186,192","9,064,150"
RADS,"Jul 17, 2017",2.31,2.74,2.31,2.74,"32,452","7,617,410"
RADS,"Jul 16, 2017",2.42,2.48,2.11,2.32,"58,515","7,971,920"
RADS,"Jul 15, 2017",2.57,2.65,2.35,2.43,"47,410","8,460,610"
RADS,"Jul 14, 2017",2.90,2.92,2.48,2.58,"73,686","9,537,310"
RADS,"Jul 13, 2017",3.24,3.49,2.88,2.90,"160,153","10,652,900"
RADS,"Jul 12, 2017",2.88,3.23,2.67,3.22,"141,814","9,476,110"
RADS,"Jul 11, 2017",2.85,3.01,2.43,2.91,"186,557","9,367,290"
RADS,"Jul 10, 2017",3.92,3.97,2.84,2.84,"502,232","12,887,200"
RADS,"Jul 09, 2017",4.18,4.64,3.92,3.92,"229,103","13,717,600"
RADS,"Jul 08, 2017",4.17,4.23,3.85,4.22,"196,658","13,703,100"
RADS,"Jul 07, 2017",5.12,5.16,4.13,4.17,"392,951","16,811,300"
RADS,"Jul 06, 2017",5.47,5.58,5.13,5.14,"201,688","17,936,600"
RADS,"Jul 05, 2017",5.66,5.78,5.40,5.46,"205,382","18,572,700"
RADS,"Jul 04, 2017",5.11,5.93,5.11,5.64,"315,377","16,763,200"
RADS,"Jul 03, 2017",4.98,5.36,4.87,5.12,"301,602","16,341,900"
RADS,"Jul 02, 2017",4.91,5.02,4.57,5.00,"220,805","16,096,600"
RADS,"Jul 01, 2017",5.21,5.67,4.80,4.95,"581,073","17,055,300"
RADS,"Jun 30, 2017",5.79,5.83,5.07,5.13,"431,210","18,962,500"
RADS,"Jun 29, 2017",6.30,6.30,5.54,5.78,"655,761","20,622,800"
RADS,"Jun 28, 2017",6.35,6.61,5.94,6.30,"505,098","20,783,400"
RADS,"Jun 27, 2017",6.04,7.31,5.15,6.25,"6,009,290","19,775,800"
RADS,"Jun 26, 2017",6.45,6.90,4.24,6.04,"1,242,990","21,104,400"
RADS,"Jun 25, 2017",7.23,7.42,6.21,6.51,"469,116","23,657,000"
RADS,"Jun 24, 2017",7.56,7.62,6.95,7.25,"269,365","24,700,200"
RADS,"Jun 23, 2017",7.35,7.72,6.87,7.63,"566,342","24,016,300"
RADS,"Jun 22, 2017",6.21,7.77,6.18,7.43,"1,878,660","20,275,100"
RADS,"Jun 21, 2017",6.00,6.43,5.86,6.14,"390,295","19,590,100"
RADS,"Jun 20, 2017",6.70,6.77,5.57,6.01,"741,078","21,858,800"
RADS,"Jun 19, 2017",6.21,6.95,5.70,6.68,"973,379","20,280,500"
RADS,"Jun 18, 2017",5.39,6.21,5.33,6.21,"483,118","17,580,500"
RADS,"Jun 17, 2017",5.46,5.58,5.28,5.39,"221,787","17,822,500"
RADS,"Jun 16, 2017",5.26,5.76,5.06,5.47,"356,688","17,153,200"
RADS,"Jun 15, 2017",6.14,6.23,4.58,5.22,"419,591","20,007,100"
RADS,"Jun 14, 2017",5.75,6.67,5.50,6.12,"777,754","18,748,300"
RADS,"Jun 13, 2017",5.12,5.82,5.09,5.73,"401,014","16,682,400"
RADS,"Jun 12, 2017",6.01,6.44,4.82,5.08,"440,022","19,558,400"
RADS,"Jun 11, 2017",6.62,6.79,5.84,6.05,"490,330","21,555,400"
RADS,"Jun 10, 2017",7.27,7.54,6.31,6.62,"830,286","23,662,500"
