symbol,date,open,high,low,close,volume,market_cap
RDD,"Dec 20, 2017",0.003346,0.010412,0.002646,0.008710,"148,392,000","96,013,600"
RDD,"Dec 19, 2017",0.002882,0.003610,0.002664,0.003182,"13,528,700","82,698,800"
RDD,"Dec 18, 2017",0.002877,0.003056,0.002462,0.002886,"7,872,790","82,568,500"
RDD,"Dec 17, 2017",0.002725,0.003484,0.002497,0.002865,"21,482,700","78,189,400"
RDD,"Dec 16, 2017",0.001599,0.002743,0.001577,0.002724,"12,212,500","45,892,900"
RDD,"Dec 15, 2017",0.001814,0.001863,0.001546,0.001756,"1,228,770","52,056,000"
RDD,"Dec 14, 2017",0.001482,0.001846,0.001462,0.001812,"2,361,400","42,515,400"
RDD,"Dec 13, 2017",0.001719,0.001738,0.001449,0.001634,"939,991","49,298,100"
RDD,"Dec 12, 2017",0.001519,0.001770,0.001346,0.001718,"1,426,780","43,565,400"
RDD,"Dec 11, 2017",0.001522,0.001747,0.001383,0.001665,"532,787","43,642,600"
RDD,"Dec 10, 2017",0.001503,0.001630,0.001194,0.001532,"750,447","43,110,600"
RDD,"Dec 09, 2017",0.001622,0.001660,0.001262,0.001497,"1,102,540","46,530,400"
RDD,"Dec 08, 2017",0.001568,0.001786,0.001272,0.001471,"1,097,550","44,981,800"
RDD,"Dec 07, 2017",0.001644,0.001794,0.001376,0.001729,"2,024,320","47,155,500"
RDD,"Dec 06, 2017",0.001518,0.001646,0.001246,0.001646,"1,706,450","43,534,300"
RDD,"Dec 05, 2017",0.001512,0.001632,0.001389,0.001521,"1,591,410","43,374,000"
RDD,"Dec 04, 2017",0.001233,0.001504,0.001130,0.001399,"1,566,390","35,372,000"
RDD,"Dec 03, 2017",0.001103,0.001298,0.001077,0.001125,"620,908","31,646,400"
RDD,"Dec 02, 2017",0.001195,0.001222,0.001082,0.001198,"358,454","34,273,300"
RDD,"Dec 01, 2017",0.001096,0.001250,0.000951,0.001093,"674,677","31,433,900"
