symbol,date,open,high,low,close,volume,market_cap
SALT,"Dec 20, 2017",10.20,10.20,8.66,9.08,"27,937,400","526,042,000"
SALT,"Dec 19, 2017",11.17,11.67,9.75,10.11,"36,828,800","569,346,000"
SALT,"Dec 18, 2017",9.95,11.39,9.38,11.16,"32,649,100","506,984,000"
SALT,"Dec 17, 2017",10.19,10.51,9.85,9.96,"17,546,300","519,983,000"
SALT,"Dec 16, 2017",9.01,10.63,8.74,10.17,"23,375,500","459,718,000"
SALT,"Dec 15, 2017",9.38,9.38,8.17,9.06,"25,707,100","478,509,000"
SALT,"Dec 14, 2017",7.63,9.52,7.54,9.45,"24,991,300","389,285,000"
SALT,"Dec 13, 2017",7.67,8.02,7.23,7.65,"16,650,600","391,145,000"
SALT,"Dec 12, 2017",7.40,7.99,7.24,7.68,"20,261,300","373,749,000"
SALT,"Dec 11, 2017",7.27,8.29,7.23,7.36,"15,579,400","367,340,000"
SALT,"Dec 10, 2017",8.08,8.08,7.06,7.28,"14,546,100","408,553,000"
SALT,"Dec 09, 2017",7.77,8.54,7.44,8.07,"19,052,200","392,636,000"
SALT,"Dec 08, 2017",7.04,8.04,6.56,7.75,"20,075,900","356,246,000"
SALT,"Dec 07, 2017",7.44,8.65,6.71,7.04,"31,185,000","376,578,000"
SALT,"Dec 06, 2017",6.38,8.15,5.60,7.48,"35,772,100","323,762,000"
SALT,"Dec 05, 2017",6.68,6.75,6.23,6.39,"13,171,800","338,931,000"
SALT,"Dec 04, 2017",5.58,6.83,5.52,6.71,"19,911,800","283,357,000"
SALT,"Dec 03, 2017",5.07,5.74,5.05,5.56,"12,708,800","257,036,000"
SALT,"Dec 02, 2017",4.60,5.56,4.60,5.18,"16,700,600","233,160,000"
SALT,"Dec 01, 2017",4.38,4.66,4.11,4.58,"7,879,480","217,661,000"
SALT,"Nov 30, 2017",3.61,4.37,3.39,4.37,"8,971,200","179,775,000"
SALT,"Nov 29, 2017",4.21,4.64,3.53,3.55,"7,243,310","208,328,000"
