symbol,date,open,high,low,close,volume,market_cap
SBD,"Dec 20, 2017",13.68,13.73,9.68,13.62,"8,696,960","54,428,200"
SBD,"Dec 19, 2017",13.25,16.17,12.05,13.76,"6,265,100","52,119,600"
SBD,"Dec 18, 2017",11.30,14.59,10.92,13.25,"7,178,960","43,946,400"
SBD,"Dec 17, 2017",11.15,11.87,10.74,11.29,"3,632,490","42,946,600"
SBD,"Dec 16, 2017",10.56,11.64,10.30,11.12,"3,107,160","40,311,300"
SBD,"Dec 15, 2017",10.18,11.06,8.47,10.63,"3,777,910","38,496,800"
SBD,"Dec 14, 2017",5.38,10.49,5.16,10.40,"3,052,290","20,156,400"
SBD,"Dec 13, 2017",5.61,6.05,5.15,5.36,"205,400","20,832,900"
SBD,"Dec 12, 2017",6.56,6.76,5.60,5.60,"298,090","24,184,500"
SBD,"Dec 11, 2017",7.21,9.05,6.52,6.55,"812,923","26,347,200"
SBD,"Dec 10, 2017",5.49,14.04,4.70,7.16,"952,096","19,916,100"
SBD,"Dec 09, 2017",7.87,7.93,5.40,5.53,"940,336","28,348,600"
SBD,"Dec 08, 2017",5.90,9.84,5.23,7.86,"5,879,620","21,090,500"
SBD,"Dec 07, 2017",3.42,8.11,3.37,5.60,"2,066,390","12,137,400"
SBD,"Dec 06, 2017",2.68,3.75,2.58,2.96,"8,587,180","9,471,100"
SBD,"Dec 05, 2017",2.37,3.08,2.23,2.70,"2,987,790","8,301,900"
SBD,"Dec 04, 2017",2.30,2.45,2.19,2.36,"733,829","8,026,170"
SBD,"Dec 03, 2017",2.35,2.59,2.14,2.29,"2,604,120","8,151,060"
SBD,"Dec 02, 2017",1.52,2.54,1.51,2.37,"4,818,630","5,237,290"
SBD,"Dec 01, 2017",1.28,1.58,1.25,1.51,"992,520","4,398,140"
SBD,"Nov 30, 2017",1.25,1.40,1.20,1.30,"659,341","4,271,990"
SBD,"Nov 29, 2017",1.54,1.58,1.22,1.23,"607,306","5,239,010"
SBD,"Nov 28, 2017",1.68,1.76,1.53,1.55,"842,989","5,697,830"
SBD,"Nov 27, 2017",1.59,1.96,1.59,1.67,"1,572,120","5,361,180"
SBD,"Nov 26, 2017",1.66,1.66,1.47,1.61,"810,629","5,563,380"
SBD,"Nov 25, 2017",1.27,1.96,1.27,1.67,"5,825,160","4,236,750"
SBD,"Nov 24, 2017",1.38,1.38,1.21,1.27,"622,332","4,582,910"
SBD,"Nov 23, 2017",1.67,1.67,1.32,1.38,"1,565,610","5,558,420"
SBD,"Nov 22, 2017",0.951158,3.02,0.948523,1.68,"23,440,900","3,148,030"
SBD,"Nov 21, 2017",0.996940,1.01,0.927019,0.955665,"71,780","3,301,490"
SBD,"Nov 20, 2017",0.963122,1.01,0.960025,0.993967,"65,953","3,180,470"
SBD,"Nov 19, 2017",0.999690,1.01,0.959847,0.963691,"86,577","3,287,890"
SBD,"Nov 18, 2017",0.962804,1.02,0.945909,1.00,"75,786","3,155,700"
SBD,"Nov 17, 2017",0.980650,1.02,0.935540,0.966505,"142,659","3,201,590"
SBD,"Nov 16, 2017",1.02,1.03,0.966462,0.982261,"80,687","3,347,690"
SBD,"Nov 15, 2017",1.04,1.07,0.985610,1.01,"189,783","3,417,190"
SBD,"Nov 14, 2017",1.04,1.08,0.961523,1.03,"237,208","3,460,790"
SBD,"Nov 13, 2017",0.959516,1.04,0.936024,1.03,"143,273","3,191,290"
SBD,"Nov 12, 2017",0.983027,0.993885,0.882796,0.959533,"203,401","3,263,720"
SBD,"Nov 11, 2017",0.955173,0.997614,0.930355,0.988044,"153,323","3,162,790"
SBD,"Nov 10, 2017",1.01,1.04,0.908239,0.958877,"219,703","3,348,340"
SBD,"Nov 09, 2017",1.01,1.19,0.967973,1.01,"982,169","3,376,230"
