symbol,date,open,high,low,close,volume,market_cap
SC,"Dec 20, 2017",0.016105,0.025972,0.013495,0.023979,"97,997,000","505,644,000"
SC,"Dec 19, 2017",0.016620,0.017610,0.014884,0.016190,"27,907,300","521,817,000"
SC,"Dec 18, 2017",0.016340,0.017988,0.013833,0.016599,"28,351,400","513,025,000"
SC,"Dec 17, 2017",0.013016,0.019238,0.012938,0.016413,"64,991,300","408,662,000"
SC,"Dec 16, 2017",0.010707,0.013570,0.010614,0.013103,"16,247,000","336,148,000"
SC,"Dec 15, 2017",0.011385,0.011677,0.010113,0.010613,"11,493,300","357,446,000"
SC,"Dec 14, 2017",0.010273,0.012068,0.009511,0.011447,"16,156,500","322,531,000"
SC,"Dec 13, 2017",0.010926,0.011929,0.009937,0.010223,"14,491,500","343,030,000"
SC,"Dec 12, 2017",0.008662,0.011254,0.008402,0.011188,"10,191,200","271,938,000"
SC,"Dec 11, 2017",0.007707,0.008877,0.007674,0.008639,"4,951,460","241,961,000"
SC,"Dec 10, 2017",0.008221,0.008323,0.007026,0.007685,"4,830,090","258,120,000"
SC,"Dec 09, 2017",0.008538,0.009326,0.007862,0.008278,"6,523,050","268,046,000"
SC,"Dec 08, 2017",0.008224,0.008706,0.007471,0.008388,"10,571,100","258,208,000"
SC,"Dec 07, 2017",0.008395,0.009216,0.008028,0.008135,"16,668,300","263,564,000"
SC,"Dec 06, 2017",0.009401,0.009910,0.008291,0.008539,"20,825,500","294,875,000"
SC,"Dec 05, 2017",0.010766,0.010852,0.008846,0.009462,"24,005,000","337,423,000"
SC,"Dec 04, 2017",0.008545,0.012394,0.008385,0.010973,"64,095,500","267,636,000"
SC,"Dec 03, 2017",0.006822,0.009599,0.006550,0.008557,"29,908,000","213,552,000"
SC,"Dec 02, 2017",0.005876,0.006957,0.005612,0.006801,"6,697,200","183,781,000"
SC,"Dec 01, 2017",0.005425,0.006057,0.005253,0.005921,"2,151,360","169,565,000"
SC,"Nov 30, 2017",0.005511,0.006108,0.005002,0.005456,"2,172,220","172,143,000"
SC,"Nov 29, 2017",0.006512,0.006964,0.005114,0.005427,"5,265,980","203,245,000"
SC,"Nov 28, 2017",0.006375,0.006630,0.006042,0.006481,"4,676,120","198,808,000"
SC,"Nov 27, 2017",0.005589,0.006427,0.005526,0.006325,"3,961,840","174,147,000"
SC,"Nov 26, 2017",0.005421,0.005671,0.005176,0.005588,"2,005,900","168,735,000"
SC,"Nov 25, 2017",0.005083,0.005406,0.005035,0.005387,"2,179,380","158,095,000"
SC,"Nov 24, 2017",0.005266,0.005307,0.004737,0.005052,"3,104,860","163,635,000"
SC,"Nov 23, 2017",0.005433,0.005577,0.004917,0.005275,"3,231,670","168,733,000"
SC,"Nov 22, 2017",0.004460,0.005397,0.004460,0.005391,"5,486,060","138,397,000"
SC,"Nov 21, 2017",0.004321,0.004534,0.004097,0.004412,"1,904,990","133,980,000"
