symbol,date,open,high,low,close,volume,market_cap
SHIFT,"Dec 20, 2017",3.53,3.83,3.02,3.54,"858,228","40,649,500"
SHIFT,"Dec 19, 2017",3.99,4.16,3.47,3.54,"797,613","46,021,200"
SHIFT,"Dec 18, 2017",3.36,4.01,3.17,3.99,"1,164,700","38,712,900"
SHIFT,"Dec 17, 2017",2.99,3.71,2.94,3.34,"731,841","34,430,700"
SHIFT,"Dec 16, 2017",2.95,3.22,2.90,2.97,"577,948","33,918,500"
SHIFT,"Dec 15, 2017",3.13,3.81,2.70,2.94,"2,850,860","36,054,700"
SHIFT,"Dec 14, 2017",2.59,3.09,2.44,3.06,"803,343","29,848,700"
SHIFT,"Dec 13, 2017",2.58,2.78,2.28,2.60,"686,606","29,626,300"
SHIFT,"Dec 12, 2017",2.09,2.84,2.03,2.56,"1,648,930","24,018,400"
SHIFT,"Dec 11, 2017",2.10,2.25,1.97,2.08,"399,276","24,105,900"
SHIFT,"Dec 10, 2017",2.20,2.30,1.94,2.11,"162,433","25,282,500"
SHIFT,"Dec 09, 2017",2.22,2.52,1.97,2.19,"425,271","25,524,700"
SHIFT,"Dec 08, 2017",2.19,2.41,1.95,2.20,"295,853","25,133,700"
SHIFT,"Dec 07, 2017",2.58,2.64,2.11,2.18,"668,517","29,639,500"
SHIFT,"Dec 06, 2017",2.76,3.03,2.43,2.54,"1,287,930","31,648,200"
SHIFT,"Dec 05, 2017",2.55,2.83,2.46,2.82,"677,250","29,299,700"
SHIFT,"Dec 04, 2017",2.22,2.56,2.17,2.48,"510,131","25,411,200"
SHIFT,"Dec 03, 2017",2.29,2.51,2.10,2.19,"403,198","26,256,800"
SHIFT,"Dec 02, 2017",2.22,2.34,2.13,2.29,"250,458","25,498,600"
SHIFT,"Dec 01, 2017",2.20,2.33,2.01,2.23,"405,212","25,191,100"
SHIFT,"Nov 30, 2017",1.85,2.44,1.72,2.24,"980,363","21,137,300"
SHIFT,"Nov 29, 2017",2.10,2.30,1.62,1.82,"373,666","24,009,600"
SHIFT,"Nov 28, 2017",2.10,2.38,1.98,2.10,"1,027,850","24,015,600"
SHIFT,"Nov 27, 2017",2.22,2.71,2.01,2.09,"1,079,880","25,416,000"
SHIFT,"Nov 26, 2017",2.20,2.35,1.87,2.19,"2,057,110","25,183,400"
