symbol,date,open,high,low,close,volume,market_cap
SIB,"Dec 20, 2017",3.44,3.58,2.92,3.40,"835,019","55,193,200"
SIB,"Dec 19, 2017",3.11,4.75,2.94,3.44,"4,388,480","49,778,900"
SIB,"Dec 18, 2017",2.83,3.10,2.71,3.10,"596,224","45,400,000"
SIB,"Dec 17, 2017",2.84,2.90,2.71,2.82,"326,988","45,438,500"
SIB,"Dec 16, 2017",2.61,2.86,2.60,2.78,"338,077","41,769,000"
SIB,"Dec 15, 2017",2.58,2.76,2.54,2.64,"510,884","41,361,800"
SIB,"Dec 14, 2017",2.54,2.69,2.46,2.62,"372,796","40,684,000"
SIB,"Dec 13, 2017",2.60,2.73,2.37,2.56,"374,601","41,555,800"
SIB,"Dec 12, 2017",2.53,2.72,2.47,2.58,"319,931","40,478,000"
SIB,"Dec 11, 2017",2.29,2.80,2.18,2.55,"777,430","36,548,500"
SIB,"Dec 10, 2017",2.11,2.47,1.81,2.28,"662,800","33,647,800"
SIB,"Dec 09, 2017",2.17,2.58,1.92,2.10,"450,862","34,684,100"
SIB,"Dec 08, 2017",2.26,2.64,1.89,2.19,"388,817","36,098,000"
SIB,"Dec 07, 2017",2.42,2.77,2.25,2.25,"973,105","38,617,500"
SIB,"Dec 06, 2017",2.36,3.31,2.36,2.42,"4,347,510","37,704,400"
SIB,"Dec 05, 2017",2.08,3.40,2.03,2.39,"5,769,620","33,106,800"
SIB,"Dec 04, 2017",1.89,2.13,1.85,2.07,"403,890","30,182,600"
SIB,"Dec 03, 2017",1.85,2.00,1.78,1.89,"164,052","29,535,300"
SIB,"Dec 02, 2017",1.88,2.01,1.80,1.83,"232,523","29,978,600"
SIB,"Dec 01, 2017",1.65,1.93,1.61,1.89,"259,128","26,342,100"
SIB,"Nov 30, 2017",1.59,1.76,1.40,1.66,"526,908","25,222,600"
SIB,"Nov 29, 2017",1.62,2.88,1.58,1.60,"3,156,810","25,714,400"
SIB,"Nov 28, 2017",1.57,1.63,1.55,1.62,"107,466","24,972,900"
SIB,"Nov 27, 2017",1.51,1.64,1.47,1.57,"110,483","24,002,000"
SIB,"Nov 26, 2017",1.45,1.54,1.43,1.53,"94,630","23,052,100"
SIB,"Nov 25, 2017",1.40,1.47,1.39,1.44,"86,974","22,292,700"
SIB,"Nov 24, 2017",1.39,1.52,1.32,1.44,"235,934","22,110,400"
SIB,"Nov 23, 2017",1.44,1.48,1.38,1.39,"111,889","22,875,100"
SIB,"Nov 22, 2017",1.31,1.49,1.30,1.47,"105,478","20,849,400"
SIB,"Nov 21, 2017",1.31,1.40,1.24,1.31,"102,642","20,748,700"
SIB,"Nov 20, 2017",1.28,1.40,1.26,1.32,"90,496","20,222,000"
SIB,"Nov 19, 2017",1.26,1.30,1.24,1.27,"51,275","20,007,800"
SIB,"Nov 18, 2017",1.24,1.30,1.20,1.25,"55,018","19,687,200"
SIB,"Nov 17, 2017",1.32,1.36,1.23,1.24,"52,376","20,947,300"
SIB,"Nov 16, 2017",1.33,1.38,1.28,1.33,"72,579","20,974,200"
SIB,"Nov 15, 2017",1.27,1.36,1.27,1.32,"54,404","20,093,600"
SIB,"Nov 14, 2017",1.26,1.30,1.23,1.27,"48,286","19,959,500"
SIB,"Nov 13, 2017",1.12,1.29,1.11,1.26,"41,460","17,751,900"
SIB,"Nov 12, 2017",1.28,1.30,1.09,1.12,"137,899","20,199,900"
SIB,"Nov 11, 2017",1.37,1.49,1.26,1.28,"224,059","21,629,600"
SIB,"Nov 10, 2017",1.23,1.84,1.18,1.37,"864,621","19,351,700"
SIB,"Nov 09, 2017",1.25,1.39,1.18,1.23,"306,104","19,714,000"
SIB,"Nov 08, 2017",1.07,1.57,1.06,1.25,"809,903","16,956,400"
SIB,"Nov 07, 2017",1.05,1.14,1.03,1.08,"83,892","16,495,900"
SIB,"Nov 06, 2017",1.04,1.10,1.01,1.05,"55,191","16,423,500"
SIB,"Nov 05, 2017",1.08,1.11,1.03,1.04,"60,977","17,012,100"
SIB,"Nov 04, 2017",1.05,1.10,1.03,1.08,"35,019","16,543,000"
SIB,"Nov 03, 2017",1.07,1.13,1.04,1.06,"65,189","16,862,200"
SIB,"Nov 02, 2017",1.08,1.11,1.03,1.07,"65,768","17,069,200"
SIB,"Nov 01, 2017",1.15,1.15,1.04,1.07,"86,252","18,052,600"
SIB,"Oct 31, 2017",1.16,1.17,1.12,1.14,"75,595","18,231,300"
SIB,"Oct 30, 2017",1.17,1.30,1.10,1.16,"185,171","18,413,300"
SIB,"Oct 29, 2017",1.13,1.27,1.10,1.18,"75,519","17,715,500"
SIB,"Oct 28, 2017",1.13,1.17,1.09,1.13,"60,332","17,721,700"
SIB,"Oct 27, 2017",1.15,1.17,1.11,1.13,"39,011","18,024,900"
SIB,"Oct 26, 2017",1.18,1.22,1.12,1.14,"66,323","18,450,100"
SIB,"Oct 25, 2017",1.14,1.21,1.11,1.18,"90,681","17,798,500"
SIB,"Oct 24, 2017",1.12,1.32,1.08,1.14,"203,141","17,589,700"
SIB,"Oct 23, 2017",1.23,1.28,1.09,1.12,"78,143","19,233,200"
SIB,"Oct 22, 2017",1.16,1.27,1.13,1.27,"62,207","18,197,700"
SIB,"Oct 21, 2017",1.21,1.24,1.16,1.16,"37,217","19,015,800"
SIB,"Oct 20, 2017",1.31,1.32,1.20,1.21,"86,396","20,449,000"
SIB,"Oct 19, 2017",1.31,1.33,1.28,1.30,"60,905","20,455,300"
SIB,"Oct 18, 2017",1.31,1.32,1.21,1.30,"54,542","20,542,200"
SIB,"Oct 17, 2017",1.31,1.41,1.25,1.32,"116,154","20,530,200"
SIB,"Oct 16, 2017",1.29,1.33,1.28,1.31,"59,187","20,161,800"
SIB,"Oct 15, 2017",1.38,1.39,1.25,1.29,"61,994","21,554,900"
SIB,"Oct 14, 2017",1.39,1.44,1.35,1.37,"58,677","21,751,900"
SIB,"Oct 13, 2017",1.43,1.58,1.36,1.40,"172,753","22,384,700"
SIB,"Oct 12, 2017",1.34,1.44,1.29,1.44,"117,113","20,859,300"
SIB,"Oct 11, 2017",1.34,1.36,1.31,1.34,"45,518","20,845,400"
SIB,"Oct 10, 2017",1.33,1.40,1.31,1.33,"101,964","20,742,800"
SIB,"Oct 09, 2017",1.35,1.39,1.31,1.33,"121,110","21,093,600"
SIB,"Oct 08, 2017",1.36,1.44,1.30,1.35,"130,595","21,150,300"
SIB,"Oct 07, 2017",1.25,1.38,1.22,1.36,"207,022","19,448,100"
SIB,"Oct 06, 2017",1.23,1.27,1.21,1.25,"95,352","19,185,600"
SIB,"Oct 05, 2017",1.20,1.27,1.17,1.23,"81,243","18,737,600"
SIB,"Oct 04, 2017",1.23,1.26,1.19,1.20,"60,314","19,202,600"
SIB,"Oct 03, 2017",1.25,1.28,1.20,1.25,"80,943","19,473,500"
SIB,"Oct 02, 2017",1.27,1.33,1.24,1.25,"102,679","19,722,900"
SIB,"Oct 01, 2017",1.37,1.38,1.25,1.27,"104,041","21,312,200"
SIB,"Sep 30, 2017",1.38,1.50,1.27,1.37,"355,481","21,407,800"
SIB,"Sep 29, 2017",1.22,1.37,1.14,1.37,"172,136","18,998,200"
SIB,"Sep 28, 2017",1.34,1.35,1.19,1.22,"158,745","20,765,000"
SIB,"Sep 27, 2017",1.31,1.46,1.30,1.34,"291,649","20,348,100"
SIB,"Sep 26, 2017",1.19,1.48,1.16,1.30,"704,082","18,414,400"
SIB,"Sep 25, 2017",1.09,1.23,1.07,1.19,"121,901","16,928,400"
SIB,"Sep 24, 2017",1.07,1.13,1.03,1.11,"79,589","16,540,600"
SIB,"Sep 23, 2017",0.999059,1.09,0.988825,1.06,"74,293","15,470,300"
SIB,"Sep 22, 2017",0.970167,1.10,0.970167,1.00,"152,266","15,016,600"
SIB,"Sep 21, 2017",1.06,1.06,0.933417,0.974777,"144,148","16,352,700"
SIB,"Sep 20, 2017",1.03,1.13,1.01,1.06,"151,217","15,852,200"
SIB,"Sep 19, 2017",1.15,1.16,0.993853,1.02,"339,968","17,841,800"
SIB,"Sep 18, 2017",1.16,1.23,1.10,1.16,"163,075","17,897,400"
SIB,"Sep 17, 2017",1.04,1.20,0.976335,1.16,"206,457","16,071,700"
SIB,"Sep 16, 2017",1.11,1.15,0.979770,1.04,"193,824","17,199,200"
SIB,"Sep 15, 2017",1.19,1.31,0.783153,1.14,"1,015,430","18,308,800"
SIB,"Sep 14, 2017",0.991279,1.78,0.981312,1.16,"2,660,440","15,293,500"
SIB,"Sep 13, 2017",1.05,1.10,0.957023,0.991112,"140,695","16,156,900"
SIB,"Sep 12, 2017",1.09,1.14,1.03,1.06,"110,404","16,773,500"
SIB,"Sep 11, 2017",1.14,1.16,1.07,1.09,"125,655","17,528,900"
SIB,"Sep 10, 2017",1.19,1.38,1.07,1.14,"276,246","18,395,900"
SIB,"Sep 09, 2017",1.15,1.20,1.09,1.20,"112,049","17,660,700"
SIB,"Sep 08, 2017",1.30,1.31,1.10,1.15,"152,719","20,071,300"
SIB,"Sep 07, 2017",1.44,1.44,1.22,1.30,"309,659","22,176,200"
SIB,"Sep 06, 2017",1.81,1.90,1.31,1.43,"967,983","27,821,600"
SIB,"Sep 05, 2017",1.20,1.97,1.09,1.77,"2,130,630","18,369,800"
SIB,"Sep 04, 2017",1.33,1.33,1.01,1.18,"110,490","20,422,100"
SIB,"Sep 03, 2017",1.35,1.44,1.25,1.31,"141,418","20,694,600"
SIB,"Sep 02, 2017",1.22,1.40,1.15,1.35,"193,844","18,783,800"
SIB,"Sep 01, 2017",1.21,1.24,1.16,1.23,"83,945","18,631,600"
SIB,"Aug 31, 2017",1.14,1.26,1.08,1.20,"105,127","17,400,000"
SIB,"Aug 30, 2017",1.14,1.20,1.07,1.10,"111,136","17,457,300"
SIB,"Aug 29, 2017",1.13,1.15,1.08,1.13,"86,159","17,282,100"
SIB,"Aug 28, 2017",1.14,1.16,1.09,1.12,"53,405","17,494,100"
SIB,"Aug 27, 2017",1.12,1.19,1.10,1.18,"24,986","17,103,700"
SIB,"Aug 26, 2017",1.18,1.27,1.06,1.12,"97,079","18,020,700"
SIB,"Aug 25, 2017",1.22,1.28,1.15,1.18,"109,182","18,714,700"
SIB,"Aug 24, 2017",1.02,1.23,1.01,1.21,"109,459","15,612,100"
SIB,"Aug 23, 2017",1.04,1.09,1.01,1.02,"45,582","15,937,700"
SIB,"Aug 22, 2017",1.13,1.13,0.977012,1.05,"50,340","17,269,200"
SIB,"Aug 21, 2017",1.05,1.20,0.980590,1.13,"114,102","15,972,100"
SIB,"Aug 20, 2017",0.996853,1.08,0.968912,1.06,"53,384","15,202,600"
SIB,"Aug 19, 2017",1.08,1.08,0.981086,1.02,"61,623","16,424,200"
SIB,"Aug 18, 2017",0.998007,1.15,0.992694,1.09,"62,170","15,207,500"
SIB,"Aug 17, 2017",1.13,1.17,1.00,1.00,"72,786","17,262,000"
SIB,"Aug 16, 2017",1.13,1.21,1.04,1.13,"71,302","17,238,900"
SIB,"Aug 15, 2017",1.18,1.28,1.05,1.13,"126,121","17,963,300"
SIB,"Aug 14, 2017",1.24,1.29,1.13,1.18,"85,410","18,840,600"
SIB,"Aug 13, 2017",1.38,1.45,1.20,1.23,"94,076","20,983,700"
SIB,"Aug 12, 2017",1.34,1.52,1.22,1.38,"145,932","20,301,900"
SIB,"Aug 11, 2017",1.45,1.49,1.19,1.32,"233,950","21,953,800"
SIB,"Aug 10, 2017",1.16,1.53,1.13,1.53,"228,584","17,563,700"
SIB,"Aug 09, 2017",1.10,1.28,1.05,1.19,"110,491","16,682,900"
SIB,"Aug 08, 2017",1.12,1.17,1.06,1.10,"54,330","16,990,300"
SIB,"Aug 07, 2017",1.27,1.33,1.09,1.10,"101,419","19,204,800"
SIB,"Aug 06, 2017",1.29,1.31,1.19,1.30,"60,248","19,517,200"
SIB,"Aug 05, 2017",1.25,1.40,1.24,1.30,"98,731","19,017,600"
SIB,"Aug 04, 2017",1.31,1.37,1.22,1.25,"77,683","19,768,400"
SIB,"Aug 03, 2017",1.25,1.34,1.23,1.27,"81,573","18,895,200"
SIB,"Aug 02, 2017",1.35,1.40,1.18,1.24,"87,755","20,376,300"
