symbol,date,open,high,low,close,volume,market_cap
SLR,"Dec 20, 2017",0.540221,0.574677,0.489396,0.544227,"441,681","20,771,800"
SLR,"Dec 19, 2017",0.594559,0.616823,0.538230,0.546805,"542,240","22,860,700"
SLR,"Dec 18, 2017",0.537878,0.606983,0.511203,0.590000,"737,424","20,681,000"
SLR,"Dec 17, 2017",0.506013,0.549997,0.496028,0.540422,"247,171","19,455,500"
SLR,"Dec 16, 2017",0.460574,0.516582,0.459555,0.506043,"211,542","17,708,100"
SLR,"Dec 15, 2017",0.463493,0.497545,0.451819,0.460042,"192,453","17,820,100"
SLR,"Dec 14, 2017",0.478321,0.493737,0.455598,0.462375,"154,915","18,379,900"
SLR,"Dec 13, 2017",0.460318,0.503725,0.447534,0.479583,"246,467","17,687,800"
SLR,"Dec 12, 2017",0.471301,0.499954,0.454983,0.460544,"229,060","18,109,500"
SLR,"Dec 11, 2017",0.466439,0.508370,0.460691,0.475204,"257,483","17,922,400"
SLR,"Dec 10, 2017",0.507110,0.507110,0.418006,0.467953,"323,797","19,484,700"
SLR,"Dec 09, 2017",0.527238,0.570790,0.433883,0.506554,"782,599","20,257,700"
SLR,"Dec 08, 2017",0.460518,0.800022,0.383172,0.540206,"1,518,130","17,217,400"
SLR,"Dec 07, 2017",0.537142,0.579827,0.409543,0.455794,"744,299","20,009,100"
SLR,"Dec 06, 2017",0.491120,0.659314,0.483168,0.537888,"1,275,720","18,294,200"
SLR,"Dec 05, 2017",0.482045,0.526668,0.470575,0.492610,"427,331","17,955,900"
SLR,"Dec 04, 2017",0.435892,0.524428,0.432907,0.481223,"630,638","16,236,400"
SLR,"Dec 03, 2017",0.410294,0.504240,0.408833,0.434912,"628,717","15,282,700"
SLR,"Dec 02, 2017",0.399047,0.438383,0.392044,0.408367,"154,033","14,863,400"
SLR,"Dec 01, 2017",0.370613,0.407249,0.353093,0.396351,"125,935","13,804,100"
SLR,"Nov 30, 2017",0.379204,0.401063,0.344409,0.371674,"213,492","14,123,800"
SLR,"Nov 29, 2017",0.428287,0.513493,0.362406,0.369563,"1,032,270","15,951,700"
SLR,"Nov 28, 2017",0.459574,0.465702,0.420912,0.428592,"250,809","17,116,700"
SLR,"Nov 27, 2017",0.449588,0.468270,0.437556,0.458615,"327,970","16,744,500"
SLR,"Nov 26, 2017",0.409009,0.456443,0.408983,0.449447,"287,497","15,232,900"
SLR,"Nov 25, 2017",0.394629,0.414366,0.391565,0.407842,"190,931","14,697,000"
SLR,"Nov 24, 2017",0.406876,0.422657,0.390505,0.399200,"246,516","15,152,900"
SLR,"Nov 23, 2017",0.425746,0.438256,0.406710,0.411004,"318,742","15,855,400"
SLR,"Nov 22, 2017",0.468980,0.493270,0.415827,0.420112,"699,132","17,465,100"
SLR,"Nov 21, 2017",0.795751,0.796465,0.448410,0.473702,"1,924,570","29,633,100"
SLR,"Nov 20, 2017",0.516419,0.846357,0.515879,0.795599,"785,934","19,230,600"
SLR,"Nov 19, 2017",0.517025,0.536651,0.490863,0.517198,"345,838","19,252,900"
SLR,"Nov 18, 2017",0.526239,0.534943,0.506230,0.520572,"398,902","19,595,800"
SLR,"Nov 17, 2017",0.523053,0.531274,0.475848,0.531274,"522,361","19,476,800"
SLR,"Nov 16, 2017",0.538459,0.555643,0.491670,0.523500,"1,070,620","20,050,200"
SLR,"Nov 15, 2017",0.502509,0.548158,0.451017,0.537038,"1,105,200","18,711,200"
SLR,"Nov 14, 2017",0.389130,0.508223,0.389130,0.500424,"1,340,200","14,489,000"
SLR,"Nov 13, 2017",0.322900,0.391449,0.316803,0.389100,"219,934","12,022,800"
SLR,"Nov 12, 2017",0.349186,0.362494,0.300570,0.322504,"165,992","13,001,300"
SLR,"Nov 11, 2017",0.347382,0.367144,0.334962,0.349649,"170,973","12,933,900"
SLR,"Nov 10, 2017",0.391843,0.411966,0.317081,0.349088,"268,492","14,588,900"
SLR,"Nov 09, 2017",0.366827,0.404091,0.360678,0.390335,"273,612","13,657,200"
SLR,"Nov 08, 2017",0.415263,0.450226,0.355598,0.369436,"1,929,380","15,460,300"
SLR,"Nov 07, 2017",0.293185,0.494491,0.290041,0.418470,"3,012,870","10,915,100"
SLR,"Nov 06, 2017",0.288897,0.294847,0.276486,0.293115,"96,483","10,615,800"
SLR,"Nov 05, 2017",0.294214,0.303391,0.284545,0.290165,"55,680","10,811,000"
SLR,"Nov 04, 2017",0.284010,0.302119,0.270041,0.295205,"60,707","10,435,800"
SLR,"Nov 03, 2017",0.301563,0.320523,0.256700,0.284707,"368,506","11,080,500"
SLR,"Nov 02, 2017",0.350676,0.365484,0.296612,0.296612,"213,046","12,884,900"
SLR,"Nov 01, 2017",0.375144,0.375144,0.314649,0.350435,"349,238","13,783,600"
SLR,"Oct 31, 2017",0.295594,0.397107,0.285389,0.375386,"1,286,990","10,860,500"
SLR,"Oct 30, 2017",0.252358,0.302417,0.250167,0.293332,"185,955","9,271,870"
SLR,"Oct 29, 2017",0.230050,0.287584,0.224746,0.253637,"228,910","8,452,140"
SLR,"Oct 28, 2017",0.229476,0.235615,0.222667,0.230182,"36,590","8,430,960"
SLR,"Oct 27, 2017",0.252253,0.252690,0.224265,0.229869,"60,735","9,267,640"
SLR,"Oct 26, 2017",0.245732,0.254804,0.241971,0.252170,"106,731","9,027,880"
SLR,"Oct 25, 2017",0.236831,0.258685,0.224429,0.245895,"149,679","8,700,710"
SLR,"Oct 24, 2017",0.223055,0.285381,0.206186,0.236437,"466,934","8,194,470"
SLR,"Oct 23, 2017",0.265645,0.270601,0.213632,0.224088,"300,882","9,758,900"
SLR,"Oct 22, 2017",0.329785,0.342626,0.258651,0.264957,"961,598","12,115,000"
SLR,"Oct 21, 2017",0.224006,0.469701,0.216682,0.341766,"5,606,560","8,228,950"
SLR,"Oct 20, 2017",0.196377,0.229118,0.194387,0.224167,"156,552","7,213,900"
SLR,"Oct 19, 2017",0.192141,0.206691,0.184879,0.196308,"57,133","7,058,200"
SLR,"Oct 18, 2017",0.196038,0.198694,0.183797,0.192162,"36,765","7,201,240"
SLR,"Oct 17, 2017",0.205125,0.209240,0.194622,0.195514,"32,999","7,534,910"
SLR,"Oct 16, 2017",0.199246,0.219820,0.195654,0.205345,"128,018","7,318,810"
SLR,"Oct 15, 2017",0.215933,0.215944,0.194753,0.199153,"77,392","7,931,620"
SLR,"Oct 14, 2017",0.195410,0.247550,0.193582,0.216970,"210,993","7,177,630"
SLR,"Oct 13, 2017",0.190967,0.231744,0.185324,0.194880,"73,103","7,014,260"
SLR,"Oct 12, 2017",0.192905,0.223438,0.184925,0.191194,"63,329","7,085,270"
SLR,"Oct 11, 2017",0.174488,0.199243,0.167288,0.193019,"29,934","6,408,710"
SLR,"Oct 10, 2017",0.181972,0.203264,0.167956,0.174637,"40,497","6,683,460"
SLR,"Oct 09, 2017",0.185426,0.187822,0.176417,0.181974,"94,073","6,810,190"
SLR,"Oct 08, 2017",0.201473,0.202239,0.182527,0.185344,"34,463","7,399,340"
SLR,"Oct 07, 2017",0.201601,0.205830,0.193031,0.202214,"31,399","7,403,940"
SLR,"Oct 06, 2017",0.211230,0.215925,0.200053,0.201360,"26,987","7,757,320"
SLR,"Oct 05, 2017",0.215965,0.223501,0.211006,0.211161,"48,819","7,931,050"
SLR,"Oct 04, 2017",0.222222,0.222934,0.214521,0.215516,"33,681","8,160,720"
