symbol,date,open,high,low,close,volume,market_cap
SLS,"Dec 20, 2017",33.48,37.52,29.55,33.04,"558,138","33,805,300"
SLS,"Dec 19, 2017",35.58,36.93,32.26,33.51,"400,934","35,927,200"
SLS,"Dec 18, 2017",33.58,35.55,31.84,35.55,"309,959","33,905,000"
SLS,"Dec 17, 2017",34.13,34.25,32.05,33.48,"263,729","34,456,700"
SLS,"Dec 16, 2017",32.57,34.58,31.29,34.12,"137,433","32,883,500"
SLS,"Dec 15, 2017",31.85,33.38,30.42,31.83,"206,471","32,154,800"
SLS,"Dec 14, 2017",32.35,33.94,30.90,31.96,"255,377","32,664,000"
SLS,"Dec 13, 2017",32.85,37.59,30.87,32.45,"868,013","33,166,000"
SLS,"Dec 12, 2017",31.09,36.14,29.50,33.16,"908,103","31,393,500"
SLS,"Dec 11, 2017",29.11,37.65,28.48,31.41,"521,781","29,388,600"
SLS,"Dec 10, 2017",30.23,31.11,25.81,29.32,"127,499","30,518,300"
SLS,"Dec 09, 2017",33.34,33.55,27.10,30.10,"196,852","33,658,900"
SLS,"Dec 08, 2017",38.64,38.64,28.48,33.37,"1,219,590","38,841,200"
SLS,"Dec 07, 2017",24.86,45.88,21.75,45.88,"3,561,070","24,988,500"
SLS,"Dec 06, 2017",21.79,32.11,20.85,25.44,"2,936,510","21,902,400"
SLS,"Dec 05, 2017",21.79,23.90,20.35,21.84,"414,094","21,904,500"
SLS,"Dec 04, 2017",24.78,24.78,19.28,22.15,"918,918","24,910,000"
SLS,"Dec 03, 2017",17.57,19.63,15.93,19.63,"170,614","17,659,700"
SLS,"Dec 02, 2017",18.87,18.87,16.96,17.56,"143,849","18,966,700"
SLS,"Dec 01, 2017",18.19,22.37,15.83,18.89,"801,357","18,280,000"
SLS,"Nov 30, 2017",13.90,25.65,11.88,18.28,"2,078,640","13,966,600"
SLS,"Nov 29, 2017",16.80,27.44,13.23,13.69,"692,604","16,880,800"
SLS,"Nov 28, 2017",16.95,17.70,16.43,16.80,"67,194","17,038,600"
SLS,"Nov 27, 2017",16.40,17.52,15.97,16.91,"118,790","16,486,900"
SLS,"Nov 26, 2017",15.25,16.99,15.09,16.40,"228,993","15,327,200"
SLS,"Nov 25, 2017",14.69,15.74,14.68,15.26,"27,587","14,765,600"
SLS,"Nov 24, 2017",15.16,15.75,13.86,14.72,"150,160","15,235,000"
SLS,"Nov 23, 2017",13.66,15.47,13.66,15.33,"92,846","13,729,100"
SLS,"Nov 22, 2017",12.96,14.71,12.87,13.66,"44,423","13,024,200"
SLS,"Nov 21, 2017",14.06,15.53,12.42,12.93,"98,556","14,128,400"
SLS,"Nov 20, 2017",13.77,14.29,13.61,14.06,"21,118","13,840,300"
SLS,"Nov 19, 2017",13.32,13.97,13.25,13.88,"24,241","13,381,600"
SLS,"Nov 18, 2017",13.31,13.65,13.06,13.34,"44,010","13,378,700"
SLS,"Nov 17, 2017",13.69,17.27,13.06,13.36,"294,094","13,756,500"
SLS,"Nov 16, 2017",13.41,13.97,12.79,13.71,"25,635","13,474,900"
SLS,"Nov 15, 2017",12.96,13.51,12.80,13.34,"43,620","13,017,700"
SLS,"Nov 14, 2017",13.05,13.60,12.25,12.95,"112,498","13,109,700"
SLS,"Nov 13, 2017",10.98,17.97,10.90,13.18,"571,738","11,037,000"
SLS,"Nov 12, 2017",12.69,12.69,10.59,10.97,"23,238","12,751,400"
SLS,"Nov 11, 2017",13.42,14.37,12.21,12.70,"42,074","13,483,700"
SLS,"Nov 10, 2017",15.84,16.22,13.22,13.71,"52,873","15,911,900"
SLS,"Nov 09, 2017",16.61,16.62,14.94,15.88,"121,031","16,690,300"
SLS,"Nov 08, 2017",14.13,18.31,13.72,16.48,"95,052","14,199,200"
SLS,"Nov 07, 2017",12.98,14.68,12.78,14.18,"60,909","13,043,500"
SLS,"Nov 06, 2017",13.82,13.82,12.35,12.73,"46,509","13,889,000"
SLS,"Nov 05, 2017",13.35,14.01,13.19,13.79,"23,661","13,415,600"
SLS,"Nov 04, 2017",14.49,14.75,13.21,13.38,"46,451","14,561,900"
SLS,"Nov 03, 2017",13.41,16.09,12.58,14.53,"75,492","13,472,600"
SLS,"Nov 02, 2017",14.16,15.19,11.55,13.43,"79,546","14,229,800"
SLS,"Nov 01, 2017",14.63,15.99,13.87,14.15,"124,354","14,696,700"
SLS,"Oct 31, 2017",16.64,18.07,14.29,14.64,"205,474","16,716,900"
SLS,"Oct 30, 2017",17.42,18.98,16.65,17.02,"126,994","17,505,000"
SLS,"Oct 29, 2017",20.33,21.70,17.20,17.53,"218,112","20,428,400"
SLS,"Oct 28, 2017",24.00,24.33,19.29,20.36,"435,391","24,108,200"
SLS,"Oct 27, 2017",24.87,35.32,22.51,23.71,"2,614,070","24,985,600"
SLS,"Oct 26, 2017",15.60,45.52,14.96,26.30,"4,550,220","15,669,100"
SLS,"Oct 25, 2017",15.36,16.65,13.87,16.20,"72,031","15,430,400"
SLS,"Oct 24, 2017",13.64,19.68,13.04,15.32,"336,274","13,697,200"
SLS,"Oct 23, 2017",13.47,18.12,12.40,13.67,"19,953","13,533,000"
SLS,"Oct 22, 2017",14.45,14.69,13.08,13.49,"25,285","14,518,500"
SLS,"Oct 21, 2017",14.43,15.26,13.49,14.45,"9,373","14,493,300"
SLS,"Oct 20, 2017",15.45,16.37,14.43,14.46,"39,820","15,522,200"
SLS,"Oct 19, 2017",14.92,17.94,14.78,15.45,"70,109","14,984,800"
SLS,"Oct 18, 2017",13.35,21.33,12.85,14.91,"434,359","13,413,000"
SLS,"Oct 17, 2017",13.33,20.99,12.70,13.35,"339,869","13,387,000"
SLS,"Oct 16, 2017",14.64,15.16,12.58,13.33,"29,970","14,706,200"
SLS,"Oct 15, 2017",17.41,18.10,14.08,14.64,"15,411","17,482,500"
SLS,"Oct 14, 2017",12.85,20.23,12.33,17.37,"110,947","12,906,800"
SLS,"Oct 13, 2017",14.26,15.16,12.19,12.85,"6,811","14,324,100"
SLS,"Oct 12, 2017",12.96,14.94,12.32,14.22,"35,823","13,016,000"
SLS,"Oct 11, 2017",11.81,13.50,11.54,12.95,"24,427","11,861,300"
SLS,"Oct 10, 2017",13.26,13.43,11.57,11.81,"6,709","13,315,100"
SLS,"Oct 09, 2017",13.81,14.12,13.20,13.26,"17,307","13,868,900"
SLS,"Oct 08, 2017",13.80,14.07,13.60,13.80,"21,247","13,860,900"
SLS,"Oct 07, 2017",14.82,14.83,13.57,13.84,"10,980","14,885,100"
SLS,"Oct 06, 2017",14.36,15.32,13.91,14.56,"7,491","14,422,400"
SLS,"Oct 05, 2017",14.34,14.50,13.80,14.36,"6,772","14,396,600"
SLS,"Oct 04, 2017",14.71,14.89,14.07,14.32,"7,160","14,769,000"
SLS,"Oct 03, 2017",15.37,15.81,14.24,14.66,"11,943","15,435,800"
SLS,"Oct 02, 2017",15.03,15.43,14.64,15.37,"5,019","15,093,200"
SLS,"Oct 01, 2017",15.21,15.49,14.81,15.04,"8,668","15,278,100"
SLS,"Sep 30, 2017",15.20,15.57,14.73,15.21,"4,607","15,261,100"
SLS,"Sep 29, 2017",14.80,15.44,14.19,15.20,"8,270","14,858,000"
SLS,"Sep 28, 2017",15.19,15.46,14.62,14.81,"16,417","15,250,400"
SLS,"Sep 27, 2017",13.74,15.25,13.74,15.19,"11,763","13,798,000"
SLS,"Sep 26, 2017",13.77,15.64,13.75,13.78,"20,475","13,831,100"
SLS,"Sep 25, 2017",13.08,15.75,12.65,13.77,"76,962","13,138,000"
SLS,"Sep 24, 2017",12.86,14.03,12.33,13.10,"62,793","12,913,400"
