symbol,date,open,high,low,close,volume,market_cap
SNGLS,"Dec 20, 2017",0.156141,0.245614,0.141358,0.192885,"10,102,000","93,684,700"
SNGLS,"Dec 19, 2017",0.156389,0.188962,0.149653,0.156103,"5,767,940","93,833,400"
SNGLS,"Dec 18, 2017",0.140381,0.163609,0.133932,0.157148,"5,534,770","84,228,300"
SNGLS,"Dec 17, 2017",0.136810,0.167527,0.135704,0.140065,"6,580,180","82,086,100"
SNGLS,"Dec 16, 2017",0.152241,0.166439,0.127372,0.134693,"7,388,810","91,344,800"
SNGLS,"Dec 15, 2017",0.162907,0.164506,0.147145,0.151858,"3,262,700","97,744,400"
SNGLS,"Dec 14, 2017",0.153349,0.175964,0.147790,0.163272,"6,339,260","92,009,700"
SNGLS,"Dec 13, 2017",0.155314,0.162904,0.139828,0.152753,"5,599,290","93,188,400"
SNGLS,"Dec 12, 2017",0.136654,0.167293,0.130969,0.156373,"7,710,090","81,992,400"
SNGLS,"Dec 11, 2017",0.110159,0.166737,0.108662,0.137176,"7,111,170","66,095,100"
SNGLS,"Dec 10, 2017",0.126186,0.126186,0.103745,0.110885,"1,633,970","75,711,700"
SNGLS,"Dec 09, 2017",0.138644,0.140527,0.115652,0.125650,"2,320,770","83,186,300"
SNGLS,"Dec 08, 2017",0.120351,0.138798,0.106290,0.138714,"3,533,540","72,210,600"
SNGLS,"Dec 07, 2017",0.141498,0.155066,0.117914,0.120241,"3,163,200","84,899,000"
SNGLS,"Dec 06, 2017",0.161009,0.167151,0.135994,0.141433,"3,416,040","96,605,300"
SNGLS,"Dec 05, 2017",0.164889,0.174701,0.155180,0.160499,"3,605,700","98,933,500"
SNGLS,"Dec 04, 2017",0.152437,0.180263,0.148178,0.165134,"4,813,070","91,462,300"
SNGLS,"Dec 03, 2017",0.166163,0.173529,0.142818,0.151966,"3,261,010","99,697,700"
SNGLS,"Dec 02, 2017",0.126121,0.181097,0.123216,0.166157,"5,735,160","75,672,900"
SNGLS,"Dec 01, 2017",0.123033,0.127897,0.117975,0.125958,"1,449,520","73,820,000"
SNGLS,"Nov 30, 2017",0.121492,0.131835,0.105034,0.123867,"1,471,110","72,894,900"
SNGLS,"Nov 29, 2017",0.149190,0.151627,0.116157,0.119873,"1,442,160","89,514,000"
SNGLS,"Nov 28, 2017",0.158013,0.158078,0.145854,0.149570,"1,401,570","94,807,900"
SNGLS,"Nov 27, 2017",0.160740,0.164713,0.146066,0.158053,"1,905,950","96,444,000"
SNGLS,"Nov 26, 2017",0.130277,0.167517,0.129861,0.161635,"5,345,190","78,166,500"
SNGLS,"Nov 25, 2017",0.127605,0.134240,0.126592,0.129988,"1,410,140","76,563,200"
SNGLS,"Nov 24, 2017",0.125711,0.134712,0.121705,0.128924,"1,470,360","75,426,500"
SNGLS,"Nov 23, 2017",0.130725,0.131628,0.120644,0.126006,"1,363,680","78,435,000"
SNGLS,"Nov 22, 2017",0.130502,0.133356,0.123892,0.130642,"1,223,540","78,301,200"
SNGLS,"Nov 21, 2017",0.133994,0.134861,0.122445,0.130315,"1,431,570","80,396,700"
SNGLS,"Nov 20, 2017",0.132882,0.134807,0.126746,0.134605,"1,261,480","79,729,400"
SNGLS,"Nov 19, 2017",0.129375,0.149399,0.129075,0.133167,"1,723,570","77,624,700"
SNGLS,"Nov 18, 2017",0.125023,0.130154,0.120313,0.129279,"1,197,360","75,014,100"
SNGLS,"Nov 17, 2017",0.128024,0.134793,0.122989,0.125364,"1,240,820","76,814,600"
SNGLS,"Nov 16, 2017",0.138393,0.138654,0.126798,0.128127,"1,599,730","83,036,100"
SNGLS,"Nov 15, 2017",0.142868,0.151750,0.135409,0.138014,"1,564,320","85,721,000"
SNGLS,"Nov 14, 2017",0.135700,0.143182,0.132750,0.143182,"1,388,320","81,419,800"
SNGLS,"Nov 13, 2017",0.126393,0.146234,0.126336,0.135576,"1,470,920","75,836,000"
SNGLS,"Nov 12, 2017",0.139982,0.140101,0.120851,0.126858,"1,868,630","83,988,900"
SNGLS,"Nov 11, 2017",0.154790,0.158831,0.140197,0.141433,"1,718,320","92,874,000"
SNGLS,"Nov 10, 2017",0.182843,0.192220,0.146756,0.155312,"2,257,350","109,706,000"
SNGLS,"Nov 09, 2017",0.188815,0.189500,0.177298,0.182209,"1,934,580","113,289,000"
SNGLS,"Nov 08, 2017",0.206629,0.206629,0.176668,0.189747,"2,958,440","123,977,000"
SNGLS,"Nov 07, 2017",0.269058,0.326045,0.182540,0.207032,"7,342,230","161,435,000"
SNGLS,"Nov 06, 2017",0.184883,0.236783,0.151375,0.236783,"3,406,400","110,930,000"
SNGLS,"Nov 05, 2017",0.145412,0.203159,0.142434,0.183649,"3,963,770","87,247,400"
SNGLS,"Nov 04, 2017",0.135784,0.158299,0.129088,0.145437,"1,957,750","81,470,400"
SNGLS,"Nov 03, 2017",0.120646,0.135571,0.115687,0.135111,"1,805,870","72,387,600"
SNGLS,"Nov 02, 2017",0.138391,0.143728,0.117825,0.119229,"1,606,530","83,034,400"
SNGLS,"Nov 01, 2017",0.131981,0.142472,0.125843,0.138728,"1,632,460","79,188,300"
SNGLS,"Oct 31, 2017",0.139251,0.141637,0.131326,0.132961,"1,253,490","83,550,700"
SNGLS,"Oct 30, 2017",0.141894,0.144345,0.135930,0.139801,"1,164,310","85,136,500"
SNGLS,"Oct 29, 2017",0.146515,0.156101,0.142102,0.142829,"1,240,380","87,909,200"
SNGLS,"Oct 28, 2017",0.151099,0.151924,0.142386,0.146387,"1,133,310","90,659,700"
SNGLS,"Oct 27, 2017",0.161194,0.163783,0.148216,0.149951,"1,193,260","96,716,300"
SNGLS,"Oct 26, 2017",0.141354,0.163851,0.140881,0.161062,"1,505,830","84,812,600"
SNGLS,"Oct 25, 2017",0.134049,0.143099,0.130051,0.141764,"1,450,080","80,429,600"
SNGLS,"Oct 24, 2017",0.128814,0.148183,0.125866,0.133853,"1,341,820","77,288,500"
SNGLS,"Oct 23, 2017",0.137665,0.140542,0.126006,0.128714,"901,734","82,599,100"
SNGLS,"Oct 22, 2017",0.131961,0.141559,0.131961,0.139072,"1,358,400","79,176,500"
SNGLS,"Oct 21, 2017",0.145159,0.147084,0.129205,0.131960,"847,627","87,095,400"
SNGLS,"Oct 20, 2017",0.154576,0.155086,0.141845,0.145920,"1,187,420","92,745,400"
SNGLS,"Oct 19, 2017",0.157603,0.160918,0.151425,0.155255,"1,250,740","94,561,500"
SNGLS,"Oct 18, 2017",0.148947,0.159440,0.138214,0.157986,"1,391,270","89,368,000"
SNGLS,"Oct 17, 2017",0.161723,0.166371,0.146494,0.148898,"1,064,400","97,034,100"
SNGLS,"Oct 16, 2017",0.146707,0.169418,0.140413,0.161781,"1,248,710","88,024,200"
SNGLS,"Oct 15, 2017",0.148366,0.154556,0.145450,0.146518,"873,052","89,019,700"
SNGLS,"Oct 14, 2017",0.144910,0.187439,0.142022,0.149509,"1,487,960","86,945,700"
SNGLS,"Oct 13, 2017",0.142975,0.144920,0.127365,0.144757,"1,429,440","85,784,800"
SNGLS,"Oct 12, 2017",0.152516,0.153663,0.136200,0.141550,"873,653","91,509,400"
SNGLS,"Oct 11, 2017",0.152521,0.154653,0.149422,0.151975,"488,630","91,512,700"
SNGLS,"Oct 10, 2017",0.142641,0.157795,0.142641,0.151887,"504,985","85,584,900"
SNGLS,"Oct 09, 2017",0.138725,0.158006,0.137029,0.142764,"536,116","83,235,200"
SNGLS,"Oct 08, 2017",0.163891,0.165925,0.137870,0.138494,"521,942","98,334,400"
SNGLS,"Oct 07, 2017",0.171249,0.171845,0.159207,0.163895,"480,707","102,750,000"
SNGLS,"Oct 06, 2017",0.168458,0.174089,0.160559,0.171780,"426,020","101,075,000"
SNGLS,"Oct 05, 2017",0.171484,0.179123,0.161708,0.169046,"718,864","102,890,000"
SNGLS,"Oct 04, 2017",0.169629,0.204505,0.167365,0.172161,"1,488,370","101,777,000"
SNGLS,"Oct 03, 2017",0.153116,0.168415,0.150413,0.168415,"641,918","91,869,800"
SNGLS,"Oct 02, 2017",0.156159,0.160366,0.149592,0.152746,"558,209","93,695,600"
SNGLS,"Oct 01, 2017",0.172946,0.173506,0.148730,0.156803,"709,616","103,768,000"
SNGLS,"Sep 30, 2017",0.163450,0.173503,0.158483,0.172419,"488,560","98,070,200"
SNGLS,"Sep 29, 2017",0.167832,0.168945,0.159064,0.163048,"436,228","100,699,000"
SNGLS,"Sep 28, 2017",0.177318,0.182479,0.163571,0.167995,"619,215","106,391,000"
SNGLS,"Sep 27, 2017",0.180691,0.183211,0.170250,0.177843,"724,701","108,415,000"
SNGLS,"Sep 26, 2017",0.175878,0.183676,0.169427,0.181959,"636,495","105,527,000"
SNGLS,"Sep 25, 2017",0.168006,0.181575,0.164744,0.175652,"496,048","100,804,000"
SNGLS,"Sep 24, 2017",0.179790,0.182940,0.167298,0.167678,"178,322","107,874,000"
SNGLS,"Sep 23, 2017",0.174915,0.184525,0.167018,0.179798,"300,383","104,949,000"
SNGLS,"Sep 22, 2017",0.173801,0.190394,0.173487,0.175256,"420,450","104,281,000"
SNGLS,"Sep 21, 2017",0.191076,0.195416,0.164941,0.173895,"455,485","114,645,000"
SNGLS,"Sep 20, 2017",0.185810,0.195290,0.180263,0.191266,"630,561","111,486,000"
SNGLS,"Sep 19, 2017",0.183189,0.191102,0.170722,0.186001,"730,345","109,914,000"
SNGLS,"Sep 18, 2017",0.170511,0.221285,0.169163,0.182893,"916,843","102,307,000"
SNGLS,"Sep 17, 2017",0.179184,0.179184,0.161381,0.171048,"334,957","107,510,000"
SNGLS,"Sep 16, 2017",0.155105,0.181443,0.155105,0.179409,"555,948","93,063,000"
SNGLS,"Sep 15, 2017",0.122503,0.169328,0.105544,0.158062,"1,536,450","73,501,700"
SNGLS,"Sep 14, 2017",0.148345,0.152773,0.114859,0.120473,"423,795","89,006,800"
SNGLS,"Sep 13, 2017",0.150229,0.157555,0.129875,0.149202,"731,354","90,137,500"
SNGLS,"Sep 12, 2017",0.160084,0.168206,0.144317,0.150720,"653,703","96,050,300"
SNGLS,"Sep 11, 2017",0.165953,0.186795,0.156485,0.160537,"863,026","99,571,700"
SNGLS,"Sep 10, 2017",0.137358,0.169066,0.135416,0.167029,"1,657,970","82,414,600"
SNGLS,"Sep 09, 2017",0.126403,0.138396,0.124331,0.137440,"627,866","75,842,100"
SNGLS,"Sep 08, 2017",0.149565,0.149565,0.121449,0.125973,"730,605","89,738,800"
SNGLS,"Sep 07, 2017",0.151670,0.153277,0.139271,0.149466,"618,554","91,001,900"
SNGLS,"Sep 06, 2017",0.146086,0.163288,0.142388,0.152371,"1,122,500","87,651,700"
SNGLS,"Sep 05, 2017",0.114643,0.164738,0.110518,0.146619,"1,022,850","68,785,800"
SNGLS,"Sep 04, 2017",0.135423,0.144158,0.103277,0.113423,"559,154","81,253,800"
SNGLS,"Sep 03, 2017",0.141766,0.145302,0.126472,0.135326,"581,265","85,059,900"
SNGLS,"Sep 02, 2017",0.147780,0.153684,0.136525,0.142019,"847,901","88,668,200"
SNGLS,"Sep 01, 2017",0.160119,0.162932,0.139203,0.147879,"1,214,350","96,071,200"
SNGLS,"Aug 31, 2017",0.140651,0.208415,0.139750,0.160084,"2,230,220","84,390,700"
SNGLS,"Aug 30, 2017",0.134726,0.141936,0.127378,0.140674,"961,196","80,835,800"
SNGLS,"Aug 29, 2017",0.135870,0.137636,0.132583,0.134801,"686,815","81,522,100"
SNGLS,"Aug 28, 2017",0.148981,0.149538,0.128476,0.135730,"753,061","89,388,900"
SNGLS,"Aug 27, 2017",0.141048,0.150390,0.135271,0.147806,"669,124","84,629,000"
SNGLS,"Aug 26, 2017",0.135900,0.143176,0.131591,0.141350,"681,850","81,539,900"
SNGLS,"Aug 25, 2017",0.138156,0.140352,0.129499,0.135897,"699,422","82,893,400"
SNGLS,"Aug 24, 2017",0.136472,0.138533,0.131737,0.137960,"770,861","81,883,000"
SNGLS,"Aug 23, 2017",0.135865,0.138856,0.127458,0.136411,"658,965","81,519,300"
SNGLS,"Aug 22, 2017",0.145339,0.148971,0.129970,0.135608,"805,628","87,203,500"
SNGLS,"Aug 21, 2017",0.164797,0.168299,0.137499,0.144665,"1,061,010","98,878,000"
SNGLS,"Aug 20, 2017",0.143444,0.164527,0.137088,0.164176,"872,089","86,066,200"
SNGLS,"Aug 19, 2017",0.142463,0.147936,0.133907,0.143859,"688,595","85,478,000"
SNGLS,"Aug 18, 2017",0.155092,0.163284,0.139869,0.142252,"785,396","93,055,200"
SNGLS,"Aug 17, 2017",0.166949,0.171139,0.150688,0.154642,"1,074,510","100,169,000"
SNGLS,"Aug 16, 2017",0.166516,0.170515,0.152261,0.166815,"840,844","99,909,500"
SNGLS,"Aug 15, 2017",0.160103,0.174902,0.149941,0.166166,"857,863","96,062,000"
SNGLS,"Aug 14, 2017",0.173580,0.185617,0.159342,0.159900,"974,451","104,148,000"
