symbol,date,open,high,low,close,volume,market_cap
STEEM,"Dec 20, 2017",2.88,3.70,2.43,3.42,"20,406,500","708,089,000"
STEEM,"Dec 19, 2017",2.87,3.37,2.63,2.92,"16,961,200","706,191,000"
STEEM,"Dec 18, 2017",2.33,2.94,2.21,2.90,"10,902,600","573,063,000"
STEEM,"Dec 17, 2017",2.11,2.42,2.10,2.31,"7,228,050","518,769,000"
STEEM,"Dec 16, 2017",1.97,2.26,1.97,2.12,"5,782,550","484,278,000"
STEEM,"Dec 15, 2017",2.04,2.08,1.80,1.96,"4,929,700","502,442,000"
STEEM,"Dec 14, 2017",1.76,2.10,1.76,2.04,"6,859,390","432,859,000"
STEEM,"Dec 13, 2017",1.86,1.88,1.69,1.78,"3,287,560","458,352,000"
STEEM,"Dec 12, 2017",1.72,1.87,1.66,1.85,"3,830,320","423,130,000"
STEEM,"Dec 11, 2017",1.68,1.79,1.68,1.72,"3,618,120","413,124,000"
STEEM,"Dec 10, 2017",1.67,1.92,1.31,1.67,"6,084,930","411,814,000"
STEEM,"Dec 09, 2017",1.90,1.94,1.54,1.67,"3,380,210","468,625,000"
STEEM,"Dec 08, 2017",2.14,2.16,1.61,1.94,"11,425,200","526,228,000"
STEEM,"Dec 07, 2017",1.29,2.15,1.27,2.05,"26,993,700","318,547,000"
STEEM,"Dec 06, 2017",1.45,1.48,1.26,1.28,"6,209,470","358,357,000"
STEEM,"Dec 05, 2017",1.43,1.62,1.42,1.46,"7,781,870","352,273,000"
STEEM,"Dec 04, 2017",1.22,1.46,1.19,1.43,"6,588,640","302,094,000"
STEEM,"Dec 03, 2017",1.20,1.31,1.15,1.22,"4,982,820","295,348,000"
STEEM,"Dec 02, 2017",1.09,1.22,1.05,1.20,"2,454,140","269,323,000"
STEEM,"Dec 01, 2017",1.00,1.10,0.971877,1.08,"1,529,000","246,689,000"
STEEM,"Nov 30, 2017",0.958366,1.07,0.903074,1.00,"1,492,280","236,304,000"
STEEM,"Nov 29, 2017",1.16,1.22,0.906742,0.935901,"3,862,430","285,058,000"
STEEM,"Nov 28, 2017",1.18,1.25,1.12,1.15,"4,156,370","290,308,000"
STEEM,"Nov 27, 2017",1.10,1.28,1.08,1.18,"4,560,590","271,941,000"
STEEM,"Nov 26, 2017",1.04,1.12,1.00,1.10,"2,047,930","256,573,000"
STEEM,"Nov 25, 2017",0.944530,1.09,0.943787,1.05,"4,683,450","233,107,000"
STEEM,"Nov 24, 2017",0.955235,0.958427,0.904336,0.945050,"1,479,690","235,691,000"
STEEM,"Nov 23, 2017",0.997885,1.03,0.935986,0.959156,"2,615,650","246,293,000"
STEEM,"Nov 22, 2017",0.887593,1.20,0.887593,1.01,"17,039,100","219,024,000"
STEEM,"Nov 21, 2017",0.906709,0.931927,0.861888,0.891775,"1,054,310","223,686,000"
STEEM,"Nov 20, 2017",0.909170,0.933533,0.894166,0.908268,"957,215","224,234,000"
STEEM,"Nov 19, 2017",0.916248,0.934246,0.891957,0.911719,"923,674","225,894,000"
STEEM,"Nov 18, 2017",0.898064,0.946060,0.878782,0.917951,"791,665","221,301,000"
STEEM,"Nov 17, 2017",0.925367,0.943445,0.872433,0.894508,"994,977","227,969,000"
STEEM,"Nov 16, 2017",0.956527,0.959742,0.903621,0.925460,"1,219,280","235,649,000"
STEEM,"Nov 15, 2017",0.940384,0.979902,0.924597,0.951673,"1,115,710","231,698,000"
STEEM,"Nov 14, 2017",0.922614,0.975690,0.906125,0.940148,"1,109,360","227,275,000"
STEEM,"Nov 13, 2017",0.837323,0.939477,0.828150,0.922813,"1,651,660","206,137,000"
STEEM,"Nov 12, 2017",0.931650,0.931650,0.792410,0.828760,"1,826,970","229,228,000"
STEEM,"Nov 11, 2017",0.883401,0.942428,0.863185,0.921045,"1,356,190","217,299,000"
STEEM,"Nov 10, 2017",0.974021,1.02,0.860292,0.880470,"1,659,390","239,643,000"
STEEM,"Nov 09, 2017",0.940783,1.10,0.919496,0.988873,"2,512,220","231,449,000"
STEEM,"Nov 08, 2017",0.862364,0.955340,0.862364,0.954058,"1,301,880","212,095,000"
STEEM,"Nov 07, 2017",0.857132,0.918161,0.840616,0.863570,"928,998","210,706,000"
STEEM,"Nov 06, 2017",0.883579,0.906000,0.849599,0.857927,"849,436","217,146,000"
STEEM,"Nov 05, 2017",0.907709,0.944066,0.864680,0.873104,"723,016","223,024,000"
STEEM,"Nov 04, 2017",0.938682,0.965657,0.893071,0.910312,"672,802","230,573,000"
STEEM,"Nov 03, 2017",0.865200,0.961438,0.850508,0.941065,"1,158,030","212,338,000"
STEEM,"Nov 02, 2017",0.884517,0.907249,0.808724,0.881441,"1,407,280","216,921,000"
STEEM,"Nov 01, 2017",0.941229,0.960598,0.854941,0.883963,"1,379,960","230,762,000"
STEEM,"Oct 31, 2017",0.961082,0.996804,0.942736,0.943716,"820,424","235,556,000"
STEEM,"Oct 30, 2017",0.966413,0.993774,0.954415,0.970985,"732,532","236,803,000"
STEEM,"Oct 29, 2017",0.945126,1.04,0.939054,0.972884,"978,812","231,519,000"
STEEM,"Oct 28, 2017",0.991652,1.01,0.927472,0.941843,"643,861","242,821,000"
STEEM,"Oct 27, 2017",0.974958,1.00,0.945824,0.989806,"601,412","238,670,000"
STEEM,"Oct 26, 2017",0.998002,1.03,0.937540,0.963551,"880,426","244,303,000"
STEEM,"Oct 25, 2017",0.994744,1.03,0.896649,0.998517,"861,748","243,448,000"
STEEM,"Oct 24, 2017",0.930480,1.07,0.898789,0.993993,"1,412,570","227,660,000"
STEEM,"Oct 23, 2017",0.974869,0.988070,0.880831,0.926321,"787,480","238,354,000"
STEEM,"Oct 22, 2017",0.972041,1.03,0.939994,0.974535,"789,056","237,509,000"
STEEM,"Oct 21, 2017",0.999598,1.02,0.893548,0.974472,"1,126,320","244,149,000"
STEEM,"Oct 20, 2017",1.09,1.13,0.993585,1.02,"1,432,670","265,725,000"
STEEM,"Oct 19, 2017",1.07,1.09,1.00,1.09,"1,097,510","260,926,000"
STEEM,"Oct 18, 2017",1.06,1.11,0.971589,1.07,"2,096,890","258,858,000"
STEEM,"Oct 17, 2017",1.05,1.09,1.01,1.06,"1,075,570","255,345,000"
STEEM,"Oct 16, 2017",1.07,1.08,1.01,1.05,"1,007,190","261,830,000"
STEEM,"Oct 15, 2017",1.07,1.10,0.998666,1.08,"815,724","260,032,000"
STEEM,"Oct 14, 2017",1.03,1.18,1.01,1.06,"1,055,690","252,178,000"
STEEM,"Oct 13, 2017",1.04,1.04,0.967398,1.03,"1,611,520","253,519,000"
STEEM,"Oct 12, 2017",1.10,1.12,1.01,1.04,"1,717,420","267,692,000"
STEEM,"Oct 11, 2017",1.03,1.12,1.03,1.10,"1,468,260","251,379,000"
STEEM,"Oct 10, 2017",1.07,1.13,1.02,1.03,"1,168,220","260,164,000"
STEEM,"Oct 09, 2017",1.12,1.15,0.958003,1.06,"1,756,730","273,178,000"
STEEM,"Oct 08, 2017",1.22,1.27,1.08,1.12,"1,382,630","295,721,000"
STEEM,"Oct 07, 2017",1.21,1.26,1.17,1.22,"845,706","293,172,000"
STEEM,"Oct 06, 2017",1.17,1.23,1.17,1.21,"868,404","283,831,000"
STEEM,"Oct 05, 2017",1.18,1.22,1.09,1.17,"1,327,140","286,848,000"
STEEM,"Oct 04, 2017",1.22,1.23,1.13,1.18,"1,306,770","295,222,000"
STEEM,"Oct 03, 2017",1.32,1.33,1.17,1.23,"1,528,740","318,943,000"
STEEM,"Oct 02, 2017",1.39,1.43,1.29,1.31,"2,974,760","337,053,000"
STEEM,"Oct 01, 2017",1.46,1.52,1.41,1.41,"3,063,030","354,133,000"
STEEM,"Sep 30, 2017",1.64,1.68,1.43,1.47,"5,720,930","397,770,000"
STEEM,"Sep 29, 2017",1.44,1.64,1.26,1.64,"9,012,310","349,458,000"
STEEM,"Sep 28, 2017",1.22,1.49,1.20,1.43,"6,612,830","295,714,000"
STEEM,"Sep 27, 2017",1.08,1.26,1.08,1.22,"2,507,270","263,203,000"
STEEM,"Sep 26, 2017",1.11,1.12,1.07,1.09,"850,509","268,720,000"
STEEM,"Sep 25, 2017",1.07,1.17,1.04,1.11,"778,463","260,006,000"
STEEM,"Sep 24, 2017",1.08,1.10,1.01,1.07,"623,883","261,509,000"
STEEM,"Sep 23, 2017",1.01,1.10,0.990564,1.08,"755,874","244,438,000"
STEEM,"Sep 22, 2017",0.996603,1.06,0.960552,1.01,"563,069","241,246,000"
STEEM,"Sep 21, 2017",1.12,1.13,0.973992,1.01,"817,391","270,669,000"
STEEM,"Sep 20, 2017",1.10,1.19,1.06,1.12,"1,344,570","265,953,000"
STEEM,"Sep 19, 2017",1.22,1.23,1.09,1.09,"1,031,290","295,568,000"
STEEM,"Sep 18, 2017",1.09,1.29,1.09,1.22,"1,096,350","262,985,000"
STEEM,"Sep 17, 2017",1.12,1.18,1.02,1.09,"884,868","271,284,000"
STEEM,"Sep 16, 2017",1.17,1.19,1.04,1.12,"769,713","283,257,000"
STEEM,"Sep 15, 2017",0.990817,1.22,0.902496,1.14,"1,644,810","239,282,000"
STEEM,"Sep 14, 2017",1.25,1.29,0.976507,0.994543,"1,193,010","301,092,000"
STEEM,"Sep 13, 2017",1.22,1.32,1.08,1.23,"1,150,290","294,325,000"
STEEM,"Sep 12, 2017",1.23,1.32,1.19,1.22,"889,780","297,264,000"
STEEM,"Sep 11, 2017",1.32,1.36,1.21,1.23,"850,268","317,685,000"
STEEM,"Sep 10, 2017",1.40,1.42,1.24,1.32,"1,089,070","336,600,000"
STEEM,"Sep 09, 2017",1.37,1.45,1.30,1.40,"761,038","329,790,000"
STEEM,"Sep 08, 2017",1.56,1.61,1.25,1.37,"1,853,200","375,501,000"
STEEM,"Sep 07, 2017",1.55,1.70,1.51,1.56,"2,782,790","373,000,000"
STEEM,"Sep 06, 2017",1.33,1.65,1.33,1.56,"2,665,210","320,970,000"
STEEM,"Sep 05, 2017",1.19,1.40,1.06,1.34,"1,378,700","285,611,000"
STEEM,"Sep 04, 2017",1.39,1.40,1.10,1.17,"1,699,020","333,310,000"
STEEM,"Sep 03, 2017",1.36,1.44,1.28,1.39,"873,348","327,271,000"
STEEM,"Sep 02, 2017",1.59,1.61,1.26,1.34,"2,011,900","382,583,000"
STEEM,"Sep 01, 2017",1.56,1.62,1.52,1.59,"1,909,350","374,774,000"
STEEM,"Aug 31, 2017",1.44,1.56,1.42,1.56,"2,062,230","344,767,000"
STEEM,"Aug 30, 2017",1.42,1.46,1.38,1.45,"1,613,240","341,438,000"
STEEM,"Aug 29, 2017",1.46,1.54,1.40,1.43,"2,376,240","348,987,000"
STEEM,"Aug 28, 2017",1.43,1.48,1.35,1.46,"2,053,110","341,854,000"
STEEM,"Aug 27, 2017",1.52,1.57,1.40,1.43,"2,735,080","365,171,000"
STEEM,"Aug 26, 2017",1.38,1.60,1.29,1.53,"4,297,380","331,668,000"
STEEM,"Aug 25, 2017",1.28,1.37,1.26,1.37,"1,456,350","306,485,000"
STEEM,"Aug 24, 2017",1.23,1.33,1.20,1.28,"1,958,180","295,147,000"
STEEM,"Aug 23, 2017",1.21,1.31,1.19,1.24,"2,415,700","289,363,000"
STEEM,"Aug 22, 2017",1.19,1.31,1.12,1.19,"2,112,460","285,896,000"
STEEM,"Aug 21, 2017",1.41,1.49,1.16,1.20,"3,309,300","339,535,000"
STEEM,"Aug 20, 2017",1.06,1.57,1.02,1.44,"3,358,270","254,472,000"
STEEM,"Aug 19, 2017",1.05,1.09,0.929075,1.07,"1,497,640","252,876,000"
STEEM,"Aug 18, 2017",1.12,1.15,1.04,1.07,"1,036,360","269,091,000"
STEEM,"Aug 17, 2017",1.18,1.18,1.08,1.14,"1,039,930","281,663,000"
STEEM,"Aug 16, 2017",1.13,1.21,1.10,1.18,"1,002,990","270,430,000"
STEEM,"Aug 15, 2017",1.21,1.21,1.08,1.14,"1,538,190","290,681,000"
STEEM,"Aug 14, 2017",1.24,1.26,1.10,1.20,"1,481,380","297,811,000"
STEEM,"Aug 13, 2017",1.36,1.40,1.17,1.24,"1,530,080","324,184,000"
STEEM,"Aug 12, 2017",1.15,1.54,1.14,1.36,"3,035,180","273,860,000"
STEEM,"Aug 11, 2017",1.21,1.24,1.14,1.14,"1,925,900","289,748,000"
STEEM,"Aug 10, 2017",1.31,1.32,1.21,1.22,"1,548,230","312,575,000"
STEEM,"Aug 09, 2017",1.36,1.39,1.28,1.31,"1,458,030","324,049,000"
STEEM,"Aug 08, 2017",1.31,1.45,1.29,1.36,"1,641,340","312,048,000"
STEEM,"Aug 07, 2017",1.36,1.37,1.29,1.31,"1,524,890","325,531,000"
STEEM,"Aug 06, 2017",1.35,1.39,1.31,1.38,"1,565,210","322,502,000"
STEEM,"Aug 05, 2017",1.28,1.42,1.28,1.34,"1,501,680","306,253,000"
STEEM,"Aug 04, 2017",1.27,1.33,1.25,1.28,"1,243,190","302,687,000"
STEEM,"Aug 03, 2017",1.24,1.29,1.22,1.27,"1,035,280","295,499,000"
STEEM,"Aug 02, 2017",1.26,1.33,1.20,1.24,"1,285,530","299,490,000"
STEEM,"Aug 01, 2017",1.20,1.27,1.08,1.26,"1,371,770","286,856,000"
STEEM,"Jul 31, 2017",1.20,1.23,1.18,1.20,"644,073","285,869,000"
STEEM,"Jul 30, 2017",1.30,1.31,1.18,1.20,"787,045","310,048,000"
STEEM,"Jul 29, 2017",1.23,1.30,1.10,1.30,"1,152,150","293,914,000"
STEEM,"Jul 28, 2017",1.35,1.37,1.20,1.24,"1,399,770","321,683,000"
STEEM,"Jul 27, 2017",1.22,1.37,1.22,1.35,"1,625,210","291,038,000"
STEEM,"Jul 26, 2017",1.30,1.34,1.14,1.22,"1,232,370","308,423,000"
STEEM,"Jul 25, 2017",1.54,1.55,1.18,1.29,"2,756,710","364,990,000"
STEEM,"Jul 24, 2017",1.60,1.65,1.51,1.52,"1,349,760","381,085,000"
STEEM,"Jul 23, 2017",1.77,1.81,1.45,1.61,"2,627,290","419,382,000"
STEEM,"Jul 22, 2017",1.41,1.81,1.40,1.78,"2,813,130","336,136,000"
STEEM,"Jul 21, 2017",1.37,1.50,1.33,1.42,"2,000,850","326,865,000"
STEEM,"Jul 20, 2017",1.14,1.43,1.13,1.36,"2,381,540","271,859,000"
STEEM,"Jul 19, 2017",1.26,1.32,1.09,1.13,"2,083,310","300,829,000"
STEEM,"Jul 18, 2017",1.13,1.35,1.05,1.25,"2,255,590","269,311,000"
STEEM,"Jul 17, 2017",0.887467,1.13,0.887467,1.12,"1,352,660","211,333,000"
STEEM,"Jul 16, 2017",0.954066,0.984837,0.772624,0.896907,"1,333,100","226,737,000"
STEEM,"Jul 15, 2017",1.07,1.07,0.915086,0.953154,"1,166,680","254,305,000"
STEEM,"Jul 14, 2017",1.16,1.16,0.995850,1.07,"1,012,260","276,028,000"
STEEM,"Jul 13, 2017",1.36,1.37,1.12,1.16,"1,580,660","321,600,000"
STEEM,"Jul 12, 2017",1.13,1.36,1.07,1.36,"2,211,440","266,730,000"
STEEM,"Jul 11, 2017",1.24,1.33,0.972486,1.13,"3,648,840","292,641,000"
STEEM,"Jul 10, 2017",1.54,1.55,1.18,1.26,"2,718,830","363,504,000"
STEEM,"Jul 09, 2017",1.70,1.72,1.52,1.53,"1,273,150","400,422,000"
STEEM,"Jul 08, 2017",1.52,1.70,1.39,1.69,"2,323,660","359,178,000"
STEEM,"Jul 07, 2017",1.86,1.88,1.52,1.52,"2,576,860","438,453,000"
STEEM,"Jul 06, 2017",1.80,1.89,1.78,1.85,"1,741,770","424,257,000"
STEEM,"Jul 05, 2017",1.87,1.89,1.74,1.80,"2,594,160","440,681,000"
STEEM,"Jul 04, 2017",1.63,1.87,1.63,1.85,"2,692,650","385,199,000"
STEEM,"Jul 03, 2017",1.64,1.67,1.58,1.64,"1,531,800","386,172,000"
STEEM,"Jul 02, 2017",1.60,1.66,1.53,1.64,"1,589,740","376,228,000"
STEEM,"Jul 01, 2017",1.66,1.68,1.55,1.59,"1,223,870","390,124,000"
STEEM,"Jun 30, 2017",1.75,1.78,1.63,1.66,"1,242,450","412,648,000"
STEEM,"Jun 29, 2017",1.92,1.93,1.71,1.75,"2,264,590","452,171,000"
STEEM,"Jun 28, 2017",1.81,1.96,1.71,1.92,"2,796,140","425,000,000"
STEEM,"Jun 27, 2017",1.80,1.82,1.48,1.78,"3,648,900","423,370,000"
STEEM,"Jun 26, 2017",1.89,2.01,1.46,1.80,"5,791,180","445,388,000"
STEEM,"Jun 25, 2017",2.05,2.11,1.80,1.89,"3,225,560","481,633,000"
STEEM,"Jun 24, 2017",2.17,2.24,2.02,2.06,"2,735,200","509,365,000"
STEEM,"Jun 23, 2017",2.01,2.24,1.95,2.17,"3,754,720","472,276,000"
STEEM,"Jun 22, 2017",1.98,2.01,1.89,2.01,"2,838,420","465,514,000"
STEEM,"Jun 21, 2017",2.04,2.06,1.85,1.98,"4,478,590","478,660,000"
STEEM,"Jun 20, 2017",2.12,2.21,1.93,2.04,"7,175,230","498,126,000"
STEEM,"Jun 19, 2017",2.00,2.24,1.98,2.12,"8,208,350","469,892,000"
STEEM,"Jun 18, 2017",2.04,2.07,1.98,2.00,"3,193,610","479,184,000"
STEEM,"Jun 17, 2017",2.09,2.10,2.01,2.04,"3,062,660","490,186,000"
STEEM,"Jun 16, 2017",2.03,2.11,1.91,2.08,"3,660,240","476,585,000"
STEEM,"Jun 15, 2017",1.98,2.10,1.64,2.03,"4,992,090","464,118,000"
STEEM,"Jun 14, 2017",2.37,2.44,1.87,1.97,"6,150,010","556,000,000"
STEEM,"Jun 13, 2017",2.08,2.45,2.05,2.37,"8,685,200","487,061,000"
STEEM,"Jun 12, 2017",2.46,2.48,1.97,2.08,"7,957,900","575,391,000"
STEEM,"Jun 11, 2017",2.22,2.48,2.19,2.45,"7,880,470","519,354,000"
STEEM,"Jun 10, 2017",2.50,2.72,2.20,2.24,"14,081,000","585,447,000"
STEEM,"Jun 09, 2017",2.36,2.80,2.30,2.49,"18,823,000","551,073,000"
STEEM,"Jun 08, 2017",2.14,2.37,2.04,2.36,"11,297,400","501,907,000"
STEEM,"Jun 07, 2017",2.61,2.61,1.89,2.09,"30,080,400","611,817,000"
STEEM,"Jun 06, 2017",1.72,2.74,1.44,2.60,"46,267,200","403,229,000"
STEEM,"Jun 05, 2017",1.28,1.73,1.28,1.72,"11,290,300","300,712,000"
STEEM,"Jun 04, 2017",1.29,1.35,1.18,1.30,"4,379,190","303,356,000"
STEEM,"Jun 03, 2017",1.32,1.46,1.17,1.30,"9,131,440","310,132,000"
STEEM,"Jun 02, 2017",1.00,1.34,1.00,1.32,"5,171,210","235,431,000"
STEEM,"Jun 01, 2017",0.950098,1.04,0.948211,1.00,"2,472,990","222,636,000"
STEEM,"May 31, 2017",0.929234,1.00,0.855396,0.950807,"2,570,200","217,655,000"
STEEM,"May 30, 2017",0.970721,1.02,0.917210,0.925792,"2,088,460","227,345,000"
STEEM,"May 29, 2017",0.952227,1.01,0.891542,0.970867,"1,857,810","222,812,000"
STEEM,"May 28, 2017",0.815165,1.05,0.815165,0.957411,"3,137,380","190,537,000"
STEEM,"May 27, 2017",0.961441,0.997929,0.630137,0.819755,"4,019,140","224,638,000"
STEEM,"May 26, 2017",1.08,1.31,0.927384,0.960876,"4,110,000","252,678,000"
STEEM,"May 25, 2017",1.22,1.33,1.07,1.08,"4,663,780","285,741,000"
STEEM,"May 24, 2017",1.24,1.42,1.20,1.23,"6,237,100","288,475,000"
STEEM,"May 23, 2017",1.14,1.32,1.11,1.24,"5,825,390","265,548,000"
STEEM,"May 22, 2017",1.31,1.31,0.974766,1.14,"5,656,130","305,563,000"
STEEM,"May 21, 2017",1.19,1.30,1.13,1.30,"6,177,170","278,663,000"
STEEM,"May 20, 2017",1.06,1.33,1.05,1.19,"8,484,620","248,538,000"
STEEM,"May 19, 2017",0.947874,1.15,0.947874,1.05,"5,361,330","221,361,000"
STEEM,"May 18, 2017",0.845277,1.02,0.833823,0.973278,"5,785,910","197,408,000"
STEEM,"May 17, 2017",0.795976,0.894693,0.739339,0.837306,"5,012,230","185,953,000"
STEEM,"May 16, 2017",0.866746,1.01,0.802030,0.802864,"7,973,670","202,443,000"
STEEM,"May 15, 2017",0.752038,0.998069,0.707520,0.895444,"9,503,920","175,577,000"
STEEM,"May 14, 2017",0.728880,0.807585,0.723099,0.755364,"2,239,850","170,085,000"
STEEM,"May 13, 2017",0.739904,0.760745,0.692427,0.727098,"2,153,340","172,584,000"
STEEM,"May 12, 2017",0.764269,0.878835,0.713900,0.744853,"4,348,360","178,171,000"
STEEM,"May 11, 2017",0.850274,0.902675,0.727300,0.763039,"4,328,880","198,186,000"
STEEM,"May 10, 2017",0.758253,0.988480,0.748461,0.850290,"6,475,420","177,192,000"
STEEM,"May 09, 2017",1.03,1.32,0.654272,0.769989,"22,859,100","240,888,000"
STEEM,"May 08, 2017",0.523659,1.11,0.482310,1.03,"18,945,000","122,981,000"
STEEM,"May 07, 2017",0.401269,0.602425,0.399402,0.527510,"9,016,200","94,328,900"
STEEM,"May 06, 2017",0.327579,0.432645,0.310018,0.403037,"3,581,950","77,052,100"
STEEM,"May 05, 2017",0.291314,0.355398,0.285576,0.328089,"1,921,100","68,514,500"
STEEM,"May 04, 2017",0.279150,0.305215,0.274097,0.290931,"918,971","65,635,700"
STEEM,"May 03, 2017",0.271850,0.283653,0.262127,0.277054,"778,314","63,881,300"
STEEM,"May 02, 2017",0.271108,0.279011,0.251190,0.273466,"714,359","63,689,500"
STEEM,"May 01, 2017",0.277977,0.307163,0.259748,0.267405,"1,001,530","65,382,500"
STEEM,"Apr 30, 2017",0.291556,0.295666,0.272611,0.277944,"915,711","68,607,100"
STEEM,"Apr 29, 2017",0.260646,0.304155,0.253753,0.291694,"1,403,140","61,331,500"
STEEM,"Apr 28, 2017",0.242942,0.261604,0.238737,0.260790,"896,172","57,198,300"
