symbol,date,open,high,low,close,volume,market_cap
STRAT,"Dec 20, 2017",11.97,12.03,10.23,11.19,"52,126,800","1,181,220,000"
STRAT,"Dec 19, 2017",12.76,13.32,11.46,11.99,"74,910,100","1,259,130,000"
STRAT,"Dec 18, 2017",11.26,14.00,10.80,12.67,"139,841,000","1,110,720,000"
STRAT,"Dec 17, 2017",10.58,11.76,10.45,11.26,"58,303,400","1,044,250,000"
STRAT,"Dec 16, 2017",9.85,10.87,9.68,10.81,"40,692,300","972,032,000"
STRAT,"Dec 15, 2017",9.81,9.95,8.79,9.89,"37,830,600","968,078,000"
STRAT,"Dec 14, 2017",9.45,10.04,9.14,9.78,"38,710,200","932,217,000"
STRAT,"Dec 13, 2017",10.13,10.25,9.16,9.54,"35,347,700","999,159,000"
STRAT,"Dec 12, 2017",10.77,10.95,9.71,10.16,"57,930,500","1,062,330,000"
STRAT,"Dec 11, 2017",9.21,11.41,8.86,10.73,"67,994,100","908,593,000"
STRAT,"Dec 10, 2017",9.23,9.82,7.02,9.20,"49,244,800","910,546,000"
STRAT,"Dec 09, 2017",9.00,10.26,8.06,9.16,"40,892,300","887,916,000"
STRAT,"Dec 08, 2017",8.80,10.00,7.57,9.02,"67,156,200","867,847,000"
STRAT,"Dec 07, 2017",7.57,10.88,6.90,8.84,"165,329,000","746,695,000"
STRAT,"Dec 06, 2017",7.40,8.02,6.74,7.56,"47,240,700","729,668,000"
STRAT,"Dec 05, 2017",7.55,7.95,7.23,7.46,"41,472,400","744,784,000"
STRAT,"Dec 04, 2017",6.15,7.49,6.10,7.48,"30,999,400","606,793,000"
STRAT,"Dec 03, 2017",5.92,6.52,5.69,6.12,"18,408,000","583,559,000"
STRAT,"Dec 02, 2017",5.70,6.02,5.61,5.91,"14,753,200","562,162,000"
STRAT,"Dec 01, 2017",5.32,5.72,5.06,5.65,"14,799,500","524,709,000"
STRAT,"Nov 30, 2017",4.86,5.76,4.60,5.36,"22,486,300","479,208,000"
STRAT,"Nov 29, 2017",6.50,6.72,4.64,4.82,"42,428,800","641,537,000"
STRAT,"Nov 28, 2017",5.36,6.47,5.07,6.47,"41,317,100","528,620,000"
STRAT,"Nov 27, 2017",4.56,5.39,4.46,5.38,"21,900,500","449,765,000"
STRAT,"Nov 26, 2017",4.82,4.83,4.47,4.56,"16,465,900","475,322,000"
STRAT,"Nov 25, 2017",4.25,4.91,4.24,4.79,"21,031,200","419,190,000"
STRAT,"Nov 24, 2017",3.99,4.27,3.83,4.25,"12,298,500","393,780,000"
STRAT,"Nov 23, 2017",3.73,4.27,3.73,4.00,"18,217,100","367,876,000"
STRAT,"Nov 22, 2017",3.48,3.75,3.46,3.73,"8,231,210","343,618,000"
STRAT,"Nov 21, 2017",3.49,3.88,3.27,3.46,"10,210,100","344,218,000"
STRAT,"Nov 20, 2017",3.45,3.54,3.42,3.48,"6,356,620","340,139,000"
STRAT,"Nov 19, 2017",3.50,3.71,3.40,3.46,"9,062,750","344,757,000"
STRAT,"Nov 18, 2017",3.37,3.53,3.29,3.50,"6,673,990","332,566,000"
STRAT,"Nov 17, 2017",3.30,3.57,3.22,3.36,"7,115,310","325,909,000"
STRAT,"Nov 16, 2017",3.74,3.75,3.27,3.31,"9,418,140","369,318,000"
STRAT,"Nov 15, 2017",3.60,3.83,3.49,3.73,"11,132,600","354,607,000"
STRAT,"Nov 14, 2017",3.24,3.71,3.24,3.61,"11,279,900","319,047,000"
STRAT,"Nov 13, 2017",2.87,3.27,2.86,3.22,"6,844,240","282,633,000"
STRAT,"Nov 12, 2017",3.30,3.30,2.72,2.88,"7,494,210","325,278,000"
STRAT,"Nov 11, 2017",3.17,3.37,3.01,3.30,"6,948,770","312,651,000"
STRAT,"Nov 10, 2017",3.75,3.84,3.00,3.20,"9,130,380","370,129,000"
STRAT,"Nov 09, 2017",3.54,3.90,3.53,3.75,"11,101,300","348,838,000"
STRAT,"Nov 08, 2017",3.01,3.76,2.91,3.53,"16,903,800","297,266,000"
STRAT,"Nov 07, 2017",3.01,3.05,2.93,3.02,"4,708,950","296,727,000"
STRAT,"Nov 06, 2017",3.04,3.14,2.97,3.01,"7,091,170","300,055,000"
STRAT,"Nov 05, 2017",3.00,3.15,2.89,3.04,"6,526,060","295,342,000"
STRAT,"Nov 04, 2017",3.12,3.26,2.94,2.99,"7,783,710","307,484,000"
STRAT,"Nov 03, 2017",2.84,3.29,2.70,3.13,"10,273,500","279,668,000"
STRAT,"Nov 02, 2017",3.04,3.16,2.41,2.88,"21,011,000","299,839,000"
STRAT,"Nov 01, 2017",3.36,3.40,3.04,3.08,"9,835,120","331,704,000"
STRAT,"Oct 31, 2017",3.79,3.79,3.31,3.36,"13,957,800","373,355,000"
STRAT,"Oct 30, 2017",4.08,4.53,3.76,3.82,"13,256,800","402,732,000"
STRAT,"Oct 29, 2017",4.26,4.51,4.03,4.04,"13,787,600","420,386,000"
STRAT,"Oct 28, 2017",4.39,4.61,4.21,4.29,"9,976,150","432,962,000"
STRAT,"Oct 27, 2017",4.43,4.76,4.19,4.40,"14,107,600","436,841,000"
STRAT,"Oct 26, 2017",4.96,5.04,3.98,4.39,"30,372,000","488,616,000"
STRAT,"Oct 25, 2017",4.04,5.04,3.81,4.92,"27,633,500","398,709,000"
STRAT,"Oct 24, 2017",3.35,4.03,3.23,4.00,"17,175,100","330,667,000"
STRAT,"Oct 23, 2017",3.15,3.76,3.08,3.38,"21,784,500","310,956,000"
STRAT,"Oct 22, 2017",3.04,3.39,2.87,3.15,"9,563,480","299,843,000"
STRAT,"Oct 21, 2017",2.99,3.18,2.67,3.02,"6,529,230","294,448,000"
STRAT,"Oct 20, 2017",3.09,3.29,2.94,2.96,"7,724,320","304,362,000"
STRAT,"Oct 19, 2017",3.22,3.34,3.04,3.09,"7,054,550","317,024,000"
STRAT,"Oct 18, 2017",3.06,3.36,2.90,3.22,"14,079,200","301,767,000"
STRAT,"Oct 17, 2017",2.98,3.07,2.87,3.06,"6,242,700","293,352,000"
STRAT,"Oct 16, 2017",3.01,3.09,2.80,2.98,"6,688,310","296,889,000"
STRAT,"Oct 15, 2017",2.86,3.06,2.76,3.01,"6,180,240","282,387,000"
STRAT,"Oct 14, 2017",3.14,3.14,2.70,2.85,"7,843,710","309,165,000"
STRAT,"Oct 13, 2017",3.13,3.34,3.00,3.14,"8,455,320","308,920,000"
STRAT,"Oct 12, 2017",3.52,3.52,3.12,3.12,"8,527,240","346,797,000"
STRAT,"Oct 11, 2017",3.41,3.59,3.40,3.51,"4,683,540","335,756,000"
STRAT,"Oct 10, 2017",3.36,3.57,3.32,3.40,"4,880,590","331,471,000"
STRAT,"Oct 09, 2017",3.53,3.71,3.15,3.35,"7,796,190","347,588,000"
STRAT,"Oct 08, 2017",3.90,4.14,3.45,3.51,"9,186,260","384,053,000"
STRAT,"Oct 07, 2017",3.69,4.02,3.54,3.92,"7,693,060","363,891,000"
STRAT,"Oct 06, 2017",3.55,3.86,3.55,3.69,"3,894,190","350,388,000"
STRAT,"Oct 05, 2017",3.64,3.69,3.44,3.56,"3,814,770","359,209,000"
STRAT,"Oct 04, 2017",3.80,3.98,3.52,3.64,"7,099,310","374,747,000"
STRAT,"Oct 03, 2017",3.91,4.01,3.38,3.81,"13,060,300","385,143,000"
STRAT,"Oct 02, 2017",4.12,4.32,3.80,3.91,"8,607,690","406,341,000"
STRAT,"Oct 01, 2017",4.47,4.52,4.09,4.13,"7,993,490","440,100,000"
STRAT,"Sep 30, 2017",4.47,4.62,4.40,4.44,"6,061,940","440,203,000"
STRAT,"Sep 29, 2017",4.78,4.88,4.39,4.47,"7,038,430","471,559,000"
STRAT,"Sep 28, 2017",4.77,5.04,4.69,4.79,"7,847,200","469,867,000"
STRAT,"Sep 27, 2017",4.40,4.84,4.36,4.77,"7,465,230","433,440,000"
STRAT,"Sep 26, 2017",4.23,4.56,4.12,4.39,"6,399,530","416,859,000"
STRAT,"Sep 25, 2017",3.98,4.29,3.96,4.25,"4,692,290","392,654,000"
STRAT,"Sep 24, 2017",4.19,4.22,3.95,3.97,"2,751,840","412,920,000"
STRAT,"Sep 23, 2017",3.94,4.32,3.88,4.23,"3,462,380","388,161,000"
STRAT,"Sep 22, 2017",4.03,4.25,3.79,3.93,"4,174,410","397,230,000"
STRAT,"Sep 21, 2017",4.73,4.78,3.91,4.03,"6,825,670","466,613,000"
STRAT,"Sep 20, 2017",4.84,5.42,4.68,4.75,"8,585,630","476,755,000"
STRAT,"Sep 19, 2017",5.35,5.37,4.80,4.85,"8,821,170","527,507,000"
STRAT,"Sep 18, 2017",4.46,5.63,4.45,5.37,"12,693,200","439,359,000"
STRAT,"Sep 17, 2017",4.39,4.66,4.05,4.44,"3,432,560","432,583,000"
STRAT,"Sep 16, 2017",4.61,4.81,4.17,4.39,"4,687,280","454,539,000"
STRAT,"Sep 15, 2017",3.80,4.67,3.04,4.62,"8,004,530","374,266,000"
STRAT,"Sep 14, 2017",5.01,5.08,3.75,3.78,"6,121,560","494,028,000"
STRAT,"Sep 13, 2017",5.51,5.53,4.56,5.01,"6,572,450","543,119,000"
STRAT,"Sep 12, 2017",5.62,5.88,5.31,5.53,"8,270,520","553,334,000"
STRAT,"Sep 11, 2017",5.86,6.09,5.52,5.60,"5,037,870","577,080,000"
