symbol,date,open,high,low,close,volume,market_cap
STX,"Dec 20, 2017",0.668029,0.704230,0.592501,0.680682,"1,986,700","28,314,200"
STX,"Dec 19, 2017",0.762203,0.813190,0.649047,0.669318,"2,361,320","32,430,900"
STX,"Dec 18, 2017",0.720027,0.761068,0.672981,0.761068,"1,737,880","30,716,400"
STX,"Dec 17, 2017",0.673241,0.760325,0.667686,0.719780,"1,875,610","28,727,100"
STX,"Dec 16, 2017",0.649931,0.757333,0.647253,0.673956,"1,959,110","27,703,700"
STX,"Dec 15, 2017",0.510749,0.735682,0.479155,0.648010,"2,378,890","21,628,100"
STX,"Dec 14, 2017",0.478877,0.513346,0.474689,0.506794,"1,369,220","20,258,900"
STX,"Dec 13, 2017",0.531675,0.535304,0.467878,0.479301,"1,365,530","22,559,700"
STX,"Dec 12, 2017",0.507823,0.537042,0.465823,0.537042,"1,623,670","21,650,800"
STX,"Dec 11, 2017",0.457382,0.507943,0.457382,0.507943,"1,632,330","19,527,300"
STX,"Dec 10, 2017",0.496402,0.500860,0.388955,0.458436,"1,386,260","21,197,300"
STX,"Dec 09, 2017",0.519219,0.522029,0.480068,0.499580,"1,453,070","22,190,100"
STX,"Dec 08, 2017",0.494876,0.519301,0.452352,0.518525,"1,506,750","21,154,700"
STX,"Dec 07, 2017",0.481582,0.503740,0.466764,0.494724,"1,377,560","20,564,300"
STX,"Dec 06, 2017",0.512776,0.519424,0.465269,0.483793,"1,449,020","21,899,400"
STX,"Dec 05, 2017",0.511296,0.523415,0.501159,0.511934,"1,166,670","21,839,000"
STX,"Dec 04, 2017",0.484504,0.519579,0.482674,0.510437,"1,132,440","20,705,800"
STX,"Dec 03, 2017",0.488368,0.523663,0.473611,0.489344,"1,552,260","20,870,600"
STX,"Dec 02, 2017",0.488465,0.507646,0.477502,0.490151,"1,154,090","20,867,700"
STX,"Dec 01, 2017",0.465644,0.494771,0.439221,0.488803,"1,123,060","19,885,900"
STX,"Nov 30, 2017",0.453959,0.494619,0.422637,0.466170,"1,404,650","19,395,400"
STX,"Nov 29, 2017",0.517059,0.543831,0.450528,0.450528,"2,340,580","22,093,700"
STX,"Nov 28, 2017",0.574800,0.586980,0.508323,0.517985,"2,321,360","24,627,200"
STX,"Nov 27, 2017",0.587768,0.613146,0.566717,0.575967,"1,942,930","25,199,600"
STX,"Nov 26, 2017",0.597724,0.601119,0.567547,0.587521,"2,038,250","25,639,500"
STX,"Nov 25, 2017",0.615508,0.621011,0.577934,0.598513,"1,050,950","26,416,000"
STX,"Nov 24, 2017",0.554436,0.622354,0.551611,0.614557,"944,561","23,826,900"
STX,"Nov 23, 2017",0.527893,0.599471,0.524617,0.552711,"1,095,770","22,674,100"
STX,"Nov 22, 2017",0.482746,0.542340,0.482160,0.526786,"1,054,940","21,326,000"
STX,"Nov 21, 2017",0.520402,0.522936,0.477751,0.483050,"520,389","22,989,500"
STX,"Nov 20, 2017",0.510147,0.525284,0.501688,0.520385,"425,655","22,536,500"
STX,"Nov 19, 2017",0.512408,0.535798,0.509596,0.510635,"650,330","22,636,400"
STX,"Nov 18, 2017",0.493055,0.517801,0.482119,0.514243,"568,689","21,781,400"
STX,"Nov 17, 2017",0.506415,0.521935,0.489880,0.494940,"649,288","22,371,600"
STX,"Nov 16, 2017",0.519472,0.524727,0.494399,0.508942,"921,349","22,948,500"
STX,"Nov 15, 2017",0.549929,0.553998,0.513458,0.519937,"641,716","24,293,900"
STX,"Nov 14, 2017",0.531881,0.561620,0.518102,0.549757,"745,771","23,496,600"
STX,"Nov 13, 2017",0.532362,0.547411,0.524030,0.537451,"433,258","15,757,900"
STX,"Nov 12, 2017",0.601030,0.605552,0.521863,0.531725,"523,624","17,790,500"
STX,"Nov 11, 2017",0.618669,0.640758,0.582381,0.601688,"625,095","18,312,600"
STX,"Nov 10, 2017",0.779535,0.779974,0.600352,0.622279,"863,933","23,074,200"
STX,"Nov 09, 2017",0.719388,0.841703,0.716349,0.778552,"719,341","21,293,900"
STX,"Nov 08, 2017",0.746410,0.859630,0.707418,0.725045,"1,192,280","22,093,700"
STX,"Nov 07, 2017",0.690693,0.772946,0.665121,0.747323,"714,374","20,444,500"
STX,"Nov 06, 2017",0.591785,0.700100,0.582068,0.692535,"1,047,130","17,516,800"
STX,"Nov 05, 2017",0.528793,0.594803,0.527499,0.589982,"808,624","15,652,300"
STX,"Nov 04, 2017",0.478630,0.562745,0.464611,0.522949,"962,609","14,167,500"
STX,"Nov 03, 2017",0.454850,0.481080,0.437167,0.476992,"789,870","13,463,600"
STX,"Nov 02, 2017",0.470300,0.474000,0.438607,0.456468,"744,524","13,920,900"
STX,"Nov 01, 2017",0.433127,0.494748,0.425239,0.471073,"850,118","12,820,600"
STX,"Oct 31, 2017",0.451453,0.452296,0.433364,0.433364,"540,763","13,363,000"
STX,"Oct 30, 2017",0.454732,0.468673,0.443508,0.452124,"494,937","13,460,100"
STX,"Oct 29, 2017",0.442371,0.468827,0.438661,0.453780,"503,634","13,094,200"
STX,"Oct 28, 2017",0.447942,0.450622,0.430784,0.443674,"425,886","13,259,100"
STX,"Oct 27, 2017",0.451217,0.456482,0.440147,0.448724,"536,479","13,356,000"
STX,"Oct 26, 2017",0.458216,0.462408,0.444766,0.451847,"590,273","13,563,200"
STX,"Oct 25, 2017",0.458710,0.470061,0.448390,0.458514,"501,878","13,577,800"
STX,"Oct 24, 2017",0.442539,0.488307,0.437233,0.459128,"482,067","13,099,100"
