symbol,date,open,high,low,close,volume,market_cap
SYS,"Dec 20, 2017",0.614407,0.615514,0.517690,0.596313,"14,974,700","325,426,000"
SYS,"Dec 19, 2017",0.607488,0.694981,0.548271,0.621187,"28,398,500","321,748,000"
SYS,"Dec 18, 2017",0.508633,0.610671,0.483527,0.608534,"15,912,700","269,380,000"
SYS,"Dec 17, 2017",0.465028,0.512915,0.452040,0.502424,"7,535,370","246,275,000"
SYS,"Dec 16, 2017",0.436205,0.479507,0.427118,0.459465,"7,579,700","231,001,000"
SYS,"Dec 15, 2017",0.447013,0.447172,0.379661,0.423851,"7,805,010","236,715,000"
SYS,"Dec 14, 2017",0.435255,0.461522,0.424345,0.445939,"9,547,770","230,478,000"
SYS,"Dec 13, 2017",0.431652,0.466528,0.381285,0.433591,"11,016,000","228,561,000"
SYS,"Dec 12, 2017",0.376616,0.433568,0.366454,0.429412,"9,743,540","199,410,000"
SYS,"Dec 11, 2017",0.310124,0.408936,0.310124,0.375159,"8,420,250","164,197,000"
SYS,"Dec 10, 2017",0.368912,0.371070,0.295145,0.309825,"4,303,860","195,315,000"
SYS,"Dec 09, 2017",0.361987,0.379281,0.309831,0.369380,"4,930,940","191,640,000"
SYS,"Dec 08, 2017",0.340514,0.378574,0.304113,0.362909,"7,108,730","180,265,000"
SYS,"Dec 07, 2017",0.382495,0.427660,0.318052,0.341526,"13,954,600","202,480,000"
SYS,"Dec 06, 2017",0.422132,0.431736,0.364128,0.392851,"21,151,500","223,453,000"
SYS,"Dec 05, 2017",0.385882,0.437138,0.361738,0.437138,"15,375,300","204,256,000"
SYS,"Dec 04, 2017",0.336107,0.411314,0.329642,0.384827,"17,768,500","177,901,000"
SYS,"Dec 03, 2017",0.323734,0.367299,0.306607,0.339288,"7,906,200","171,345,000"
SYS,"Dec 02, 2017",0.293120,0.336163,0.293120,0.319952,"8,540,570","155,135,000"
SYS,"Dec 01, 2017",0.268104,0.299548,0.250216,0.293320,"3,047,400","141,889,000"
SYS,"Nov 30, 2017",0.249080,0.295128,0.227123,0.270129,"3,528,080","131,816,000"
SYS,"Nov 29, 2017",0.302172,0.304437,0.242257,0.244286,"6,167,310","159,906,000"
SYS,"Nov 28, 2017",0.332999,0.337223,0.288647,0.302831,"11,378,800","176,211,000"
SYS,"Nov 27, 2017",0.328431,0.371437,0.308785,0.332173,"20,247,400","173,787,000"
SYS,"Nov 26, 2017",0.357168,0.357306,0.268481,0.329155,"41,835,500","188,985,000"
SYS,"Nov 25, 2017",0.215979,0.363071,0.213900,0.361207,"25,002,400","114,274,000"
SYS,"Nov 24, 2017",0.216636,0.220193,0.208560,0.215770,"1,075,180","114,617,000"
SYS,"Nov 23, 2017",0.231518,0.238246,0.211347,0.218445,"1,685,120","122,485,000"
SYS,"Nov 22, 2017",0.214346,0.233954,0.202643,0.231720,"2,987,650","113,395,000"
SYS,"Nov 21, 2017",0.206952,0.216586,0.190837,0.214969,"1,353,680","109,479,000"
SYS,"Nov 20, 2017",0.207128,0.212307,0.201282,0.207189,"1,268,520","109,568,000"
SYS,"Nov 19, 2017",0.212120,0.219638,0.198882,0.210871,"1,613,410","112,204,000"
SYS,"Nov 18, 2017",0.195258,0.219878,0.192079,0.212551,"1,896,820","103,280,000"
SYS,"Nov 17, 2017",0.207101,0.208888,0.193809,0.194835,"1,780,180","109,539,000"
SYS,"Nov 16, 2017",0.218789,0.220819,0.200913,0.207423,"2,772,370","115,716,000"
SYS,"Nov 15, 2017",0.226366,0.237822,0.210444,0.216816,"2,956,400","119,719,000"
SYS,"Nov 14, 2017",0.228994,0.234231,0.217995,0.226023,"2,009,230","121,104,000"
SYS,"Nov 13, 2017",0.191056,0.248565,0.188196,0.230638,"4,378,710","101,035,000"
SYS,"Nov 12, 2017",0.217384,0.219946,0.173340,0.191061,"1,613,790","114,954,000"
SYS,"Nov 11, 2017",0.212229,0.232707,0.211698,0.218484,"1,472,390","112,223,000"
SYS,"Nov 10, 2017",0.240600,0.251190,0.206235,0.211754,"2,539,260","127,219,000"
SYS,"Nov 09, 2017",0.230695,0.265613,0.224929,0.241079,"3,208,930","121,977,000"
SYS,"Nov 08, 2017",0.202641,0.237667,0.200179,0.233183,"3,301,700","107,139,000"
SYS,"Nov 07, 2017",0.199168,0.206182,0.197157,0.203777,"1,070,150","105,299,000"
SYS,"Nov 06, 2017",0.198120,0.205830,0.191785,0.199543,"1,576,720","104,740,000"
SYS,"Nov 05, 2017",0.194441,0.217834,0.188589,0.197770,"1,882,980","102,791,000"
SYS,"Nov 04, 2017",0.215866,0.215866,0.191108,0.196723,"1,877,380","114,112,000"
