symbol,date,open,high,low,close,volume,market_cap
THC,"Dec 20, 2017",0.211073,0.295705,0.158800,0.244629,"8,688,830","48,545,900"
THC,"Dec 19, 2017",0.147711,0.211104,0.143474,0.211104,"6,197,360","33,971,500"
THC,"Dec 18, 2017",0.140428,0.163212,0.134363,0.148542,"2,866,110","32,294,900"
THC,"Dec 17, 2017",0.138869,0.144843,0.124382,0.133519,"1,834,960","31,934,700"
THC,"Dec 16, 2017",0.127057,0.147265,0.123765,0.140019,"1,811,230","29,217,000"
THC,"Dec 15, 2017",0.130213,0.137276,0.106866,0.126527,"1,813,790","29,939,200"
THC,"Dec 14, 2017",0.121342,0.139207,0.118605,0.129852,"2,319,240","27,894,500"
THC,"Dec 13, 2017",0.120932,0.151281,0.117117,0.121733,"3,932,020","27,797,300"
THC,"Dec 12, 2017",0.097147,0.137232,0.095556,0.120831,"3,912,630","22,327,800"
THC,"Dec 11, 2017",0.105662,0.111260,0.091144,0.096837,"2,687,150","24,280,600"
THC,"Dec 10, 2017",0.116240,0.124487,0.087948,0.108580,"5,782,780","26,709,100"
THC,"Dec 09, 2017",0.133201,0.172717,0.117718,0.117718,"18,627,400","30,601,700"
THC,"Dec 08, 2017",0.072198,0.142061,0.059150,0.132033,"7,795,370","16,583,900"
THC,"Dec 07, 2017",0.060026,0.086436,0.054509,0.070297,"2,175,640","13,786,200"
THC,"Dec 06, 2017",0.066109,0.078658,0.059161,0.062193,"2,098,120","15,182,600"
THC,"Dec 05, 2017",0.084158,0.084214,0.059724,0.064849,"3,006,700","19,326,500"
THC,"Dec 04, 2017",0.115790,0.115886,0.070224,0.083179,"10,367,600","26,589,200"
THC,"Dec 03, 2017",0.059031,0.125722,0.055472,0.110926,"24,113,000","13,554,300"
THC,"Dec 02, 2017",0.029932,0.061074,0.028551,0.058865,"10,262,000","6,872,440"
THC,"Dec 01, 2017",0.023783,0.031591,0.022326,0.029849,"956,399","5,460,190"
THC,"Nov 30, 2017",0.023392,0.026277,0.021237,0.023901,"160,543","5,359,450"
THC,"Nov 29, 2017",0.023231,0.027506,0.021459,0.022651,"161,459","5,317,110"
THC,"Nov 28, 2017",0.023998,0.024414,0.022755,0.023751,"184,941","5,492,250"
THC,"Nov 27, 2017",0.024878,0.026918,0.022987,0.024033,"284,771","5,693,120"
THC,"Nov 26, 2017",0.021866,0.026158,0.021087,0.024687,"517,592","5,003,390"
THC,"Nov 25, 2017",0.018965,0.022025,0.018502,0.021436,"145,609","4,339,310"
THC,"Nov 24, 2017",0.018566,0.019637,0.018010,0.019003,"92,797","4,247,490"
THC,"Nov 23, 2017",0.018507,0.019332,0.017968,0.018591,"67,631","4,232,600"
THC,"Nov 22, 2017",0.018176,0.019671,0.017937,0.018513,"72,639","4,155,420"
THC,"Nov 21, 2017",0.018461,0.018984,0.017236,0.018131,"112,849","4,218,780"
THC,"Nov 20, 2017",0.017615,0.020643,0.017324,0.017716,"474,138","4,024,050"
THC,"Nov 19, 2017",0.017443,0.018572,0.016956,0.017623,"57,023","3,984,680"
THC,"Nov 18, 2017",0.016911,0.017676,0.016021,0.017475,"65,947","3,863,180"
THC,"Nov 17, 2017",0.017886,0.018481,0.016242,0.016976,"117,220","4,085,930"
THC,"Nov 16, 2017",0.018112,0.020230,0.017441,0.018072,"356,244","4,137,480"
THC,"Nov 15, 2017",0.015405,0.018844,0.015251,0.018017,"233,395","3,519,190"
THC,"Nov 14, 2017",0.014760,0.015597,0.014472,0.015395,"67,948","3,371,560"
THC,"Nov 13, 2017",0.012740,0.015470,0.012697,0.014729,"59,228","2,909,860"
THC,"Nov 12, 2017",0.014122,0.014274,0.011733,0.012721,"93,037","3,225,360"
THC,"Nov 11, 2017",0.015188,0.015855,0.013779,0.014132,"67,318","3,468,540"
THC,"Nov 10, 2017",0.016966,0.018131,0.014088,0.015176,"171,813","3,874,370"
THC,"Nov 09, 2017",0.016652,0.018471,0.016304,0.017414,"228,611","3,802,410"
THC,"Nov 08, 2017",0.016011,0.017375,0.015096,0.016595,"205,915","3,655,750"
THC,"Nov 07, 2017",0.016841,0.021238,0.014855,0.016133,"459,734","3,844,180"
THC,"Nov 06, 2017",0.015230,0.025555,0.014010,0.017217,"2,318,080","3,476,240"
THC,"Nov 05, 2017",0.014753,0.015207,0.013968,0.015197,"58,224","3,367,130"
THC,"Nov 04, 2017",0.014190,0.015626,0.013606,0.014781,"91,703","3,238,470"
THC,"Nov 03, 2017",0.013485,0.015169,0.012852,0.014228,"45,322","3,077,220"
THC,"Nov 02, 2017",0.012786,0.014967,0.012312,0.013502,"56,181","2,917,560"
THC,"Nov 01, 2017",0.013597,0.014380,0.012971,0.013174,"51,211","3,102,290"
THC,"Oct 31, 2017",0.015074,0.015110,0.013450,0.013607,"96,744","3,439,210"
THC,"Oct 30, 2017",0.013915,0.016289,0.013423,0.015126,"184,492","3,174,400"
THC,"Oct 29, 2017",0.012718,0.014316,0.012589,0.013996,"26,346","2,901,130"
THC,"Oct 28, 2017",0.013429,0.013781,0.012668,0.012735,"33,109","3,063,160"
THC,"Oct 27, 2017",0.013600,0.014349,0.012732,0.013392,"50,781","3,101,940"
THC,"Oct 26, 2017",0.012912,0.014150,0.012304,0.013596,"105,932","2,944,890"
THC,"Oct 25, 2017",0.015175,0.016313,0.012971,0.012971,"199,704","3,460,650"
THC,"Oct 24, 2017",0.009913,0.018286,0.009513,0.015004,"838,589","2,255,060"
THC,"Oct 23, 2017",0.011839,0.012216,0.009741,0.009817,"37,447","2,693,250"
THC,"Oct 22, 2017",0.011667,0.013198,0.011044,0.011858,"42,188","2,654,020"
THC,"Oct 21, 2017",0.013151,0.013151,0.011508,0.011663,"45,930","2,991,720"
THC,"Oct 20, 2017",0.013976,0.015480,0.012591,0.013179,"100,912","3,179,460"
THC,"Oct 19, 2017",0.015311,0.015647,0.013751,0.013972,"59,320","3,483,000"
THC,"Oct 18, 2017",0.015514,0.015514,0.014274,0.014744,"54,933","3,529,280"
THC,"Oct 17, 2017",0.016066,0.016623,0.015214,0.015513,"33,814","3,654,790"
THC,"Oct 16, 2017",0.015710,0.017643,0.014675,0.016063,"107,192","3,573,780"
THC,"Oct 15, 2017",0.014858,0.017341,0.013817,0.015252,"164,306","3,380,070"
THC,"Oct 14, 2017",0.015101,0.015681,0.013547,0.014832,"34,844","3,435,220"
THC,"Oct 13, 2017",0.015288,0.015985,0.013610,0.015210,"49,564","3,477,940"
THC,"Oct 12, 2017",0.015737,0.016579,0.014857,0.015241,"70,613","3,579,980"
THC,"Oct 11, 2017",0.015003,0.016644,0.014710,0.015675,"58,645","3,412,950"
THC,"Oct 10, 2017",0.014407,0.017079,0.013894,0.014910,"81,501","3,277,340"
THC,"Oct 09, 2017",0.014867,0.018231,0.013944,0.014216,"171,758","3,382,080"
THC,"Oct 08, 2017",0.016089,0.018919,0.014094,0.014863,"184,030","3,660,080"
THC,"Oct 07, 2017",0.016314,0.016370,0.015434,0.016088,"34,303","3,711,350"
THC,"Oct 06, 2017",0.016733,0.017028,0.015653,0.016222,"55,505","3,806,060"
THC,"Oct 05, 2017",0.015788,0.018346,0.015641,0.017079,"273,546","3,590,590"
THC,"Oct 04, 2017",0.015551,0.016489,0.014981,0.015816,"50,518","3,536,070"
THC,"Oct 03, 2017",0.017479,0.017516,0.015424,0.015515,"51,774","3,968,760"
THC,"Oct 02, 2017",0.016829,0.017941,0.016358,0.017523,"67,699","3,821,210"
THC,"Oct 01, 2017",0.017988,0.018537,0.016226,0.016705,"143,469","4,084,180"
THC,"Sep 30, 2017",0.018899,0.020704,0.017375,0.017848,"183,381","4,291,080"
THC,"Sep 29, 2017",0.017697,0.020336,0.016312,0.018896,"490,556","4,018,210"
THC,"Sep 28, 2017",0.016030,0.021898,0.015636,0.017795,"1,076,430","3,639,820"
THC,"Sep 27, 2017",0.015788,0.017852,0.015118,0.015820,"332,863","3,584,690"
THC,"Sep 26, 2017",0.018054,0.018054,0.015147,0.015754,"457,820","4,099,340"
THC,"Sep 25, 2017",0.012523,0.022069,0.012390,0.017702,"2,247,490","2,843,360"
THC,"Sep 24, 2017",0.012275,0.012896,0.011644,0.012535,"49,389","2,787,050"
THC,"Sep 23, 2017",0.011652,0.012793,0.011323,0.012276,"54,367","2,645,520"
THC,"Sep 22, 2017",0.011551,0.012533,0.011314,0.011648,"80,807","2,621,980"
THC,"Sep 21, 2017",0.013035,0.013358,0.011440,0.011636,"101,896","2,958,680"
THC,"Sep 20, 2017",0.013228,0.014028,0.012900,0.013099,"102,176","2,963,610"
THC,"Sep 19, 2017",0.014073,0.014477,0.012911,0.013246,"72,288","3,153,050"
THC,"Sep 18, 2017",0.013044,0.014081,0.012420,0.014039,"131,456","2,922,360"
THC,"Sep 17, 2017",0.013484,0.013571,0.010977,0.013033,"130,441","3,021,030"
THC,"Sep 16, 2017",0.012055,0.015776,0.011687,0.013716,"319,102","2,700,830"
THC,"Sep 15, 2017",0.011034,0.012788,0.008628,0.012161,"347,028","2,472,190"
THC,"Sep 14, 2017",0.021480,0.024364,0.010273,0.010273,"1,348,150","4,812,480"
THC,"Sep 13, 2017",0.009175,0.028150,0.008460,0.021481,"6,383,760","2,055,620"
THC,"Sep 12, 2017",0.009651,0.009963,0.008906,0.009210,"49,457","2,162,340"
THC,"Sep 11, 2017",0.009775,0.010352,0.009417,0.009642,"23,388","2,190,110"
THC,"Sep 10, 2017",0.009879,0.010493,0.009093,0.009792,"18,416","2,213,360"
THC,"Sep 09, 2017",0.010216,0.010226,0.009293,0.009905,"16,548","2,288,810"
THC,"Sep 08, 2017",0.010889,0.011060,0.009367,0.010240,"26,173","2,439,690"
THC,"Sep 07, 2017",0.010985,0.011025,0.010341,0.010887,"19,482","2,461,180"
THC,"Sep 06, 2017",0.010475,0.011825,0.010475,0.011006,"19,089","2,346,940"
THC,"Sep 05, 2017",0.010162,0.010761,0.009415,0.010596,"36,357","2,276,800"
THC,"Sep 04, 2017",0.011086,0.011207,0.009220,0.010153,"32,772","2,483,630"
THC,"Sep 03, 2017",0.010882,0.011497,0.010739,0.011082,"21,357","2,437,980"
THC,"Sep 02, 2017",0.012852,0.013161,0.010693,0.010875,"50,940","2,879,260"
