symbol,date,open,high,low,close,volume,market_cap
TIPS,"Dec 20, 2017",0.000086,0.000093,0.000054,0.000063,"7,993","38,151,200"
TIPS,"Dec 19, 2017",0.000110,0.000125,0.000087,0.000087,"11,883","48,881,000"
TIPS,"Dec 18, 2017",0.000028,0.000107,0.000028,0.000107,"6,958","12,580,600"
TIPS,"Dec 17, 2017",0.000062,0.000063,0.000028,0.000028,"10,456","27,403,700"
TIPS,"Dec 16, 2017",0.000112,0.000115,0.000056,0.000063,"8,893","49,444,100"
TIPS,"Dec 15, 2017",0.000049,0.000113,0.000048,0.000110,"6,748","21,906,800"
TIPS,"Dec 14, 2017",0.000067,0.000072,0.000043,0.000050,"5,158","29,756,700"
TIPS,"Dec 13, 2017",0.000048,0.000090,0.000041,0.000068,"7,671","21,209,500"
TIPS,"Dec 12, 2017",0.000154,0.000156,0.000033,0.000048,"7,589","68,372,200"
TIPS,"Dec 11, 2017",0.000105,0.000169,0.000104,0.000154,"3,557","46,419,200"
TIPS,"Dec 10, 2017",0.000054,0.000109,0.000050,0.000105,"1,475","23,877,500"
TIPS,"Dec 09, 2017",0.000147,0.000149,0.000044,0.000054,"2,476","65,284,200"
TIPS,"Dec 08, 2017",0.000174,0.000176,0.000126,0.000148,"1,778","76,899,600"
TIPS,"Dec 07, 2017",0.000135,0.000173,0.000134,0.000173,"3,021","59,978,200"
TIPS,"Dec 06, 2017",0.000035,0.000136,0.000035,0.000136,"21,770","15,613,800"
TIPS,"Dec 05, 2017",0.000016,0.000036,0.000006,0.000035,867,"7,223,700"
TIPS,"Dec 04, 2017",0.000036,0.000037,0.000011,0.000016,787,"16,062,000"
TIPS,"Dec 03, 2017",0.000044,0.000077,0.000034,0.000036,431,"19,646,400"
TIPS,"Dec 02, 2017",0.000037,0.000046,0.000026,0.000044,466,"16,511,400"
TIPS,"Dec 01, 2017",0.000098,0.000103,0.000037,0.000037,"1,006","43,335,300"
TIPS,"Nov 30, 2017",0.000086,0.000105,0.000071,0.000098,"6,844","38,309,200"
TIPS,"Nov 29, 2017",0.000093,0.000114,0.000024,0.000085,"2,608","41,054,900"
TIPS,"Nov 28, 2017",0.000092,0.000097,0.000090,0.000093,365,"40,640,500"
TIPS,"Nov 27, 2017",0.000061,0.000092,0.000061,0.000091,902,"27,135,200"
TIPS,"Nov 26, 2017",0.000015,0.000063,0.000010,0.000061,"1,277","6,435,100"
TIPS,"Nov 25, 2017",0.000016,0.000020,0.000004,0.000014,846,"7,058,030"
TIPS,"Nov 24, 2017",0.000017,0.000032,0.000006,0.000016,767,"7,657,900"
TIPS,"Nov 23, 2017",0.000013,0.000027,0.000012,0.000017,392,"5,882,800"
TIPS,"Nov 22, 2017",0.000056,0.000061,0.000012,0.000013,240,"24,683,000"
TIPS,"Nov 21, 2017",0.000029,0.000056,0.000024,0.000056,495,"12,996,900"
TIPS,"Nov 20, 2017",0.000037,0.000037,0.000001,0.000029,240,"16,344,700"
TIPS,"Nov 19, 2017",0.000070,0.000071,0.000035,0.000037,511,"30,841,500"
TIPS,"Nov 18, 2017",0.000010,0.000071,0.000010,0.000070,576,"4,464,680"
TIPS,"Nov 17, 2017",0.000033,0.000034,0.000007,0.000010,659,"14,723,300"
TIPS,"Nov 16, 2017",0.000005,0.000036,0.000005,0.000033,534,"2,291,890"
TIPS,"Nov 15, 2017",0.000006,0.000008,0.000002,0.000005,518,"2,582,140"
TIPS,"Nov 14, 2017",0.000009,0.000009,0.000001,0.000006,780,"3,796,840"
TIPS,"Nov 13, 2017",0.000020,0.000034,0.000009,0.000009,120,"8,661,270"
TIPS,"Nov 12, 2017",0.000023,0.000054,0.000012,0.000019,649,"10,322,600"
TIPS,"Nov 11, 2017",0.000053,0.000064,0.000023,0.000023,"1,637","23,490,200"
TIPS,"Nov 10, 2017",0.000005,0.000054,0.000005,0.000053,816,"2,005,630"
TIPS,"Nov 09, 2017",0.000001,0.000032,0.000001,0.000005,728,"614,680"
TIPS,"Nov 08, 2017",0.000021,0.000030,0.000001,0.000001,281,"9,434,700"
TIPS,"Nov 07, 2017",0.000003,0.000021,0.000003,0.000021,262,"1,435,040"
TIPS,"Nov 06, 2017",0.000016,0.000018,0.000003,0.000003,345,"7,144,130"
TIPS,"Nov 05, 2017",0.000018,0.000023,0.000007,0.000016,93,"8,066,360"
TIPS,"Nov 04, 2017",0.000002,0.000019,0.000001,0.000019,132,"938,862"
TIPS,"Nov 03, 2017",0.000002,0.000003,0.000001,0.000002,479,"677,056"
TIPS,"Nov 02, 2017",0.000002,0.000002,0.000001,0.000002,839,"675,331"
TIPS,"Nov 01, 2017",0.000002,0.000002,0.000001,0.000002,616,"834,893"
TIPS,"Oct 31, 2017",0.000005,0.000006,0.000001,0.000002,989,"2,436,480"
TIPS,"Oct 30, 2017",0.000009,0.000011,0.000003,0.000006,"1,060","4,054,430"
TIPS,"Oct 29, 2017",0.000002,0.000011,0.000002,0.000009,621,"844,409"
TIPS,"Oct 28, 2017",0.000002,0.000002,0.000002,0.000002,183,"844,854"
TIPS,"Oct 27, 2017",0.000002,0.000002,0.000002,0.000002,313,"956,260"
TIPS,"Oct 26, 2017",0.000002,0.000002,0.000002,0.000002,149,"873,152"
TIPS,"Oct 25, 2017",0.000003,0.000003,0.000002,0.000002,320,"1,532,960"
TIPS,"Oct 24, 2017",0.000007,0.000008,0.000003,0.000003,389,"2,896,900"
TIPS,"Oct 23, 2017",0.000002,0.000007,0.000002,0.000007,373,"1,099,160"
TIPS,"Oct 22, 2017",0.000002,0.000003,0.000002,0.000002,268,"974,854"
TIPS,"Oct 21, 2017",0.000002,0.000003,0.000002,0.000002,281,"770,199"
TIPS,"Oct 20, 2017",0.000006,0.000006,0.000002,0.000002,946,"2,502,860"
TIPS,"Oct 19, 2017",0.000011,0.000035,0.000005,0.000006,"3,301","5,037,090"
TIPS,"Oct 18, 2017",0.000004,0.000011,0.000001,0.000011,"1,890","1,762,600"
TIPS,"Oct 17, 2017",0.000005,0.000005,0.000002,0.000004,674,"2,304,620"
TIPS,"Oct 16, 2017",0.000018,0.000022,0.000005,0.000005,"1,194","7,881,250"
TIPS,"Oct 15, 2017",0.000002,0.000018,0.000002,0.000018,"1,202","886,022"
TIPS,"Oct 14, 2017",0.000002,0.000002,0.000001,0.000002,"2,358","685,653"
TIPS,"Oct 13, 2017",0.000002,0.000002,0.000001,0.000002,"2,840","829,920"
TIPS,"Oct 12, 2017",0.000003,0.000003,0.000002,0.000002,"1,328","1,242,290"
TIPS,"Oct 11, 2017",0.000002,0.000003,0.000002,0.000003,507,"866,782"
TIPS,"Oct 10, 2017",0.000003,0.000003,0.000002,0.000002,"1,188","1,481,570"
TIPS,"Oct 09, 2017",0.000004,0.000006,0.000002,0.000003,412,"1,657,530"
TIPS,"Oct 08, 2017",0.000002,0.000004,0.000002,0.000004,901,"896,083"
TIPS,"Oct 07, 2017",0.000002,0.000002,0.000002,0.000002,"1,321","894,269"
TIPS,"Oct 06, 2017",0.000002,0.000002,0.000002,0.000002,757,"857,653"
TIPS,"Oct 05, 2017",0.000002,0.000002,0.000002,0.000002,"2,440","840,395"
TIPS,"Oct 04, 2017",0.000003,0.000005,0.000002,0.000002,"1,367","1,412,850"
TIPS,"Oct 03, 2017",0.000002,0.000003,0.000002,0.000003,"2,156","1,029,680"
TIPS,"Oct 02, 2017",0.000015,0.000015,0.000002,0.000002,"2,048","6,465,100"
TIPS,"Oct 01, 2017",0.000007,0.000018,0.000002,0.000015,"1,127","3,162,030"
TIPS,"Sep 30, 2017",0.000007,0.000010,0.000007,0.000007,"1,154","3,028,660"
TIPS,"Sep 29, 2017",0.000002,0.000007,0.000002,0.000007,"1,084","1,056,740"
TIPS,"Sep 28, 2017",0.000002,0.000003,0.000002,0.000002,"2,334","1,089,810"
TIPS,"Sep 27, 2017",0.000005,0.000007,0.000002,0.000002,"1,201","2,215,630"
TIPS,"Sep 26, 2017",0.000003,0.000005,0.000003,0.000005,"1,219","1,425,040"
TIPS,"Sep 25, 2017",0.000002,0.000004,0.000002,0.000003,"1,846","938,126"
TIPS,"Sep 24, 2017",0.000010,0.000010,0.000002,0.000002,"2,370","4,500,740"
TIPS,"Sep 23, 2017",0.000004,0.000010,0.000004,0.000010,"1,325","1,939,730"
TIPS,"Sep 22, 2017",0.000008,0.000008,0.000003,0.000004,"3,002","3,555,940"
TIPS,"Sep 21, 2017",0.000020,0.000026,0.000008,0.000008,"2,832","8,978,200"
TIPS,"Sep 20, 2017",0.000003,0.000021,0.000003,0.000020,"1,761","1,477,140"
TIPS,"Sep 19, 2017",0.000004,0.000005,0.000003,0.000003,"3,800","1,705,470"
TIPS,"Sep 18, 2017",0.000004,0.000015,0.000003,0.000004,"6,562","1,892,120"
TIPS,"Sep 17, 2017",0.000004,0.000007,0.000003,0.000004,"6,078","1,829,710"
TIPS,"Sep 16, 2017",0.000018,0.000019,0.000004,0.000004,"8,979","7,863,920"
TIPS,"Sep 15, 2017",0.000015,0.000018,0.000007,0.000018,"14,627","6,681,010"
TIPS,"Sep 14, 2017",0.000015,0.000023,0.000015,0.000015,"22,229","6,796,770"
TIPS,"Sep 13, 2017",0.000018,0.000025,0.000012,0.000015,"15,110","7,823,860"
TIPS,"Sep 12, 2017",0.000037,0.000037,0.000018,0.000018,"17,710","16,284,200"
TIPS,"Sep 11, 2017",0.000015,0.000037,0.000015,0.000037,"18,212","6,845,900"
TIPS,"Sep 10, 2017",0.000013,0.000017,0.000006,0.000015,"8,756","5,753,620"
TIPS,"Sep 09, 2017",0.000022,0.000026,0.000013,0.000013,"10,372","9,751,300"
TIPS,"Sep 08, 2017",0.000013,0.000024,0.000011,0.000022,"24,843","5,956,540"
TIPS,"Sep 07, 2017",0.000016,0.000017,0.000008,0.000013,"26,639","7,055,550"
TIPS,"Sep 06, 2017",0.000004,0.000017,0.000004,0.000016,"5,887","1,721,740"
TIPS,"Sep 05, 2017",0.000005,0.000006,0.000003,0.000004,"14,573","2,290,990"
TIPS,"Sep 04, 2017",0.000009,0.000011,0.000005,0.000005,"16,441","3,915,560"
TIPS,"Sep 03, 2017",0.000016,0.000016,0.000006,0.000009,"10,774","7,165,950"
TIPS,"Sep 02, 2017",0.000007,0.000019,0.000004,0.000016,"20,875","3,293,840"
TIPS,"Sep 01, 2017",0.000005,0.000010,0.000005,0.000007,"11,384","2,252,110"
TIPS,"Aug 31, 2017",0.000005,0.000005,0.000004,0.000005,"10,287","2,061,050"
