symbol,date,open,high,low,close,volume,market_cap
TX,"Dec 20, 2017",3.71,3.71,3.09,3.35,"924,209","23,194,800"
TX,"Dec 19, 2017",4.08,4.26,3.52,3.61,"2,426,250","25,469,000"
TX,"Dec 18, 2017",3.62,4.07,3.34,4.07,"1,879,180","22,602,100"
TX,"Dec 17, 2017",3.69,3.89,3.58,3.64,"968,335","23,042,100"
TX,"Dec 16, 2017",3.79,3.88,3.66,3.69,"1,038,770","23,664,400"
TX,"Dec 15, 2017",3.98,4.11,3.69,3.79,"759,465","24,833,300"
TX,"Dec 14, 2017",4.00,4.29,3.72,3.95,"1,389,690","24,954,000"
TX,"Dec 13, 2017",4.40,4.44,3.89,4.04,"884,210","27,426,900"
TX,"Dec 12, 2017",4.13,4.58,3.92,4.39,"1,735,960","25,771,700"
TX,"Dec 11, 2017",3.81,4.30,3.71,4.12,"1,041,870","23,755,100"
TX,"Dec 10, 2017",4.00,4.10,3.03,3.84,"1,147,480","24,948,900"
TX,"Dec 09, 2017",3.68,4.10,3.20,3.95,"1,375,090","22,923,500"
TX,"Dec 08, 2017",3.92,3.93,3.11,3.68,"1,140,470","24,425,400"
TX,"Dec 07, 2017",3.98,4.14,3.43,3.91,"1,719,810","24,807,500"
TX,"Dec 06, 2017",4.45,4.54,3.35,3.99,"2,778,480","27,722,700"
TX,"Dec 05, 2017",3.18,4.87,3.15,4.46,"6,262,900","19,800,900"
TX,"Dec 04, 2017",2.79,3.22,2.75,3.22,"1,510,790","17,387,500"
TX,"Dec 03, 2017",2.59,2.98,2.55,2.78,"540,990","16,146,900"
TX,"Dec 02, 2017",2.49,2.75,2.42,2.59,"762,078","15,502,500"
TX,"Dec 01, 2017",2.14,2.55,2.10,2.50,"1,093,730","13,326,000"
TX,"Nov 30, 2017",1.91,2.47,1.90,2.19,"850,103","11,911,700"
TX,"Nov 29, 2017",2.16,2.30,1.77,1.89,"621,882","13,467,500"
TX,"Nov 28, 2017",1.82,2.97,1.82,2.17,"8,229,080","11,290,500"
TX,"Nov 27, 2017",1.79,1.83,1.68,1.77,"257,037","11,161,200"
TX,"Nov 26, 2017",1.79,1.85,1.69,1.79,"250,585","11,112,600"
TX,"Nov 25, 2017",1.70,1.83,1.69,1.79,"248,121","10,587,400"
TX,"Nov 24, 2017",1.73,1.79,1.62,1.71,"266,152","10,780,300"
TX,"Nov 23, 2017",1.89,1.95,1.74,1.74,"229,618","11,733,400"
TX,"Nov 22, 2017",1.87,1.92,1.83,1.89,"209,935","11,615,000"
TX,"Nov 21, 2017",1.90,1.94,1.78,1.86,"213,464","11,768,500"
TX,"Nov 20, 2017",1.81,2.14,1.80,1.92,"442,600","11,235,000"
TX,"Nov 19, 2017",1.81,1.87,1.69,1.81,"173,928","11,252,300"
TX,"Nov 18, 2017",1.59,1.82,1.57,1.81,"271,618","9,864,480"
TX,"Nov 17, 2017",1.75,1.83,1.56,1.58,"155,037","10,866,900"
TX,"Nov 16, 2017",1.72,1.87,1.68,1.75,"179,986","10,676,600"
TX,"Nov 15, 2017",1.66,1.82,1.63,1.71,"240,224","10,297,200"
TX,"Nov 14, 2017",1.63,1.70,1.58,1.66,"136,741","10,121,900"
TX,"Nov 13, 2017",1.47,1.75,1.47,1.63,"237,550","9,088,260"
