symbol,date,open,high,low,close,volume,market_cap
UBQ,"Dec 20, 2017",4.37,4.37,3.20,3.71,"7,323,900","169,366,000"
UBQ,"Dec 19, 2017",3.14,4.24,3.03,4.18,"13,025,500","121,624,000"
UBQ,"Dec 18, 2017",2.60,3.20,2.60,3.06,"3,891,510","100,829,000"
UBQ,"Dec 17, 2017",2.56,2.79,2.43,2.62,"3,267,190","99,195,900"
UBQ,"Dec 16, 2017",2.73,3.29,2.30,2.57,"15,053,800","105,543,000"
UBQ,"Dec 15, 2017",2.45,2.46,1.92,2.18,"2,087,770","94,904,200"
UBQ,"Dec 14, 2017",2.03,2.50,2.00,2.44,"2,627,100","78,484,700"
UBQ,"Dec 13, 2017",1.99,2.06,1.83,1.96,"1,144,750","76,851,600"
UBQ,"Dec 12, 2017",1.72,2.17,1.70,2.01,"2,009,680","66,427,000"
UBQ,"Dec 11, 2017",1.70,1.86,1.62,1.71,"783,854","65,826,200"
UBQ,"Dec 10, 2017",1.84,1.85,1.59,1.72,"813,822","71,106,400"
UBQ,"Dec 09, 2017",1.84,1.99,1.63,1.83,"405,646","72,116,900"
UBQ,"Dec 08, 2017",1.82,1.98,1.48,1.85,"1,049,220","71,370,200"
UBQ,"Dec 07, 2017",2.27,2.43,1.72,1.82,"1,865,710","88,909,600"
UBQ,"Dec 06, 2017",2.53,2.53,2.09,2.27,"2,531,000","98,934,600"
UBQ,"Dec 05, 2017",2.14,2.68,2.09,2.53,"3,492,510","83,813,100"
UBQ,"Dec 04, 2017",1.86,2.19,1.84,2.14,"1,953,990","72,652,200"
UBQ,"Dec 03, 2017",1.75,1.97,1.69,1.87,"618,502","68,420,800"
UBQ,"Dec 02, 2017",1.70,1.78,1.67,1.73,"357,187","66,325,100"
UBQ,"Dec 01, 2017",1.58,1.81,1.47,1.72,"480,708","61,802,300"
UBQ,"Nov 30, 2017",1.51,1.73,1.38,1.59,"504,016","58,992,200"
UBQ,"Nov 29, 2017",1.92,1.95,1.41,1.49,"1,186,780","74,886,700"
UBQ,"Nov 28, 2017",1.57,1.93,1.57,1.93,"2,564,340","61,291,900"
UBQ,"Nov 27, 2017",1.58,1.63,1.49,1.59,"626,074","61,837,800"
UBQ,"Nov 26, 2017",1.41,1.64,1.40,1.59,"1,009,330","54,851,200"
UBQ,"Nov 25, 2017",1.31,1.42,1.27,1.41,"446,449","50,974,000"
UBQ,"Nov 24, 2017",1.30,1.34,1.25,1.31,"371,886","50,686,400"
UBQ,"Nov 23, 2017",1.33,1.38,1.30,1.30,"281,636","51,741,400"
UBQ,"Nov 22, 2017",1.35,1.39,1.30,1.33,"313,786","52,402,600"
UBQ,"Nov 21, 2017",1.31,1.42,1.22,1.34,"555,730","50,869,800"
UBQ,"Nov 20, 2017",1.25,1.35,1.23,1.31,"344,128","48,491,800"
UBQ,"Nov 19, 2017",1.28,1.36,1.22,1.24,"374,957","49,952,100"
UBQ,"Nov 18, 2017",1.28,1.33,1.22,1.28,"256,349","49,587,900"
UBQ,"Nov 17, 2017",1.24,1.34,1.17,1.33,"364,878","48,074,900"
UBQ,"Nov 16, 2017",1.22,1.30,1.19,1.24,"478,410","47,516,200"
UBQ,"Nov 15, 2017",1.23,1.28,1.21,1.22,"291,861","47,589,000"
UBQ,"Nov 14, 2017",1.21,1.25,1.15,1.22,"210,096","47,060,900"
UBQ,"Nov 13, 2017",1.15,1.28,1.12,1.21,"260,079","44,734,200"
UBQ,"Nov 12, 2017",1.19,1.19,0.960091,1.16,"415,589","46,121,500"
UBQ,"Nov 11, 2017",1.22,1.31,1.12,1.20,"397,886","47,437,300"
UBQ,"Nov 10, 2017",1.42,1.43,1.18,1.23,"454,546","54,998,600"
UBQ,"Nov 09, 2017",1.32,1.56,1.29,1.42,"759,657","51,174,300"
UBQ,"Nov 08, 2017",1.21,1.37,1.12,1.32,"728,908","46,854,300"
UBQ,"Nov 07, 2017",1.12,1.25,1.09,1.24,"413,775","43,225,200"
