symbol,date,open,high,low,close,volume,market_cap
UNITY,"Dec 20, 2017",62.04,99.41,42.63,93.81,"2,814","50,630,700"
UNITY,"Dec 19, 2017",74.71,80.66,44.13,62.09,"1,701","60,966,100"
UNITY,"Dec 18, 2017",96.46,103.92,71.65,74.94,399,"78,718,200"
UNITY,"Dec 17, 2017",114.03,144.81,113.06,133.06,266,"93,054,100"
UNITY,"Dec 16, 2017",128.27,134.11,110.96,114.27,229,"104,679,000"
UNITY,"Dec 15, 2017",56.19,129.74,52.80,128.24,128,"45,857,600"
UNITY,"Dec 14, 2017",57.13,60.35,54.09,57.30,11,"46,624,500"
UNITY,"Dec 13, 2017",85.91,125.51,50.08,57.05,10,"70,109,100"
UNITY,"Dec 12, 2017",50.78,86.50,49.96,84.85,"13,577","41,440,800"
UNITY,"Dec 11, 2017",45.22,56.76,45.10,54.17,54,"36,905,900"
UNITY,"Dec 10, 2017",48.68,49.49,35.33,45.80,46,"39,728,400"
UNITY,"Dec 09, 2017",50.67,54.93,39.13,46.98,"11,266","41,349,000"
UNITY,"Dec 08, 2017",75.02,76.61,50.91,50.91,"7,070","61,219,400"
UNITY,"Dec 07, 2017",49.17,83.51,45.43,74.66,7,"40,129,600"
UNITY,"Dec 06, 2017",42.26,54.77,38.58,48.44,"4,844","34,490,100"
UNITY,"Dec 05, 2017",47.15,47.23,42.33,42.46,"8,493","38,479,700"
UNITY,"Dec 04, 2017",64.95,76.34,45.36,46.68,"12,114","53,006,900"
UNITY,"Dec 03, 2017",97.21,124.90,60.27,65.61,656,"79,331,300"
UNITY,"Dec 02, 2017",62.98,105.98,61.87,96.50,"11,072","51,395,800"
UNITY,"Dec 01, 2017",59.15,69.70,49.52,63.18,"2,143","48,273,100"
UNITY,"Nov 30, 2017",44.98,59.47,30.64,59.47,"1,256","36,709,400"
UNITY,"Nov 29, 2017",49.27,55.88,44.19,44.96,"2,248","40,203,500"
UNITY,"Nov 28, 2017",65.45,65.45,43.07,49.06,277,"53,408,900"
UNITY,"Nov 27, 2017",54.45,73.50,54.45,66.15,135,"44,431,100"
UNITY,"Nov 26, 2017",30.40,54.08,27.65,54.08,"1,082","24,808,100"
UNITY,"Nov 25, 2017",25.33,42.17,25.33,30.26,30,"20,671,900"
UNITY,"Nov 24, 2017",22.56,25.43,20.94,25.23,252,"18,408,900"
UNITY,"Nov 23, 2017",35.95,36.45,22.78,22.78,228,"29,340,800"
UNITY,"Nov 22, 2017",54.14,71.30,26.04,35.68,615,"44,185,100"
UNITY,"Nov 21, 2017",53.16,79.43,50.78,54.15,"3,386","43,378,200"
UNITY,"Nov 20, 2017",33.73,57.08,32.75,53.16,304,"27,523,100"
UNITY,"Nov 19, 2017",33.04,34.89,32.80,33.84,68,"26,960,500"
UNITY,"Nov 18, 2017",40.92,42.86,32.28,33.01,66,"33,394,200"
UNITY,"Nov 17, 2017",39.72,41.28,39.72,40.74,"10,347","32,414,200"
UNITY,"Nov 13, 2017",30.31,31.79,30.01,31.70,32,"24,730,900"
UNITY,"Nov 12, 2017",34.14,34.14,29.38,30.13,30,"27,860,800"
UNITY,"Nov 11, 2017",39.69,40.35,30.46,34.13,34,"32,393,300"
