symbol,date,open,high,low,close,volume,market_cap
UNO,"Dec 20, 2017",102.83,107.71,92.05,106.17,"66,116","20,354,000"
UNO,"Dec 19, 2017",114.25,115.04,100.83,102.79,"30,543","22,615,300"
UNO,"Dec 18, 2017",101.68,118.98,92.75,114.18,"85,051","20,126,900"
UNO,"Dec 17, 2017",104.11,106.98,98.61,101.61,"52,364","20,607,400"
UNO,"Dec 16, 2017",86.93,104.48,81.14,103.48,"52,344","17,206,400"
UNO,"Dec 15, 2017",77.57,88.11,75.15,86.85,"51,982","15,352,300"
UNO,"Dec 14, 2017",79.46,79.70,73.32,77.52,"51,378","15,726,600"
UNO,"Dec 13, 2017",86.28,92.08,76.62,79.58,"70,184","17,076,700"
UNO,"Dec 12, 2017",90.93,101.41,85.68,86.15,"117,266","17,995,000"
UNO,"Dec 11, 2017",81.73,93.44,81.53,90.54,"54,074","16,174,500"
UNO,"Dec 10, 2017",79.24,86.16,70.22,82.36,"86,827","15,681,100"
UNO,"Dec 09, 2017",113.09,125.47,75.45,83.08,"172,939","22,380,200"
UNO,"Dec 08, 2017",113.81,117.12,104.52,113.08,"79,013","22,522,300"
UNO,"Dec 07, 2017",108.73,114.78,101.72,114.78,"62,525","21,515,200"
UNO,"Dec 06, 2017",93.12,109.73,93.12,109.00,"103,803","18,426,500"
UNO,"Dec 05, 2017",81.56,95.48,79.49,93.52,"120,255","16,138,600"
UNO,"Dec 04, 2017",76.84,81.50,76.21,81.37,"25,282","15,203,700"
UNO,"Dec 03, 2017",79.73,83.42,75.23,76.63,"19,526","15,776,300"
UNO,"Dec 02, 2017",79.16,81.26,77.16,79.54,"11,808","15,663,400"
UNO,"Dec 01, 2017",77.58,82.77,73.15,79.30,"24,179","15,349,500"
UNO,"Nov 30, 2017",76.46,81.22,69.26,77.85,"28,157","15,127,200"
UNO,"Nov 29, 2017",77.13,83.45,71.78,75.66,"36,459","15,260,500"
UNO,"Nov 28, 2017",82.91,84.48,76.48,77.12,"10,656","16,402,900"
UNO,"Nov 27, 2017",85.15,89.36,81.99,82.81,"18,281","16,847,300"
UNO,"Nov 26, 2017",74.50,86.78,74.30,85.13,"47,150","14,739,200"
UNO,"Nov 25, 2017",62.88,80.61,60.39,74.53,"62,389","12,439,800"
UNO,"Nov 24, 2017",62.95,65.23,58.35,63.08,"12,497","12,453,400"
UNO,"Nov 23, 2017",65.32,67.06,62.89,63.27,"26,358","12,922,700"
UNO,"Nov 22, 2017",58.17,74.90,57.96,65.32,"60,675","11,509,300"
UNO,"Nov 21, 2017",58.48,60.00,55.78,58.06,"15,148","11,570,400"
UNO,"Nov 20, 2017",57.68,59.61,57.03,58.47,"15,667","11,411,400"
UNO,"Nov 19, 2017",52.63,58.07,52.47,57.80,"17,961","10,412,200"
UNO,"Nov 18, 2017",55.26,55.26,51.35,51.35,"6,123","10,932,200"
UNO,"Nov 17, 2017",50.12,61.37,49.35,55.45,"52,276","9,916,200"
UNO,"Nov 16, 2017",45.25,50.28,44.53,50.18,"17,154","8,953,030"
UNO,"Nov 15, 2017",41.23,48.19,38.64,45.04,"52,368","8,156,520"
UNO,"Nov 14, 2017",40.16,44.65,38.02,41.17,"40,913","7,944,560"
UNO,"Nov 13, 2017",36.11,40.52,36.01,40.10,"22,111","7,144,310"
UNO,"Nov 12, 2017",44.92,45.56,35.17,36.06,"51,032","8,887,800"
UNO,"Nov 11, 2017",46.78,48.27,44.69,44.93,"14,230","9,254,610"
UNO,"Nov 10, 2017",51.78,52.72,46.88,46.90,"20,538","10,243,400"
UNO,"Nov 09, 2017",51.61,53.19,49.47,51.62,"19,162","10,209,800"
UNO,"Nov 08, 2017",52.79,56.90,50.88,52.22,"24,649","10,443,400"
UNO,"Nov 07, 2017",54.04,55.47,51.61,52.93,"19,392","10,692,000"
UNO,"Nov 06, 2017",58.65,59.61,53.39,54.12,"17,089","11,603,400"
UNO,"Nov 05, 2017",59.19,60.46,57.38,58.55,"21,377","11,710,800"
UNO,"Nov 04, 2017",48.94,59.68,47.27,59.27,"32,477","9,681,390"
