symbol,date,open,high,low,close,volume,market_cap
VIA,"Dec 20, 2017",3.60,3.78,2.97,3.76,"2,323,820","82,643,200"
VIA,"Dec 19, 2017",3.40,3.94,3.24,3.61,"3,798,210","77,983,600"
VIA,"Dec 18, 2017",3.16,3.58,2.95,3.41,"1,736,190","72,474,400"
VIA,"Dec 17, 2017",2.78,3.41,2.77,3.11,"1,970,690","63,817,500"
VIA,"Dec 16, 2017",2.69,2.92,2.67,2.81,"928,992","61,573,800"
VIA,"Dec 15, 2017",2.80,2.88,2.54,2.71,"1,296,660","64,180,800"
VIA,"Dec 14, 2017",2.75,3.02,2.55,2.80,"2,202,330","63,073,500"
VIA,"Dec 13, 2017",2.58,2.88,2.46,2.76,"1,270,860","59,182,600"
VIA,"Dec 12, 2017",2.42,2.71,2.35,2.59,"1,602,720","55,530,600"
VIA,"Dec 11, 2017",2.15,2.86,2.14,2.39,"2,287,920","49,324,500"
VIA,"Dec 10, 2017",2.42,2.47,2.07,2.17,"762,340","55,383,800"
VIA,"Dec 09, 2017",2.65,2.72,2.29,2.41,"605,982","60,741,600"
VIA,"Dec 08, 2017",2.44,2.77,2.22,2.63,"1,898,110","56,027,900"
VIA,"Dec 07, 2017",2.41,2.56,2.18,2.29,"2,365,100","55,131,000"
VIA,"Dec 06, 2017",2.64,2.99,2.41,2.42,"4,449,890","60,607,900"
VIA,"Dec 05, 2017",2.48,2.84,2.37,2.65,"2,417,780","56,758,000"
VIA,"Dec 04, 2017",2.11,2.59,2.09,2.48,"3,239,650","48,389,400"
VIA,"Dec 03, 2017",2.05,2.34,1.93,2.10,"1,675,410","47,081,000"
VIA,"Dec 02, 2017",1.81,2.06,1.73,2.05,"1,290,750","41,368,900"
VIA,"Dec 01, 2017",1.55,1.89,1.49,1.79,"583,748","35,471,200"
VIA,"Nov 30, 2017",1.64,1.80,1.48,1.56,"570,615","37,596,800"
VIA,"Nov 29, 2017",1.88,1.97,1.50,1.60,"1,075,640","43,036,300"
VIA,"Nov 28, 2017",1.82,2.01,1.77,1.89,"1,414,360","41,600,400"
VIA,"Nov 27, 2017",1.68,1.82,1.66,1.79,"552,450","38,572,800"
VIA,"Nov 26, 2017",1.67,1.75,1.60,1.69,"555,639","38,216,400"
VIA,"Nov 25, 2017",1.57,1.67,1.55,1.67,"795,981","35,844,300"
VIA,"Nov 24, 2017",1.49,1.62,1.42,1.57,"702,556","34,236,500"
VIA,"Nov 23, 2017",1.62,1.62,1.48,1.50,"425,120","37,048,600"
VIA,"Nov 22, 2017",1.44,1.64,1.43,1.64,"452,419","32,931,800"
VIA,"Nov 21, 2017",1.48,1.51,1.41,1.44,"268,456","33,984,900"
VIA,"Nov 20, 2017",1.44,1.51,1.42,1.49,"499,701","32,880,700"
VIA,"Nov 19, 2017",1.44,1.50,1.38,1.45,"510,029","32,947,700"
VIA,"Nov 18, 2017",1.39,1.47,1.33,1.45,"377,266","31,744,100"
VIA,"Nov 17, 2017",1.42,1.49,1.35,1.39,"343,356","32,451,100"
VIA,"Nov 16, 2017",1.48,1.50,1.40,1.42,"627,223","33,818,100"
VIA,"Nov 15, 2017",1.43,1.48,1.38,1.47,"471,011","32,758,500"
VIA,"Nov 14, 2017",1.45,1.49,1.41,1.42,"336,942","33,108,500"
VIA,"Nov 13, 2017",1.26,1.54,1.22,1.44,"584,538","28,869,700"
VIA,"Nov 12, 2017",1.41,1.44,1.13,1.24,"664,066","32,245,700"
VIA,"Nov 11, 2017",1.48,1.57,1.38,1.41,"418,671","33,870,600"
VIA,"Nov 10, 2017",1.69,1.74,1.36,1.49,"1,402,350","38,615,000"
VIA,"Nov 09, 2017",1.67,1.80,1.59,1.70,"1,775,470","38,295,700"
VIA,"Nov 08, 2017",1.44,1.74,1.41,1.65,"1,877,800","32,850,200"
VIA,"Nov 07, 2017",1.44,1.55,1.41,1.44,"606,268","32,985,900"
VIA,"Nov 06, 2017",1.62,1.63,1.44,1.44,"683,842","37,015,100"
VIA,"Nov 05, 2017",1.45,1.66,1.45,1.61,"887,767","33,215,700"
VIA,"Nov 04, 2017",1.52,1.55,1.43,1.46,"617,210","34,742,700"
VIA,"Nov 03, 2017",1.47,1.64,1.34,1.52,"1,286,720","33,588,100"
VIA,"Nov 02, 2017",2.03,2.09,1.31,1.46,"5,452,730","46,455,000"
VIA,"Nov 01, 2017",1.46,2.08,1.43,2.00,"4,936,210","33,299,500"
VIA,"Oct 31, 2017",1.42,1.61,1.34,1.45,"2,882,690","32,398,800"
VIA,"Oct 30, 2017",1.29,1.47,1.23,1.42,"1,469,420","29,562,000"
VIA,"Oct 29, 2017",1.24,1.61,1.21,1.29,"5,646,160","28,302,300"
VIA,"Oct 28, 2017",1.07,1.29,1.02,1.24,"1,551,330","24,532,700"
VIA,"Oct 27, 2017",1.03,1.08,0.983113,1.07,"476,411","23,584,100"
VIA,"Oct 26, 2017",1.13,1.17,0.976728,1.04,"990,603","25,770,400"
