symbol,date,open,high,low,close,volume,market_cap
VOX,"Dec 20, 2017",0.374189,0.377714,0.310827,0.337080,"7,109,920","78,579,600"
VOX,"Dec 19, 2017",0.387000,0.417888,0.336876,0.357096,"12,834,500","81,270,000"
VOX,"Dec 18, 2017",0.347997,0.409703,0.320657,0.399722,"16,190,700","73,079,300"
VOX,"Dec 17, 2017",0.323684,0.350125,0.314213,0.342545,"10,239,700","67,973,700"
VOX,"Dec 16, 2017",0.335406,0.358869,0.319991,0.333675,"14,823,500","70,435,200"
VOX,"Dec 15, 2017",0.317665,0.392860,0.268873,0.337657,"30,339,500","66,709,700"
VOX,"Dec 14, 2017",0.228616,0.470879,0.225744,0.319478,"101,904,000","48,009,400"
VOX,"Dec 13, 2017",0.230627,0.251408,0.213748,0.231261,"7,257,120","48,431,700"
VOX,"Dec 12, 2017",0.223544,0.244505,0.213207,0.234508,"7,302,780","46,944,200"
VOX,"Dec 11, 2017",0.182726,0.264575,0.181796,0.222908,"13,851,300","38,372,400"
VOX,"Dec 10, 2017",0.210539,0.210539,0.137608,0.184151,"6,038,130","44,213,300"
VOX,"Dec 09, 2017",0.214099,0.256088,0.189221,0.209265,"6,935,500","44,960,700"
VOX,"Dec 08, 2017",0.232621,0.235810,0.176154,0.214288,"9,343,080","48,850,400"
VOX,"Dec 07, 2017",0.249230,0.288932,0.207505,0.236915,"22,161,900","52,338,300"
VOX,"Dec 06, 2017",0.194241,0.265339,0.158464,0.242243,"21,993,300","40,790,700"
VOX,"Dec 05, 2017",0.206508,0.248634,0.188965,0.193624,"22,241,400","43,366,800"
VOX,"Dec 04, 2017",0.130969,0.216824,0.127674,0.199704,"19,659,000","27,503,500"
VOX,"Dec 03, 2017",0.128768,0.148312,0.114442,0.130865,"10,592,800","27,041,200"
VOX,"Dec 02, 2017",0.078553,0.153033,0.078553,0.127116,"26,655,600","16,496,200"
VOX,"Dec 01, 2017",0.070643,0.078514,0.064760,0.078514,"1,658,090","14,835,100"
VOX,"Nov 30, 2017",0.067329,0.088902,0.060874,0.070551,"2,749,100","14,139,000"
VOX,"Nov 29, 2017",0.088775,0.093641,0.064709,0.066782,"5,146,440","18,642,700"
VOX,"Nov 28, 2017",0.103521,0.104493,0.076321,0.078110,"6,402,840","21,739,400"
VOX,"Nov 27, 2017",0.087225,0.137356,0.087225,0.104125,"23,824,200","18,317,300"
VOX,"Nov 26, 2017",0.046476,0.113361,0.045926,0.086233,"22,568,700","9,760,080"
VOX,"Nov 25, 2017",0.047778,0.049545,0.044055,0.046652,"427,900","10,033,300"
VOX,"Nov 24, 2017",0.040862,0.050222,0.040073,0.047376,"1,386,660","8,581,070"
VOX,"Nov 23, 2017",0.041299,0.043382,0.039765,0.041059,"203,122","8,672,810"
VOX,"Nov 22, 2017",0.038534,0.043348,0.038267,0.042016,"475,603","8,092,070"
VOX,"Nov 21, 2017",0.041952,0.042140,0.037582,0.038372,"303,392","8,809,910"
