symbol,date,open,high,low,close,volume,market_cap
VRC,"Dec 20, 2017",1.07,1.07,0.882522,0.945757,"2,035,460","32,530,400"
VRC,"Dec 19, 2017",1.12,1.26,0.993408,1.05,"5,137,230","34,063,600"
VRC,"Dec 18, 2017",0.946981,1.11,0.908935,1.11,"2,202,510","28,908,700"
VRC,"Dec 17, 2017",0.966550,0.991467,0.914098,0.944114,"1,595,950","29,503,900"
VRC,"Dec 16, 2017",0.973210,0.999556,0.879681,0.946505,"1,836,560","29,705,500"
VRC,"Dec 15, 2017",1.14,1.14,0.858285,0.993602,"3,166,620","34,762,200"
VRC,"Dec 14, 2017",1.39,1.43,1.02,1.18,"10,931,500","42,468,700"
VRC,"Dec 13, 2017",0.769199,1.47,0.769199,1.26,"26,530,400","23,468,900"
VRC,"Dec 12, 2017",0.542394,0.951364,0.537849,0.789341,"11,424,000","16,547,100"
VRC,"Dec 11, 2017",0.493867,0.562424,0.488952,0.540057,"266,258","15,065,600"
VRC,"Dec 10, 2017",0.518373,0.523074,0.448142,0.497493,"191,869","15,811,700"
VRC,"Dec 09, 2017",0.552887,0.554462,0.448590,0.516698,"418,879","16,863,600"
VRC,"Dec 08, 2017",0.514100,0.618050,0.450263,0.556600,"883,985","15,679,600"
VRC,"Dec 07, 2017",0.561656,0.660069,0.489387,0.516662,"1,616,630","17,129,300"
VRC,"Dec 06, 2017",0.618673,0.631496,0.552725,0.567955,"896,644","18,867,300"
VRC,"Dec 05, 2017",0.581261,0.627361,0.559527,0.615864,"1,032,160","17,725,300"
VRC,"Dec 04, 2017",0.518634,0.613128,0.517449,0.580509,"858,796","15,814,800"
VRC,"Dec 03, 2017",0.507958,0.562978,0.489976,0.517591,"488,096","15,488,700"
VRC,"Dec 02, 2017",0.492897,0.521814,0.492897,0.506051,"296,741","15,028,800"
VRC,"Dec 01, 2017",0.480793,0.513024,0.446964,0.491924,"334,244","14,658,600"
VRC,"Nov 30, 2017",0.476239,0.507241,0.393254,0.483856,"552,564","14,519,000"
VRC,"Nov 29, 2017",0.535629,0.573792,0.439310,0.466066,"479,440","16,328,200"
VRC,"Nov 28, 2017",0.574644,0.584445,0.519186,0.530809,"480,268","17,516,700"
VRC,"Nov 27, 2017",0.564323,0.592255,0.549136,0.573180,"325,577","17,201,100"
VRC,"Nov 26, 2017",0.554510,0.578161,0.527996,0.562665,"257,859","16,900,900"
VRC,"Nov 25, 2017",0.498709,0.550032,0.496385,0.550032,"190,267","15,199,300"
VRC,"Nov 24, 2017",0.489978,0.505895,0.479941,0.501776,"143,448","14,931,100"
VRC,"Nov 23, 2017",0.512156,0.518165,0.492069,0.492069,"169,092","15,605,300"
VRC,"Nov 22, 2017",0.498306,0.526408,0.488424,0.512303,"256,129","15,182,200"
VRC,"Nov 21, 2017",0.491565,0.506487,0.472156,0.494649,"303,456","14,974,600"
VRC,"Nov 20, 2017",0.474753,0.514429,0.472074,0.494254,"236,232","14,458,500"
VRC,"Nov 19, 2017",0.465370,0.519455,0.459722,0.474698,"521,646","14,171,700"
VRC,"Nov 18, 2017",0.440860,0.466153,0.418913,0.466020,"186,324","13,424,400"
VRC,"Nov 17, 2017",0.465759,0.485655,0.433826,0.440864,"247,832","14,182,200"
VRC,"Nov 16, 2017",0.489362,0.502944,0.461208,0.467635,"339,219","14,900,400"
VRC,"Nov 15, 2017",0.448476,0.541799,0.448476,0.486024,"1,002,590","13,654,700"
VRC,"Nov 14, 2017",0.440575,0.473953,0.424982,0.447308,"251,772","13,413,600"
VRC,"Nov 13, 2017",0.391580,0.450080,0.385229,0.438319,"278,393","11,921,400"
VRC,"Nov 12, 2017",0.465685,0.470651,0.368822,0.386047,"419,511","14,177,000"
VRC,"Nov 11, 2017",0.461573,0.508199,0.431464,0.466385,"321,231","14,051,400"
VRC,"Nov 10, 2017",0.556770,0.570005,0.443903,0.471664,"526,215","16,949,000"
VRC,"Nov 09, 2017",0.579054,0.589612,0.547395,0.555945,"512,107","17,627,000"
VRC,"Nov 08, 2017",0.528315,0.582898,0.503688,0.576737,"967,630","16,082,000"
VRC,"Nov 07, 2017",0.569911,0.579481,0.508114,0.529221,"794,948","17,347,800"
