symbol,date,open,high,low,close,volume,market_cap
WAVES,"Dec 20, 2017",16.02,16.26,13.90,15.21,"81,905,700","1,602,310,000"
WAVES,"Dec 19, 2017",15.63,18.07,14.51,15.89,"114,641,000","1,563,340,000"
WAVES,"Dec 18, 2017",13.63,15.72,13.09,15.61,"102,357,000","1,363,160,000"
WAVES,"Dec 17, 2017",13.39,14.16,13.17,13.54,"64,376,200","1,339,200,000"
WAVES,"Dec 16, 2017",13.56,13.73,12.81,13.40,"69,311,000","1,355,530,000"
WAVES,"Dec 15, 2017",13.55,14.08,11.76,13.09,"95,357,500","1,354,620,000"
WAVES,"Dec 14, 2017",13.56,14.02,12.43,13.64,"55,002,000","1,355,560,000"
WAVES,"Dec 13, 2017",15.23,15.62,13.50,13.65,"75,995,500","1,523,380,000"
WAVES,"Dec 12, 2017",11.23,15.20,10.89,14.86,"103,848,000","1,122,860,000"
WAVES,"Dec 11, 2017",9.73,11.33,9.65,11.22,"74,140,500","972,864,000"
WAVES,"Dec 10, 2017",8.76,10.46,7.60,9.76,"57,336,900","875,585,000"
WAVES,"Dec 09, 2017",8.41,9.87,7.86,8.72,"47,394,900","841,212,000"
WAVES,"Dec 08, 2017",8.71,8.73,7.43,8.40,"45,781,100","871,406,000"
WAVES,"Dec 07, 2017",8.52,9.50,8.01,8.52,"61,751,500","852,136,000"
WAVES,"Dec 06, 2017",7.38,8.43,6.93,8.43,"52,074,900","738,347,000"
WAVES,"Dec 05, 2017",6.69,7.68,6.62,7.43,"40,875,800","668,740,000"
WAVES,"Dec 04, 2017",6.21,6.69,6.03,6.69,"30,419,300","620,558,000"
WAVES,"Dec 03, 2017",6.09,6.60,5.84,6.20,"33,036,700","609,449,000"
WAVES,"Dec 02, 2017",5.79,6.43,5.75,6.11,"30,325,700","579,354,000"
WAVES,"Dec 01, 2017",4.84,5.80,4.61,5.80,"26,090,100","483,939,000"
WAVES,"Nov 30, 2017",5.23,5.33,4.39,4.88,"25,549,500","523,239,000"
WAVES,"Nov 29, 2017",5.91,6.16,4.97,5.17,"30,996,500","590,960,000"
WAVES,"Nov 28, 2017",5.62,5.93,5.56,5.93,"26,201,500","562,374,000"
WAVES,"Nov 27, 2017",5.67,5.78,5.48,5.65,"25,029,600","567,162,000"
WAVES,"Nov 26, 2017",5.36,5.79,5.35,5.68,"25,667,300","535,981,000"
WAVES,"Nov 25, 2017",5.22,5.37,5.13,5.35,"20,520,600","521,531,000"
WAVES,"Nov 24, 2017",5.19,5.27,5.03,5.23,"22,424,900","519,100,000"
WAVES,"Nov 23, 2017",5.29,5.34,5.18,5.19,"21,305,100","529,435,000"
WAVES,"Nov 22, 2017",5.20,5.57,5.16,5.29,"26,343,100","519,834,000"
WAVES,"Nov 21, 2017",5.26,5.28,4.99,5.19,"23,353,900","525,616,000"
WAVES,"Nov 20, 2017",5.13,5.42,5.06,5.27,"22,272,000","512,582,000"
WAVES,"Nov 19, 2017",5.28,5.47,5.02,5.12,"20,869,400","528,278,000"
WAVES,"Nov 18, 2017",4.77,5.42,4.65,5.30,"26,020,400","476,545,000"
WAVES,"Nov 17, 2017",4.75,4.97,4.61,4.78,"18,777,000","474,592,000"
WAVES,"Nov 16, 2017",5.07,5.10,4.71,4.76,"24,087,100","506,504,000"
WAVES,"Nov 15, 2017",5.05,5.27,4.80,5.05,"25,851,400","505,269,000"
WAVES,"Nov 14, 2017",4.40,5.09,4.38,5.03,"19,374,900","439,602,000"
WAVES,"Nov 13, 2017",3.69,4.48,3.69,4.40,"12,493,200","369,368,000"
WAVES,"Nov 12, 2017",4.10,4.13,3.57,3.70,"12,279,900","410,250,000"
WAVES,"Nov 11, 2017",4.23,4.46,4.04,4.12,"12,304,600","422,815,000"
WAVES,"Nov 10, 2017",4.92,5.03,4.09,4.24,"14,425,500","491,960,000"
WAVES,"Nov 09, 2017",4.51,5.22,4.47,4.91,"20,982,300","450,694,000"
WAVES,"Nov 08, 2017",3.68,4.82,3.67,4.50,"20,540,000","368,185,000"
WAVES,"Nov 07, 2017",3.52,3.72,3.42,3.69,"11,312,200","352,178,000"
WAVES,"Nov 06, 2017",3.46,3.65,3.36,3.52,"12,291,000","345,746,000"
WAVES,"Nov 05, 2017",3.61,3.62,3.39,3.45,"9,798,490","360,517,000"
WAVES,"Nov 04, 2017",3.65,3.79,3.44,3.62,"11,619,500","365,254,000"
WAVES,"Nov 03, 2017",3.21,3.97,3.02,3.68,"14,090,800","320,550,000"
WAVES,"Nov 02, 2017",2.92,3.95,2.65,3.19,"14,949,200","292,033,000"
WAVES,"Nov 01, 2017",3.23,3.23,2.67,2.89,"11,933,800","323,419,000"
WAVES,"Oct 31, 2017",3.47,3.50,3.17,3.24,"9,895,450","347,320,000"
WAVES,"Oct 30, 2017",3.55,3.61,3.43,3.48,"8,523,780","355,140,000"
WAVES,"Oct 29, 2017",3.46,3.64,3.45,3.54,"9,046,840","345,825,000"
WAVES,"Oct 28, 2017",3.54,3.60,3.45,3.46,"8,103,840","354,417,000"
WAVES,"Oct 27, 2017",3.62,3.68,3.52,3.54,"6,714,780","362,311,000"
WAVES,"Oct 26, 2017",3.72,3.79,3.54,3.62,"8,321,870","371,705,000"
WAVES,"Oct 25, 2017",3.76,3.77,3.48,3.70,"8,533,500","376,245,000"
WAVES,"Oct 24, 2017",3.67,3.98,3.59,3.76,"8,703,160","366,774,000"
WAVES,"Oct 23, 2017",3.58,3.71,3.35,3.67,"8,621,370","358,001,000"
WAVES,"Oct 22, 2017",3.58,3.66,3.47,3.58,"8,491,900","358,200,000"
WAVES,"Oct 21, 2017",3.64,3.76,3.43,3.58,"10,666,600","364,477,000"
WAVES,"Oct 20, 2017",3.89,3.97,3.63,3.66,"10,830,100","389,091,000"
WAVES,"Oct 19, 2017",4.04,4.12,3.80,3.89,"8,840,030","404,068,000"
WAVES,"Oct 18, 2017",3.93,4.10,3.66,4.04,"7,283,440","392,635,000"
WAVES,"Oct 17, 2017",4.04,4.05,3.84,3.92,"4,954,490","404,005,000"
WAVES,"Oct 16, 2017",3.80,4.14,3.65,4.02,"4,972,740","380,320,000"
WAVES,"Oct 15, 2017",4.01,4.02,3.68,3.80,"4,384,340","401,032,000"
WAVES,"Oct 14, 2017",3.98,4.09,3.81,4.00,"5,190,930","397,686,000"
WAVES,"Oct 13, 2017",3.69,4.03,3.59,3.97,"6,777,070","369,201,000"
WAVES,"Oct 12, 2017",4.18,4.20,3.69,3.69,"6,289,170","417,611,000"
WAVES,"Oct 11, 2017",4.11,4.41,4.08,4.18,"7,296,340","410,915,000"
WAVES,"Oct 10, 2017",4.11,4.26,3.92,4.12,"5,675,270","410,737,000"
WAVES,"Oct 09, 2017",4.44,4.63,4.01,4.13,"6,698,160","443,937,000"
WAVES,"Oct 08, 2017",5.01,5.04,4.44,4.44,"7,717,430","501,163,000"
WAVES,"Oct 07, 2017",4.96,5.04,4.91,5.02,"6,760,300","495,816,000"
WAVES,"Oct 06, 2017",4.97,5.10,4.91,4.97,"6,574,960","497,017,000"
WAVES,"Oct 05, 2017",4.92,5.04,4.76,4.97,"6,804,000","491,795,000"
WAVES,"Oct 04, 2017",4.74,5.08,4.71,4.91,"8,679,860","474,477,000"
WAVES,"Oct 03, 2017",4.87,5.00,4.67,4.73,"6,975,040","486,590,000"
WAVES,"Oct 02, 2017",4.97,4.98,4.81,4.85,"7,422,400","497,344,000"
WAVES,"Oct 01, 2017",5.03,5.05,4.84,4.97,"8,233,020","502,985,000"
WAVES,"Sep 30, 2017",4.93,5.20,4.93,5.04,"7,480,680","493,143,000"
WAVES,"Sep 29, 2017",4.77,5.04,4.39,4.93,"8,515,820","476,743,000"
WAVES,"Sep 28, 2017",5.17,5.17,4.73,4.78,"8,795,790","516,674,000"
