symbol,date,open,high,low,close,volume,market_cap
WCT,"Dec 20, 2017",3.18,3.23,2.85,2.95,"96,010","31,760,500"
WCT,"Dec 19, 2017",2.93,3.55,2.90,3.19,"96,115","29,242,100"
WCT,"Dec 18, 2017",2.55,3.08,2.50,2.95,"145,548","25,472,200"
WCT,"Dec 17, 2017",2.57,2.84,2.52,2.54,"149,809","25,609,500"
WCT,"Dec 16, 2017",2.77,2.91,2.41,2.57,"83,098","27,582,300"
WCT,"Dec 15, 2017",3.04,3.06,2.72,2.77,"68,796","30,353,300"
WCT,"Dec 14, 2017",2.62,3.24,2.58,3.05,"123,984","26,130,600"
WCT,"Dec 13, 2017",2.57,2.82,2.45,2.61,"122,795","25,652,600"
WCT,"Dec 12, 2017",2.69,3.16,2.13,2.75,"240,956","26,792,500"
WCT,"Dec 11, 2017",2.49,2.84,2.44,2.77,"32,698","24,824,800"
WCT,"Dec 10, 2017",2.08,2.53,1.72,2.50,"42,851","20,720,700"
WCT,"Dec 09, 2017",2.31,2.48,1.83,2.07,"37,620","23,034,500"
WCT,"Dec 08, 2017",2.54,2.65,1.93,2.32,"36,107","25,372,900"
WCT,"Dec 07, 2017",2.53,2.84,2.35,2.54,"59,017","25,231,700"
WCT,"Dec 06, 2017",2.08,2.53,2.05,2.53,"45,412","20,768,100"
WCT,"Dec 05, 2017",1.85,2.25,1.84,2.07,"75,761","18,470,200"
WCT,"Dec 04, 2017",1.26,1.86,1.26,1.86,"168,714","12,580,500"
WCT,"Dec 03, 2017",1.25,1.37,1.18,1.26,"37,594","12,428,200"
WCT,"Dec 02, 2017",1.26,1.40,1.20,1.24,"88,345","12,601,400"
WCT,"Dec 01, 2017",1.10,1.28,1.04,1.27,"22,756","10,987,700"
WCT,"Nov 30, 2017",1.16,1.21,1.05,1.11,"17,611","11,583,400"
WCT,"Nov 29, 2017",1.27,1.32,1.10,1.16,"54,386","12,713,800"
WCT,"Nov 28, 2017",1.25,1.29,1.23,1.27,"37,180","12,460,300"
WCT,"Nov 27, 2017",1.22,1.26,1.19,1.25,"23,629","12,201,400"
WCT,"Nov 26, 2017",1.22,1.26,1.15,1.22,"43,357","12,121,200"
