symbol,date,open,high,low,close,volume,market_cap
XAUR,"Dec 20, 2017",0.156354,0.167232,0.142002,0.154861,"399,348","19,873,700"
XAUR,"Dec 19, 2017",0.164295,0.173248,0.150579,0.156425,"490,565","20,883,100"
XAUR,"Dec 18, 2017",0.169133,0.171262,0.149369,0.165279,"576,133","21,498,000"
XAUR,"Dec 17, 2017",0.189774,0.189774,0.132908,0.168710,"1,250,970","24,121,700"
XAUR,"Dec 16, 2017",0.234636,0.271112,0.178796,0.195141,"3,033,990","29,824,100"
XAUR,"Dec 15, 2017",0.241010,0.271475,0.211796,0.262387,"1,074,060","30,634,200"
XAUR,"Dec 14, 2017",0.225673,0.246289,0.209391,0.240816,"1,464,440","28,684,800"
XAUR,"Dec 13, 2017",0.217102,0.224644,0.200845,0.224644,"419,438","27,595,400"
XAUR,"Dec 12, 2017",0.205796,0.242135,0.197982,0.216755,"1,205,140","26,158,300"
XAUR,"Dec 11, 2017",0.182635,0.222890,0.180949,0.203466,"455,535","23,214,400"
XAUR,"Dec 10, 2017",0.220869,0.220869,0.158753,0.187183,"443,090","28,074,200"
XAUR,"Dec 09, 2017",0.218638,0.318417,0.178853,0.221283,"1,797,370","27,790,700"
XAUR,"Dec 08, 2017",0.192182,0.219065,0.165952,0.219065,"232,525","24,427,800"
XAUR,"Dec 07, 2017",0.248874,0.252967,0.185294,0.191122,"457,368","31,633,900"
XAUR,"Dec 06, 2017",0.232417,0.276716,0.215995,0.248877,"1,125,220","29,542,000"
XAUR,"Dec 05, 2017",0.229125,0.252958,0.218961,0.232553,"473,888","29,123,600"
XAUR,"Dec 04, 2017",0.196741,0.252787,0.193638,0.228989,"744,692","25,007,400"
XAUR,"Dec 03, 2017",0.199895,0.210488,0.188332,0.196411,"165,923","25,408,300"
XAUR,"Dec 02, 2017",0.200582,0.213887,0.191664,0.199785,"196,652","25,495,600"
XAUR,"Dec 01, 2017",0.189508,0.203334,0.177817,0.201097,"149,077","24,088,000"
XAUR,"Nov 30, 2017",0.170126,0.201701,0.164659,0.190459,"160,730","21,624,400"
