symbol,date,open,high,low,close,volume,market_cap
XCP,"Dec 20, 2017",36.77,37.38,30.66,33.24,"1,572,670","96,238,000"
XCP,"Dec 19, 2017",33.79,38.56,30.80,36.33,"2,755,310","88,442,800"
XCP,"Dec 18, 2017",32.53,34.56,30.32,34.27,"1,760,140","85,154,000"
XCP,"Dec 17, 2017",31.84,33.81,31.13,32.43,"1,050,570","83,331,200"
XCP,"Dec 16, 2017",27.53,36.35,27.12,31.83,"2,230,130","72,045,900"
XCP,"Dec 15, 2017",29.84,31.29,25.76,27.29,"1,268,890","78,097,600"
XCP,"Dec 14, 2017",25.48,31.09,25.46,29.00,"1,399,130","66,691,100"
XCP,"Dec 13, 2017",23.41,30.74,22.51,25.43,"1,404,370","61,270,300"
XCP,"Dec 12, 2017",23.21,24.96,22.40,23.39,"887,661","60,745,300"
XCP,"Dec 11, 2017",21.33,25.15,21.22,23.24,"464,475","55,841,500"
XCP,"Dec 10, 2017",23.20,23.20,19.38,20.92,"856,150","60,712,000"
XCP,"Dec 09, 2017",24.03,25.07,22.25,23.10,"719,361","62,906,600"
XCP,"Dec 08, 2017",26.36,40.48,22.87,24.33,"1,935,750","68,988,500"
XCP,"Dec 07, 2017",27.15,30.30,24.10,26.48,"2,410,400","71,074,200"
XCP,"Dec 06, 2017",32.28,34.33,26.70,26.87,"2,617,820","84,494,100"
XCP,"Dec 05, 2017",25.81,32.28,25.14,32.28,"1,794,210","67,569,400"
XCP,"Dec 04, 2017",24.24,26.45,23.80,25.78,"644,956","63,440,000"
XCP,"Dec 03, 2017",22.50,27.54,22.50,23.98,"727,513","58,888,900"
XCP,"Dec 02, 2017",21.66,23.91,21.44,22.40,"305,802","56,688,400"
XCP,"Dec 01, 2017",21.38,23.32,18.36,21.64,"1,107,340","55,972,600"
XCP,"Nov 30, 2017",22.26,24.45,18.53,21.50,"663,113","58,254,900"
XCP,"Nov 29, 2017",29.11,31.19,21.12,21.91,"2,064,480","76,185,000"
XCP,"Nov 28, 2017",26.51,31.74,23.53,29.04,"4,452,310","69,385,600"
XCP,"Nov 27, 2017",19.93,25.77,19.57,25.77,"858,238","52,174,900"
XCP,"Nov 26, 2017",19.68,21.64,19.02,19.93,"606,350","51,521,400"
XCP,"Nov 25, 2017",17.09,22.04,16.54,19.33,"1,464,560","44,737,300"
XCP,"Nov 24, 2017",15.83,17.18,14.77,17.18,"402,567","41,445,700"
XCP,"Nov 23, 2017",14.11,16.24,13.63,15.80,"389,828","36,933,400"
XCP,"Nov 22, 2017",13.87,14.88,13.06,14.12,"267,007","36,301,300"
XCP,"Nov 21, 2017",14.78,15.11,13.12,13.82,"350,945","38,678,500"
XCP,"Nov 20, 2017",15.33,15.46,14.29,14.78,"271,942","40,138,600"
XCP,"Nov 19, 2017",16.09,16.20,15.15,15.34,"245,601","42,127,300"
XCP,"Nov 18, 2017",15.03,16.63,14.57,16.19,"286,586","39,350,000"
XCP,"Nov 17, 2017",15.56,16.52,14.79,15.09,"335,664","40,720,400"
XCP,"Nov 16, 2017",15.11,16.18,14.88,15.58,"399,072","39,540,900"
XCP,"Nov 15, 2017",15.47,16.89,14.81,15.10,"517,463","40,498,300"
XCP,"Nov 14, 2017",14.09,15.65,13.75,15.46,"376,313","36,875,800"
XCP,"Nov 13, 2017",13.16,15.23,12.90,13.96,"597,755","34,433,800"
XCP,"Nov 12, 2017",13.93,14.47,11.49,13.14,"560,304","36,449,800"
XCP,"Nov 11, 2017",14.92,17.51,13.28,13.95,"1,126,920","39,048,300"
XCP,"Nov 10, 2017",13.50,16.82,12.52,15.15,"1,059,820","35,339,500"
XCP,"Nov 09, 2017",14.46,14.52,12.98,13.35,"495,693","37,850,800"
XCP,"Nov 08, 2017",11.90,15.12,11.65,14.47,"635,716","31,154,300"
XCP,"Nov 07, 2017",12.07,13.26,11.41,11.94,"358,301","31,602,800"
XCP,"Nov 06, 2017",11.28,12.80,10.87,11.88,"568,433","29,534,700"
XCP,"Nov 05, 2017",10.52,11.77,10.30,11.25,"300,063","27,541,600"
