symbol,date,open,high,low,close,volume,market_cap
XDN,"Dec 20, 2017",0.010747,0.011951,0.008328,0.011951,"13,272,700","74,003,500"
XDN,"Dec 19, 2017",0.011781,0.012506,0.010231,0.010582,"11,453,700","81,118,600"
XDN,"Dec 18, 2017",0.009763,0.014130,0.009657,0.011757,"20,023,800","67,227,200"
XDN,"Dec 17, 2017",0.005205,0.012721,0.005114,0.009715,"27,703,200","35,841,500"
XDN,"Dec 16, 2017",0.003515,0.005241,0.003507,0.005190,"10,567,600","24,200,400"
XDN,"Dec 15, 2017",0.003502,0.003905,0.003429,0.003511,"9,707,510","24,112,400"
XDN,"Dec 14, 2017",0.003543,0.003817,0.003408,0.003488,"7,305,540","24,396,800"
XDN,"Dec 13, 2017",0.003275,0.003719,0.002970,0.003555,"8,174,590","22,551,800"
XDN,"Dec 12, 2017",0.003097,0.003488,0.002829,0.003300,"8,833,330","21,322,700"
XDN,"Dec 11, 2017",0.002783,0.003250,0.002773,0.003112,"7,177,960","19,160,400"
XDN,"Dec 10, 2017",0.003080,0.003102,0.002308,0.002811,"6,223,730","21,204,500"
XDN,"Dec 09, 2017",0.003229,0.003241,0.002896,0.003064,"5,928,670","22,233,600"
XDN,"Dec 08, 2017",0.003355,0.003381,0.002787,0.003224,"8,342,530","23,100,500"
XDN,"Dec 07, 2017",0.003165,0.003415,0.003034,0.003329,"8,252,790","21,790,900"
XDN,"Dec 06, 2017",0.002843,0.003335,0.002660,0.003168,"6,781,930","19,574,600"
XDN,"Dec 05, 2017",0.003058,0.003086,0.002710,0.002815,"6,026,500","21,054,700"
XDN,"Dec 04, 2017",0.002597,0.003166,0.002596,0.003034,"6,121,450","17,881,500"
XDN,"Dec 03, 2017",0.002514,0.002730,0.002435,0.002606,"6,031,110","17,314,100"
XDN,"Dec 02, 2017",0.002501,0.002643,0.002467,0.002524,"4,733,940","17,222,400"
XDN,"Dec 01, 2017",0.002372,0.002606,0.002303,0.002502,"3,958,710","16,334,800"
XDN,"Nov 30, 2017",0.002235,0.002416,0.001996,0.002353,"5,861,000","15,390,200"
XDN,"Nov 29, 2017",0.002338,0.002621,0.002135,0.002217,"5,127,660","16,100,800"
XDN,"Nov 28, 2017",0.002491,0.002646,0.002261,0.002330,"5,500,940","17,154,800"
XDN,"Nov 27, 2017",0.002391,0.002515,0.002358,0.002496,"5,072,640","16,467,000"
XDN,"Nov 26, 2017",0.002308,0.002584,0.002237,0.002394,"4,907,990","15,891,100"
XDN,"Nov 25, 2017",0.002238,0.002324,0.002136,0.002311,"4,159,790","15,410,100"
XDN,"Nov 24, 2017",0.002313,0.002325,0.002215,0.002244,"3,561,320","15,926,500"
XDN,"Nov 23, 2017",0.002352,0.002505,0.002235,0.002310,"4,654,660","16,192,800"
XDN,"Nov 22, 2017",0.002144,0.002310,0.002110,0.002310,"4,244,050","14,761,200"
XDN,"Nov 21, 2017",0.002048,0.002165,0.001974,0.002134,"4,173,200","14,104,500"
XDN,"Nov 20, 2017",0.002228,0.002305,0.002016,0.002042,"6,120,070","15,340,200"
XDN,"Nov 19, 2017",0.002142,0.002229,0.002130,0.002226,"4,166,750","14,750,100"
XDN,"Nov 18, 2017",0.002169,0.002182,0.002107,0.002153,"4,550,840","14,932,100"
XDN,"Nov 17, 2017",0.002258,0.002324,0.002109,0.002176,"3,733,240","15,546,900"
XDN,"Nov 16, 2017",0.002167,0.002294,0.002133,0.002252,"5,437,280","14,918,100"
XDN,"Nov 15, 2017",0.002068,0.002244,0.002068,0.002150,"2,979,300","14,241,000"
XDN,"Nov 14, 2017",0.001923,0.002163,0.001775,0.002067,"4,082,540","13,241,000"
XDN,"Nov 13, 2017",0.001761,0.002057,0.001725,0.001921,"4,444,960","12,124,000"
XDN,"Nov 12, 2017",0.002078,0.002085,0.001700,0.001761,"3,304,080","14,309,400"
XDN,"Nov 11, 2017",0.002186,0.002276,0.002067,0.002084,"3,515,880","15,051,400"
XDN,"Nov 10, 2017",0.002495,0.002543,0.002181,0.002194,"4,370,460","17,176,600"
XDN,"Nov 09, 2017",0.002285,0.002530,0.002225,0.002487,"4,202,440","15,733,600"
XDN,"Nov 08, 2017",0.002239,0.002303,0.002130,0.002288,"3,752,970","15,418,800"
XDN,"Nov 07, 2017",0.002215,0.002327,0.002206,0.002241,"2,554,800","15,251,200"
XDN,"Nov 06, 2017",0.002302,0.002432,0.002168,0.002206,"3,871,010","15,854,000"
XDN,"Nov 05, 2017",0.002377,0.002614,0.002269,0.002296,"3,637,280","16,367,300"
XDN,"Nov 04, 2017",0.001823,0.002678,0.001756,0.002376,"5,717,950","12,552,700"
XDN,"Nov 03, 2017",0.001950,0.001950,0.001710,0.001822,"3,328,880","13,426,000"
XDN,"Nov 02, 2017",0.001882,0.002103,0.001622,0.001910,"4,996,510","12,958,200"
XDN,"Nov 01, 2017",0.002053,0.002065,0.001802,0.001892,"3,076,030","14,137,200"
XDN,"Oct 31, 2017",0.002321,0.002366,0.001950,0.002079,"3,165,680","15,984,000"
XDN,"Oct 30, 2017",0.002912,0.003136,0.002267,0.002333,"3,646,160","20,050,200"
XDN,"Oct 29, 2017",0.001488,0.003999,0.001484,0.002939,"28,586,000","10,243,300"
XDN,"Oct 28, 2017",0.001544,0.001587,0.001490,0.001490,"3,220,300","10,629,400"
XDN,"Oct 27, 2017",0.001617,0.001690,0.001528,0.001552,"2,693,790","11,134,600"
XDN,"Oct 26, 2017",0.001598,0.001771,0.001544,0.001604,"3,380,020","11,001,700"
XDN,"Oct 25, 2017",0.001981,0.002077,0.001551,0.001594,"2,182,810","13,643,900"
XDN,"Oct 24, 2017",0.001189,0.002581,0.001135,0.001992,"5,292,180","8,187,680"
XDN,"Oct 23, 2017",0.001372,0.001372,0.001180,0.001191,"2,985,650","9,448,560"
XDN,"Oct 22, 2017",0.001373,0.001485,0.001286,0.001374,"3,143,360","9,454,200"
XDN,"Oct 21, 2017",0.001267,0.001396,0.001166,0.001371,"3,020,800","8,727,520"
XDN,"Oct 20, 2017",0.001381,0.001411,0.001219,0.001275,"2,881,480","9,510,260"
XDN,"Oct 19, 2017",0.001458,0.001490,0.001308,0.001397,"5,041,870","10,036,000"
XDN,"Oct 18, 2017",0.001439,0.001559,0.001358,0.001464,"4,768,100","9,907,320"
XDN,"Oct 17, 2017",0.001596,0.001621,0.001399,0.001440,"8,221,320","10,990,800"
XDN,"Oct 16, 2017",0.001665,0.001706,0.001549,0.001603,"5,223,620","11,463,000"
XDN,"Oct 15, 2017",0.001743,0.001744,0.001514,0.001692,"3,059,060","11,999,200"
XDN,"Oct 14, 2017",0.001432,0.001765,0.001376,0.001707,"3,001,000","9,860,000"
XDN,"Oct 13, 2017",0.001735,0.001753,0.001346,0.001436,"3,562,750","11,945,100"
XDN,"Oct 12, 2017",0.001753,0.001834,0.001626,0.001715,"3,524,590","12,072,000"
XDN,"Oct 11, 2017",0.001572,0.001863,0.001526,0.001830,"3,322,560","10,822,200"
XDN,"Oct 10, 2017",0.001530,0.001780,0.001516,0.001571,"3,023,180","10,532,200"
XDN,"Oct 09, 2017",0.001713,0.001918,0.001539,0.001597,"3,712,950","11,794,800"
XDN,"Oct 08, 2017",0.002082,0.002090,0.001692,0.001701,"3,185,080","14,336,600"
XDN,"Oct 07, 2017",0.002016,0.002109,0.002000,0.002083,"2,381,090","13,884,800"
XDN,"Oct 06, 2017",0.002018,0.002227,0.001949,0.002013,"3,047,800","13,892,400"
XDN,"Oct 05, 2017",0.002128,0.002147,0.001962,0.002034,"2,889,270","14,652,600"
XDN,"Oct 04, 2017",0.002203,0.002215,0.002083,0.002123,"2,161,340","15,167,300"
XDN,"Oct 03, 2017",0.002230,0.002335,0.002150,0.002200,"2,843,140","15,356,100"
XDN,"Oct 02, 2017",0.002375,0.002472,0.002220,0.002304,"2,935,700","16,355,600"
XDN,"Oct 01, 2017",0.002310,0.002380,0.002239,0.002367,"2,282,540","15,906,300"
XDN,"Sep 30, 2017",0.002138,0.002341,0.002138,0.002303,"2,507,840","14,723,700"
XDN,"Sep 29, 2017",0.002328,0.002337,0.002092,0.002164,"2,577,910","16,032,500"
XDN,"Sep 28, 2017",0.002419,0.002472,0.002263,0.002328,"2,144,400","16,657,700"
XDN,"Sep 27, 2017",0.002298,0.002472,0.002298,0.002443,"1,842,800","15,825,300"
XDN,"Sep 26, 2017",0.002298,0.002422,0.002284,0.002302,"2,257,770","15,824,500"
XDN,"Sep 25, 2017",0.002093,0.002451,0.002091,0.002300,"2,951,000","14,413,500"
XDN,"Sep 24, 2017",0.002172,0.002180,0.002066,0.002101,"1,890,520","14,954,300"
