symbol,date,open,high,low,close,volume,market_cap
XMR,"Dec 20, 2017",375.71,476.40,329.95,469.20,"498,648,000","5,823,300,000"
XMR,"Dec 19, 2017",381.07,406.03,346.94,377.24,"317,292,000","5,904,690,000"
XMR,"Dec 18, 2017",353.07,381.51,332.09,381.51,"217,306,000","5,469,410,000"
XMR,"Dec 17, 2017",328.06,365.24,327.27,351.37,"278,705,000","5,078,920,000"
XMR,"Dec 16, 2017",312.61,331.54,311.71,327.32,"164,861,000","4,839,760,000"
XMR,"Dec 15, 2017",325.61,326.08,296.08,312.32,"163,054,000","5,039,870,000"
XMR,"Dec 14, 2017",303.26,335.53,301.40,325.21,"261,053,000","4,692,810,000"
XMR,"Dec 13, 2017",307.43,330.35,284.74,305.75,"248,583,000","4,749,580,000"
XMR,"Dec 12, 2017",281.49,319.90,281.19,308.07,"271,786,000","4,348,820,000"
XMR,"Dec 11, 2017",244.95,281.03,244.14,279.67,"152,497,000","3,784,310,000"
XMR,"Dec 10, 2017",262.90,262.90,220.77,245.33,"142,120,000","4,061,590,000"
XMR,"Dec 09, 2017",277.27,281.40,250.39,262.53,"161,152,000","4,283,550,000"
XMR,"Dec 08, 2017",281.31,284.86,250.65,276.74,"201,497,000","4,346,000,000"
XMR,"Dec 07, 2017",277.87,300.32,263.17,280.86,"299,528,000","4,291,850,000"
XMR,"Dec 06, 2017",268.16,316.67,260.61,278.69,"543,884,000","4,140,770,000"
XMR,"Dec 05, 2017",211.13,272.64,208.89,269.48,"352,326,000","3,258,360,000"
XMR,"Dec 04, 2017",199.56,210.24,192.04,210.24,"74,534,400","3,079,850,000"
XMR,"Dec 03, 2017",203.37,209.09,191.25,200.05,"111,303,000","3,137,680,000"
XMR,"Dec 02, 2017",190.83,205.26,186.68,203.03,"80,791,100","2,943,520,000"
XMR,"Dec 01, 2017",179.72,191.85,169.76,190.94,"70,430,500","2,771,380,000"
XMR,"Nov 30, 2017",170.49,195.39,156.53,180.14,"128,112,000","2,627,490,000"
XMR,"Nov 29, 2017",203.91,214.28,165.33,168.15,"178,828,000","3,142,680,000"
XMR,"Nov 28, 2017",175.35,203.21,173.17,203.21,"179,179,000","2,701,720,000"
XMR,"Nov 27, 2017",162.92,173.39,159.95,173.39,"81,489,700","2,509,520,000"
XMR,"Nov 26, 2017",168.57,168.72,159.76,163.37,"61,100,400","2,595,920,000"
XMR,"Nov 25, 2017",160.00,170.10,160.00,168.44,"64,076,700","2,463,190,000"
XMR,"Nov 24, 2017",158.62,162.94,156.76,160.03,"69,178,000","2,441,330,000"
XMR,"Nov 23, 2017",166.11,172.92,156.45,158.61,"109,392,000","2,555,950,000"
XMR,"Nov 22, 2017",142.08,173.45,141.14,165.95,"189,472,000","2,184,930,000"
XMR,"Nov 21, 2017",136.10,142.21,131.37,141.74,"72,701,500","2,093,010,000"
XMR,"Nov 20, 2017",129.50,140.55,128.49,135.76,"59,945,400","1,990,900,000"
XMR,"Nov 19, 2017",130.72,133.62,127.21,129.48,"42,133,000","2,009,180,000"
XMR,"Nov 18, 2017",126.59,135.01,123.53,130.80,"62,156,400","1,945,200,000"
XMR,"Nov 17, 2017",120.02,126.70,119.25,126.70,"47,127,700","1,843,600,000"
XMR,"Nov 16, 2017",121.24,128.09,118.50,120.31,"74,944,100","1,861,940,000"
XMR,"Nov 15, 2017",122.24,124.72,119.19,121.37,"49,976,700","1,876,740,000"
XMR,"Nov 14, 2017",123.62,124.20,118.63,122.35,"53,544,800","1,896,990,000"
XMR,"Nov 13, 2017",128.96,136.53,120.92,123.40,"116,200,000","1,978,840,000"
XMR,"Nov 12, 2017",119.60,133.68,110.62,123.86,"144,948,000","1,834,630,000"
XMR,"Nov 11, 2017",105.75,127.11,103.88,119.62,"107,708,000","1,621,800,000"
XMR,"Nov 10, 2017",121.34,121.67,101.76,105.59,"84,614,000","1,860,390,000"
XMR,"Nov 09, 2017",112.53,123.41,112.22,120.78,"86,864,600","1,724,820,000"
XMR,"Nov 08, 2017",99.82,115.94,99.14,113.31,"79,822,900","1,529,550,000"
XMR,"Nov 07, 2017",104.23,104.75,95.05,99.76,"81,253,300","1,596,750,000"
XMR,"Nov 06, 2017",86.42,102.92,86.15,102.92,"103,722,000","1,323,540,000"
XMR,"Nov 05, 2017",87.31,88.04,86.04,86.35,"27,619,800","1,336,790,000"
XMR,"Nov 04, 2017",87.90,88.48,85.50,87.30,"23,011,500","1,345,360,000"
XMR,"Nov 03, 2017",83.53,90.14,83.53,87.99,"37,321,100","1,278,080,000"
XMR,"Nov 02, 2017",85.66,86.08,81.68,83.76,"48,608,100","1,310,390,000"
XMR,"Nov 01, 2017",87.65,88.20,84.73,85.72,"36,899,300","1,340,360,000"
XMR,"Oct 31, 2017",88.75,89.33,87.60,87.64,"28,704,900","1,356,840,000"
XMR,"Oct 30, 2017",88.59,90.49,88.04,88.84,"28,179,100","1,354,090,000"
XMR,"Oct 29, 2017",86.27,90.36,86.27,88.65,"38,368,700","1,318,160,000"
XMR,"Oct 28, 2017",86.91,87.76,85.71,86.31,"25,397,400","1,327,650,000"
XMR,"Oct 27, 2017",88.58,89.19,86.43,86.75,"27,939,000","1,352,700,000"
XMR,"Oct 26, 2017",88.17,89.87,88.02,88.58,"23,132,200","1,346,070,000"
XMR,"Oct 25, 2017",88.49,101.29,85.82,88.13,"59,952,100","1,350,650,000"
XMR,"Oct 24, 2017",85.16,92.35,83.47,88.40,"42,191,100","1,299,330,000"
XMR,"Oct 23, 2017",86.48,86.92,82.89,85.21,"26,261,800","1,319,200,000"
