symbol,date,open,high,low,close,volume,market_cap
XMY,"Dec 20, 2017",0.010213,0.013395,0.008422,0.012981,"1,562,410","15,709,400"
XMY,"Dec 19, 2017",0.011820,0.012822,0.009799,0.010216,"921,289","18,178,000"
XMY,"Dec 18, 2017",0.008615,0.012221,0.008258,0.011668,"1,437,390","13,246,500"
XMY,"Dec 17, 2017",0.008549,0.009880,0.007877,0.008590,"682,214","13,143,800"
XMY,"Dec 16, 2017",0.005974,0.008548,0.005825,0.008548,"684,150","9,183,310"
XMY,"Dec 15, 2017",0.005789,0.006197,0.005349,0.005834,"132,224","8,897,250"
XMY,"Dec 14, 2017",0.004933,0.005800,0.004884,0.005782,"246,423","7,579,700"
XMY,"Dec 13, 2017",0.005325,0.005400,0.004781,0.005068,"179,177","8,182,390"
XMY,"Dec 12, 2017",0.004718,0.005529,0.004684,0.005324,"219,117","7,248,320"
XMY,"Dec 11, 2017",0.004840,0.005642,0.004704,0.004704,"87,956","7,433,820"
XMY,"Dec 10, 2017",0.005088,0.005250,0.004281,0.004872,"52,993","7,814,720"
XMY,"Dec 09, 2017",0.005540,0.005764,0.004744,0.005200,"94,996","8,507,420"
XMY,"Dec 08, 2017",0.005541,0.005955,0.004581,0.005550,"201,791","8,507,500"
XMY,"Dec 07, 2017",0.005367,0.006194,0.005139,0.005529,"262,335","8,238,540"
XMY,"Dec 06, 2017",0.004789,0.005468,0.004645,0.005373,"220,615","7,350,090"
XMY,"Dec 05, 2017",0.005235,0.005252,0.004670,0.004797,"160,358","8,033,310"
XMY,"Dec 04, 2017",0.004264,0.005287,0.004165,0.005225,"267,359","6,541,440"
XMY,"Dec 03, 2017",0.004248,0.004691,0.003925,0.004253,"104,207","6,516,190"
XMY,"Dec 02, 2017",0.004248,0.004480,0.003980,0.004244,"91,154","6,515,790"
XMY,"Dec 01, 2017",0.004189,0.004362,0.003728,0.004253,"121,574","6,423,970"
XMY,"Nov 30, 2017",0.004118,0.004562,0.003743,0.004213,"87,055","6,312,950"
XMY,"Nov 29, 2017",0.004369,0.005046,0.003859,0.003992,"152,719","6,697,180"
