symbol,date,open,high,low,close,volume,market_cap
XP,"Dec 20, 2017",0.000172,0.000295,0.000154,0.000267,"1,051,420","32,720,200"
XP,"Dec 19, 2017",0.000259,0.000262,0.000151,0.000172,"1,324,270","49,062,500"
XP,"Dec 18, 2017",0.000145,0.000328,0.000145,0.000259,"1,794,410","27,379,500"
XP,"Dec 17, 2017",0.000523,0.000559,0.000112,0.000134,"4,543,060","98,838,500"
XP,"Dec 16, 2017",0.000199,0.000531,0.000199,0.000480,"5,999,620","37,539,100"
XP,"Dec 15, 2017",0.000174,0.000268,0.000169,0.000257,"2,268,370","32,825,700"
XP,"Dec 14, 2017",0.000129,0.000179,0.000125,0.000172,"2,323,520","24,328,400"
XP,"Dec 13, 2017",0.000078,0.000141,0.000073,0.000126,"1,096,770","13,803,100"
XP,"Dec 12, 2017",0.000039,0.000127,0.000035,0.000077,"980,729","6,837,080"
XP,"Dec 11, 2017",0.000014,0.000042,0.000014,0.000033,"233,929","2,523,340"
XP,"Dec 10, 2017",0.000012,0.000017,0.000011,0.000015,"49,443","2,075,150"
XP,"Dec 09, 2017",0.000023,0.000024,0.000010,0.000012,"46,691","4,103,940"
XP,"Dec 08, 2017",0.000025,0.000032,0.000020,0.000023,"18,866","4,395,900"
XP,"Dec 07, 2017",0.000014,0.000024,0.000009,0.000024,"13,573","2,416,620"
XP,"Dec 06, 2017",0.000010,0.000018,0.000010,0.000014,"7,254","1,794,120"
XP,"Dec 05, 2017",0.000012,0.000012,0.000006,0.000010,"10,986","2,105,510"
XP,"Dec 04, 2017",0.000006,0.000013,0.000005,0.000012,"5,644","1,114,610"
XP,"Dec 03, 2017",0.000015,0.000023,0.000006,0.000006,"6,458","2,683,520"
XP,"Dec 02, 2017",0.000007,0.000017,0.000007,0.000017,"5,372","1,306,820"
XP,"Dec 01, 2017",0.000023,0.000025,0.000005,0.000007,"12,852","3,926,850"
XP,"Nov 30, 2017",0.000005,0.000023,0.000005,0.000023,"2,822","836,725"
XP,"Nov 29, 2017",0.000009,0.000010,0.000004,0.000005,"8,225","1,624,340"
XP,"Nov 28, 2017",0.000010,0.000016,0.000009,0.000009,"18,879","1,636,560"
XP,"Nov 27, 2017",0.000015,0.000027,0.000009,0.000010,"8,134","2,639,480"
XP,"Nov 26, 2017",0.000007,0.000015,0.000006,0.000015,"6,818","1,115,360"
XP,"Nov 25, 2017",0.000016,0.000016,0.000006,0.000007,"10,703","2,631,570"
XP,"Nov 24, 2017",0.000016,0.000022,0.000016,0.000016,"13,628","2,709,420"
XP,"Nov 23, 2017",0.000017,0.000017,0.000011,0.000016,"23,732","2,918,170"
XP,"Nov 22, 2017",0.000022,0.000023,0.000014,0.000017,"10,772","3,652,710"
XP,"Nov 21, 2017",0.000008,0.000022,0.000008,0.000022,"10,096","1,417,650"
XP,"Nov 20, 2017",0.000009,0.000009,0.000005,0.000008,"12,127","1,542,600"
XP,"Nov 19, 2017",0.000013,0.000026,0.000009,0.000009,"17,196","2,124,510"
XP,"Nov 18, 2017",0.000006,0.000014,0.000006,0.000013,"9,097","1,033,850"
XP,"Nov 17, 2017",0.000025,0.000027,0.000006,0.000006,"11,559","4,113,190"
XP,"Nov 16, 2017",0.000056,0.000067,0.000023,0.000025,"11,366","9,159,000"
XP,"Nov 15, 2017",0.000008,0.000068,0.000008,0.000055,"13,856","1,282,770"
XP,"Nov 14, 2017",0.000008,0.000009,0.000003,0.000008,"7,165","1,319,560"
XP,"Nov 13, 2017",0.000005,0.000008,0.000003,0.000008,"2,816","785,352"
XP,"Nov 12, 2017",0.000010,0.000010,0.000004,0.000005,"4,643","1,579,670"
XP,"Nov 11, 2017",0.000011,0.000014,0.000008,0.000010,"3,973","1,761,720"
XP,"Nov 10, 2017",0.000057,0.000060,0.000010,0.000011,"4,192","9,304,640"
XP,"Nov 09, 2017",0.000013,0.000067,0.000013,0.000057,"2,469","2,175,170"
XP,"Nov 08, 2017",0.000009,0.000017,0.000003,0.000013,"3,069","1,425,090"
XP,"Nov 07, 2017",0.000003,0.000009,0.000002,0.000009,"3,379","445,217"
XP,"Nov 06, 2017",0.000003,0.000006,0.000002,0.000003,"7,251","499,782"
XP,"Nov 05, 2017",0.000008,0.000009,0.000002,0.000003,"3,576","1,372,410"
XP,"Nov 04, 2017",0.000003,0.000009,0.000003,0.000009,"2,940","424,643"
XP,"Nov 03, 2017",0.000011,0.000017,0.000002,0.000003,"3,649","1,782,720"
XP,"Nov 02, 2017",0.000007,0.000014,0.000002,0.000011,"5,158","1,171,370"
XP,"Nov 01, 2017",0.000012,0.000012,0.000005,0.000007,"5,707","1,932,880"
XP,"Oct 31, 2017",0.000002,0.000016,0.000002,0.000012,"11,002","359,417"
XP,"Oct 30, 2017",0.000003,0.000003,0.000002,0.000002,"3,395","476,972"
XP,"Oct 29, 2017",0.000005,0.000005,0.000003,0.000003,"3,934","852,520"
XP,"Oct 28, 2017",0.000006,0.000009,0.000004,0.000005,"3,214","1,021,440"
XP,"Oct 27, 2017",0.000012,0.000013,0.000005,0.000007,"1,491","1,850,990"
XP,"Oct 26, 2017",0.000005,0.000016,0.000005,0.000011,"4,214","742,780"
XP,"Oct 25, 2017",0.000016,0.000016,0.000003,0.000005,"4,063","2,548,660"
XP,"Oct 24, 2017",0.000005,0.000016,0.000004,0.000016,"3,314","760,885"
XP,"Oct 23, 2017",0.000008,0.000008,0.000003,0.000005,"12,749","1,271,190"
XP,"Oct 22, 2017",0.000006,0.000017,0.000006,0.000008,"5,736","974,593"
XP,"Oct 21, 2017",0.000016,0.000019,0.000005,0.000006,"1,440","2,441,650"
XP,"Oct 20, 2017",0.000009,0.000018,0.000006,0.000016,"3,639","1,465,440"
XP,"Oct 19, 2017",0.000007,0.000009,0.000004,0.000009,"5,315","1,147,340"
XP,"Oct 18, 2017",0.000018,0.000020,0.000007,0.000007,"1,175","2,756,920"
XP,"Oct 17, 2017",0.000004,0.000018,0.000004,0.000018,"2,049","564,898"
XP,"Oct 16, 2017",0.000008,0.000014,0.000004,0.000004,"7,803","1,227,990"
XP,"Oct 15, 2017",0.000005,0.000008,0.000005,0.000008,"4,644","813,272"
XP,"Oct 14, 2017",0.000005,0.000006,0.000003,0.000005,"3,814","790,008"
XP,"Oct 13, 2017",0.000008,0.000011,0.000005,0.000005,"4,035","1,193,710"
XP,"Oct 12, 2017",0.000006,0.000008,0.000003,0.000008,"3,466","913,244"
XP,"Oct 11, 2017",0.000013,0.000014,0.000004,0.000006,"2,532","2,035,290"
XP,"Oct 10, 2017",0.000003,0.000018,0.000003,0.000013,"7,588","465,097"
XP,"Oct 09, 2017",0.000006,0.000008,0.000003,0.000003,"7,388","917,748"
XP,"Oct 08, 2017",0.000007,0.000007,0.000004,0.000006,"10,373","1,066,290"
XP,"Oct 07, 2017",0.000002,0.000010,0.000002,0.000007,"5,336","371,952"
XP,"Oct 06, 2017",0.000005,0.000006,0.000002,0.000002,"2,843","767,071"
XP,"Oct 05, 2017",0.000008,0.000010,0.000005,0.000005,"3,271","1,196,290"
XP,"Oct 04, 2017",0.000019,0.000020,0.000003,0.000008,"2,143","2,821,890"
XP,"Oct 03, 2017",0.000012,0.000021,0.000006,0.000019,"3,836","1,806,790"
XP,"Oct 02, 2017",0.000003,0.000012,0.000003,0.000012,"2,642","468,416"
XP,"Oct 01, 2017",0.000003,0.000003,0.000002,0.000003,"2,752","504,673"
XP,"Sep 30, 2017",0.000002,0.000004,0.000002,0.000003,"5,096","301,598"
XP,"Sep 29, 2017",0.000005,0.000006,0.000002,0.000002,"2,975","712,890"
XP,"Sep 28, 2017",0.000008,0.000009,0.000004,0.000005,"4,420","1,163,460"
XP,"Sep 27, 2017",0.000012,0.000021,0.000008,0.000008,"4,244","1,808,970"
XP,"Sep 26, 2017",0.000004,0.000012,0.000003,0.000012,"5,845","632,581"
XP,"Sep 25, 2017",0.000004,0.000005,0.000003,0.000004,"4,448","527,558"
XP,"Sep 24, 2017",0.000008,0.000008,0.000001,0.000004,"3,988","1,216,700"
XP,"Sep 23, 2017",0.000010,0.000016,0.000007,0.000008,"3,897","1,532,910"
XP,"Sep 22, 2017",0.000002,0.000012,0.000001,0.000010,"3,230","285,352"
XP,"Sep 21, 2017",0.000004,0.000005,0.000002,0.000002,"3,944","537,058"
XP,"Sep 20, 2017",0.000003,0.000007,0.000002,0.000004,401,"500,569"
XP,"Sep 19, 2017",0.000004,0.000004,0.000002,0.000003,"4,419","620,735"
XP,"Sep 18, 2017",0.000004,0.000008,0.000004,0.000004,"2,671","519,088"
XP,"Sep 17, 2017",0.000003,0.000004,0.000003,0.000004,"2,047","424,569"
XP,"Sep 16, 2017",0.000005,0.000008,0.000003,0.000003,"1,977","761,908"
XP,"Sep 15, 2017",0.000017,0.000018,0.000005,0.000005,"3,251","2,515,800"
XP,"Sep 14, 2017",0.000003,0.000021,0.000002,0.000017,"1,895","496,716"
XP,"Sep 13, 2017",0.000005,0.000005,0.000002,0.000003,"1,196","746,639"
XP,"Sep 12, 2017",0.000004,0.000005,0.000003,0.000005,"2,221","530,233"
XP,"Sep 11, 2017",0.000003,0.000007,0.000002,0.000004,"2,628","449,331"
XP,"Sep 10, 2017",0.000004,0.000004,0.000003,0.000003,"2,248","588,753"
XP,"Sep 09, 2017",0.000005,0.000005,0.000003,0.000004,"4,521","673,549"
XP,"Sep 08, 2017",0.000017,0.000017,0.000002,0.000005,"2,049","2,449,560"
XP,"Sep 07, 2017",0.000003,0.000017,0.000003,0.000017,"2,296","389,277"
XP,"Sep 06, 2017",0.000004,0.000005,0.000002,0.000003,"4,088","566,310"
XP,"Sep 05, 2017",0.000002,0.000004,0.000002,0.000004,"1,306","305,158"
XP,"Sep 04, 2017",0.000003,0.000004,0.000002,0.000002,"4,791","503,941"
XP,"Sep 03, 2017",0.000004,0.000004,0.000003,0.000003,"3,405","533,291"
XP,"Sep 02, 2017",0.000009,0.000012,0.000004,0.000004,"3,514","1,327,830"
XP,"Sep 01, 2017",0.000003,0.000010,0.000002,0.000009,"5,370","441,198"
XP,"Aug 31, 2017",0.000004,0.000004,0.000002,0.000003,"4,431","506,900"
XP,"Aug 30, 2017",0.000005,0.000005,0.000003,0.000004,"2,850","662,965"
XP,"Aug 29, 2017",0.000005,0.000010,0.000004,0.000005,"2,336","777,655"
XP,"Aug 28, 2017",0.000002,0.000005,0.000002,0.000005,"5,165","283,992"
XP,"Aug 27, 2017",0.000004,0.000005,0.000002,0.000002,"3,456","632,365"
XP,"Aug 26, 2017",0.000006,0.000007,0.000003,0.000004,"3,481","912,456"
XP,"Aug 25, 2017",0.000003,0.000007,0.000003,0.000006,"4,065","495,454"
XP,"Aug 24, 2017",0.000004,0.000004,0.000002,0.000003,"5,216","603,618"
XP,"Aug 23, 2017",0.000010,0.000010,0.000004,0.000004,"4,344","1,419,340"
XP,"Aug 22, 2017",0.000009,0.000013,0.000007,0.000010,"3,121","1,252,380"
XP,"Aug 21, 2017",0.000003,0.000009,0.000003,0.000009,"1,461","492,029"
XP,"Aug 20, 2017",0.000003,0.000006,0.000002,0.000003,"4,558","465,594"
XP,"Aug 19, 2017",0.000004,0.000004,0.000002,0.000003,"5,534","557,193"
XP,"Aug 18, 2017",0.000003,0.000004,0.000003,0.000004,"3,674","452,030"
XP,"Aug 17, 2017",0.000003,0.000003,0.000002,0.000003,"8,721","404,995"
XP,"Aug 16, 2017",0.000003,0.000004,0.000002,0.000003,"4,440","418,462"
XP,"Aug 15, 2017",0.000003,0.000003,0.000002,0.000003,"8,336","418,997"
XP,"Aug 14, 2017",0.000007,0.000008,0.000003,0.000003,"6,804","996,619"
XP,"Aug 13, 2017",0.000005,0.000007,0.000004,0.000007,"4,783","706,660"
XP,"Aug 12, 2017",0.000014,0.000014,0.000003,0.000005,"5,496","1,972,390"
XP,"Aug 11, 2017",0.000004,0.000018,0.000004,0.000014,"7,374","563,747"
XP,"Aug 10, 2017",0.000002,0.000005,0.000002,0.000004,"2,520","276,312"
