symbol,date,open,high,low,close,volume,market_cap
XRL,"Dec 20, 2017",0.253433,0.308315,0.224910,0.299147,"64,097","21,541,800"
XRL,"Dec 19, 2017",0.279745,0.302784,0.238699,0.253666,"66,865","23,778,300"
XRL,"Dec 18, 2017",0.226044,0.281240,0.222558,0.280240,"43,724","19,213,800"
XRL,"Dec 17, 2017",0.261907,0.272163,0.213507,0.226238,"67,770","22,262,100"
XRL,"Dec 16, 2017",0.242944,0.263360,0.236472,0.261308,"35,790","20,650,200"
XRL,"Dec 15, 2017",0.231636,0.275053,0.214507,0.242798,"109,538","19,689,100"
XRL,"Dec 14, 2017",0.209357,0.261618,0.193104,0.231414,"95,582","17,795,300"
XRL,"Dec 13, 2017",0.216228,0.239531,0.173379,0.209548,"94,396","18,379,400"
XRL,"Dec 12, 2017",0.224985,0.247123,0.189922,0.216094,"111,336","19,123,700"
XRL,"Dec 11, 2017",0.210604,0.264093,0.199196,0.226042,"72,122","17,901,400"
XRL,"Dec 10, 2017",0.230160,0.233403,0.207146,0.210659,"39,710","19,563,600"
XRL,"Dec 09, 2017",0.222372,0.252149,0.219146,0.229416,"74,503","18,901,600"
XRL,"Dec 08, 2017",0.194352,0.225128,0.189795,0.222380,"47,868","16,519,900"
XRL,"Dec 07, 2017",0.210092,0.218012,0.193896,0.195597,"48,343","17,857,800"
XRL,"Dec 06, 2017",0.216449,0.219366,0.205404,0.210430,"18,063","18,398,200"
XRL,"Dec 05, 2017",0.232659,0.234528,0.209476,0.216854,"56,777","19,776,000"
XRL,"Dec 04, 2017",0.219797,0.232617,0.218167,0.232473,"28,381","18,682,700"
XRL,"Dec 03, 2017",0.230220,0.245782,0.216817,0.219296,"20,518","19,568,700"
XRL,"Dec 02, 2017",0.228710,0.251741,0.216825,0.230108,"63,079","19,440,300"
XRL,"Dec 01, 2017",0.223939,0.235976,0.201191,0.228729,"37,549","19,034,800"
XRL,"Nov 30, 2017",0.221149,0.254805,0.198392,0.224692,"54,834","18,797,700"
XRL,"Nov 29, 2017",0.236815,0.266902,0.190168,0.218271,"66,344","20,129,300"
XRL,"Nov 28, 2017",0.217349,0.240461,0.204044,0.237206,"69,650","18,474,600"
XRL,"Nov 27, 2017",0.229009,0.249208,0.206811,0.217508,"77,599","19,465,800"
XRL,"Nov 26, 2017",0.206449,0.260986,0.206449,0.227264,"145,955","17,548,200"
XRL,"Nov 25, 2017",0.182968,0.249242,0.182968,0.206456,"44,865","15,552,300"
XRL,"Nov 24, 2017",0.177403,0.209847,0.161526,0.183045,"35,157","15,079,200"
XRL,"Nov 23, 2017",0.151824,0.178330,0.150786,0.178165,"26,331","12,905,100"
XRL,"Nov 22, 2017",0.170733,0.172005,0.146996,0.151491,"86,739","14,512,300"
XRL,"Nov 21, 2017",0.203627,0.206012,0.162008,0.170478,"28,557","17,308,300"
XRL,"Nov 20, 2017",0.173465,0.207601,0.150299,0.203732,"47,458","14,744,500"
XRL,"Nov 19, 2017",0.176098,0.183388,0.168363,0.173646,"26,343","14,968,400"
XRL,"Nov 18, 2017",0.173148,0.178969,0.162631,0.176545,"19,003","14,717,600"
XRL,"Nov 17, 2017",0.176697,0.182476,0.159504,0.173449,"57,469","15,019,200"
XRL,"Nov 16, 2017",0.174758,0.182337,0.168221,0.176806,"24,571","14,854,500"
XRL,"Nov 15, 2017",0.181660,0.185097,0.169746,0.174846,"45,864","15,441,100"
XRL,"Nov 14, 2017",0.167481,0.182427,0.167481,0.181561,"27,024","14,235,900"
XRL,"Nov 13, 2017",0.169199,0.178582,0.153037,0.167451,"31,713","14,381,900"
XRL,"Nov 12, 2017",0.173655,0.226770,0.168638,0.168937,"23,274","14,760,600"
XRL,"Nov 11, 2017",0.172526,0.186350,0.165716,0.173653,"13,089","14,664,700"
XRL,"Nov 10, 2017",0.187631,0.193481,0.165957,0.173028,"31,630","15,948,700"
XRL,"Nov 09, 2017",0.199084,0.201853,0.181733,0.187507,"30,702","16,922,200"
XRL,"Nov 08, 2017",0.175070,0.203021,0.168753,0.200164,"61,641","14,881,000"
XRL,"Nov 07, 2017",0.166169,0.185991,0.158503,0.175220,"27,400","14,124,400"
XRL,"Nov 06, 2017",0.179635,0.187222,0.165993,0.165993,"68,645","15,268,900"
XRL,"Nov 05, 2017",0.182229,0.186651,0.167168,0.179457,"16,616","15,489,500"
XRL,"Nov 04, 2017",0.191122,0.192737,0.181133,0.182050,"22,711","16,245,300"
XRL,"Nov 03, 2017",0.181733,0.199145,0.181733,0.191108,"33,645","15,447,300"
XRL,"Nov 02, 2017",0.189148,0.194757,0.175971,0.180897,"40,420","16,077,600"
XRL,"Nov 01, 2017",0.207965,0.211511,0.180389,0.188633,"82,102","17,677,000"
XRL,"Oct 31, 2017",0.219545,0.223078,0.204556,0.208335,"28,806","18,661,400"
XRL,"Oct 30, 2017",0.212869,0.220295,0.201924,0.219428,"49,698","18,093,800"
XRL,"Oct 29, 2017",0.198694,0.225004,0.192583,0.213305,"74,981","16,889,000"
XRL,"Oct 28, 2017",0.202053,0.217691,0.188335,0.198779,"73,367","17,174,500"
XRL,"Oct 27, 2017",0.197797,0.234611,0.193027,0.201869,"73,992","16,812,800"
XRL,"Oct 26, 2017",0.193691,0.207990,0.190919,0.197896,"61,837","16,463,700"
XRL,"Oct 25, 2017",0.214070,0.222742,0.179128,0.194107,"78,507","18,195,900"
XRL,"Oct 24, 2017",0.215871,0.240403,0.202148,0.213881,"34,742","18,349,100"
XRL,"Oct 23, 2017",0.208753,0.231719,0.186237,0.219123,"27,267","17,744,000"
XRL,"Oct 22, 2017",0.183292,0.209050,0.181015,0.208880,"23,268","15,579,800"
XRL,"Oct 21, 2017",0.202305,0.209963,0.167724,0.183294,"48,772","17,195,900"
XRL,"Oct 20, 2017",0.257279,0.257322,0.202570,0.202570,"74,503","21,868,700"
XRL,"Oct 19, 2017",0.214242,0.283947,0.199093,0.257481,"60,180","18,210,600"
XRL,"Oct 18, 2017",0.192953,0.223858,0.184998,0.214736,"49,789","16,401,000"
XRL,"Oct 17, 2017",0.243316,0.243316,0.192853,0.193182,"68,590","20,681,800"
XRL,"Oct 16, 2017",0.233242,0.251506,0.209602,0.242860,"79,532","19,825,600"
XRL,"Oct 15, 2017",0.208929,0.237699,0.194807,0.232710,"63,323","17,759,000"
XRL,"Oct 14, 2017",0.294181,0.608995,0.199659,0.203013,"69,050","25,005,400"
XRL,"Oct 13, 2017",0.287887,0.315227,0.244945,0.293903,"23,480","24,470,400"
XRL,"Oct 12, 2017",0.256649,0.355295,0.256472,0.270769,"49,693","21,815,100"
XRL,"Oct 11, 2017",0.274588,0.303771,0.252103,0.256638,"64,252","23,340,000"
XRL,"Oct 10, 2017",0.299075,0.305410,0.245682,0.274602,"59,906","25,421,400"
XRL,"Oct 09, 2017",0.294317,0.317737,0.230381,0.302252,"26,946","25,016,900"
XRL,"Oct 08, 2017",0.315541,0.325802,0.202613,0.294288,"106,747","26,821,000"
XRL,"Oct 07, 2017",0.332432,0.353678,0.306854,0.316575,"39,634","28,256,700"
XRL,"Oct 06, 2017",0.305024,0.335736,0.296907,0.332869,"66,447","25,927,000"
XRL,"Oct 05, 2017",0.315015,0.346878,0.285480,0.304882,"30,403","26,776,300"
XRL,"Oct 04, 2017",0.320233,0.408901,0.298433,0.305487,"115,040","27,219,800"
XRL,"Oct 03, 2017",0.348875,0.370136,0.318478,0.319502,"38,670","29,654,400"
XRL,"Oct 02, 2017",0.358031,0.405524,0.337676,0.349191,"43,924","30,432,700"
