symbol,date,open,high,low,close,volume,market_cap
XSPEC,"Dec 20, 2017",1.61,1.65,1.31,1.42,"321,280","33,486,200"
XSPEC,"Dec 19, 2017",1.56,2.24,1.51,1.64,"642,083","32,321,600"
XSPEC,"Dec 18, 2017",1.14,1.84,0.973742,1.56,"623,493","23,671,100"
XSPEC,"Dec 17, 2017",0.854779,1.21,0.829630,1.14,"535,464","17,766,800"
XSPEC,"Dec 16, 2017",0.585110,0.872376,0.516388,0.857205,"250,015","12,161,700"
XSPEC,"Dec 15, 2017",0.595649,0.619270,0.520135,0.588912,"105,752","12,380,700"
XSPEC,"Dec 14, 2017",0.365253,0.600010,0.361745,0.599596,"145,925","7,591,890"
XSPEC,"Dec 13, 2017",0.343648,0.380721,0.314371,0.366412,"55,587","7,142,820"
XSPEC,"Dec 12, 2017",0.333213,0.387403,0.313092,0.342951,"55,925","6,925,920"
XSPEC,"Dec 11, 2017",0.304911,0.350412,0.304474,0.331084,"57,947","6,337,660"
XSPEC,"Dec 10, 2017",0.305071,0.315348,0.259879,0.307801,"44,181","6,340,970"
XSPEC,"Dec 09, 2017",0.383009,0.393466,0.287002,0.302809,"38,533","7,960,940"
XSPEC,"Dec 08, 2017",0.376189,0.393654,0.286345,0.384056,"34,584","7,819,180"
XSPEC,"Dec 07, 2017",0.409175,0.467026,0.302452,0.374692,"38,417","8,504,810"
XSPEC,"Dec 06, 2017",0.364375,0.450967,0.361045,0.410717,"52,872","7,573,620"
XSPEC,"Dec 05, 2017",0.377335,0.453641,0.330485,0.371536,"51,252","7,843,010"
XSPEC,"Dec 04, 2017",0.430752,0.469200,0.351141,0.376444,"71,403","8,953,290"
XSPEC,"Dec 03, 2017",0.422307,0.510179,0.397484,0.429703,"27,350","8,777,760"
XSPEC,"Dec 02, 2017",0.448048,0.460336,0.407673,0.423668,"32,972","9,312,790"
XSPEC,"Dec 01, 2017",0.401600,0.447033,0.330965,0.447033,"36,246","8,347,360"
XSPEC,"Nov 30, 2017",0.382296,0.459047,0.321681,0.424990,"30,292","7,946,130"
XSPEC,"Nov 29, 2017",0.399638,0.443110,0.332552,0.377370,"38,372","8,306,570"
XSPEC,"Nov 28, 2017",0.429667,0.459428,0.390291,0.390793,"27,422","8,930,740"
XSPEC,"Nov 27, 2017",0.394569,0.492333,0.388986,0.432291,"37,575","8,201,210"
XSPEC,"Nov 26, 2017",0.390019,0.421692,0.357818,0.394717,"34,336","8,106,650"
XSPEC,"Nov 25, 2017",0.361686,0.426572,0.349827,0.391098,"30,904","7,517,740"
XSPEC,"Nov 24, 2017",0.375511,0.390316,0.339838,0.362343,"14,503","7,805,100"
XSPEC,"Nov 23, 2017",0.401017,0.414482,0.362051,0.369317,"13,808","8,335,250"
XSPEC,"Nov 22, 2017",0.389416,0.416797,0.388257,0.402986,"20,054","8,094,120"
XSPEC,"Nov 21, 2017",0.404561,0.424630,0.385382,0.389298,"21,547","8,408,910"
XSPEC,"Nov 20, 2017",0.331609,0.438646,0.323997,0.406647,"21,543","6,892,580"
XSPEC,"Nov 19, 2017",0.392260,0.392260,0.300152,0.332754,"34,894","8,153,220"
XSPEC,"Nov 18, 2017",0.382001,0.432476,0.342739,0.390602,"56,398","7,939,980"
XSPEC,"Nov 17, 2017",0.424906,0.428869,0.353057,0.383363,"20,331","8,831,780"
XSPEC,"Nov 16, 2017",0.416016,0.420109,0.369359,0.401965,"37,888","8,647,000"
XSPEC,"Nov 15, 2017",0.428981,0.461820,0.388582,0.413795,"27,952","8,916,480"
XSPEC,"Nov 14, 2017",0.451841,0.502278,0.407692,0.428283,"20,707","9,391,630"
XSPEC,"Nov 13, 2017",0.384946,0.561413,0.383004,0.451392,"29,099","8,001,200"
XSPEC,"Nov 12, 2017",0.448301,0.461499,0.369613,0.381656,"29,295","9,318,060"
XSPEC,"Nov 11, 2017",0.586493,0.586493,0.442872,0.448509,"29,521","12,190,400"
XSPEC,"Nov 10, 2017",0.611368,0.635669,0.479661,0.587962,"74,134","12,707,400"
