symbol,date,open,high,low,close,volume,market_cap
XST,"Dec 20, 2017",0.689314,1.34,0.554219,1.14,"5,314,930","19,061,900"
XST,"Dec 19, 2017",0.508634,0.813653,0.464352,0.697453,"2,184,660","14,062,200"
XST,"Dec 18, 2017",0.447636,0.522863,0.422615,0.508121,"212,998","12,372,500"
XST,"Dec 17, 2017",0.454509,0.492400,0.438703,0.444445,"117,643","12,558,200"
XST,"Dec 16, 2017",0.433831,0.521657,0.399911,0.454818,"349,972","11,983,900"
XST,"Dec 15, 2017",0.446907,0.482560,0.399064,0.435333,"319,409","12,340,700"
XST,"Dec 14, 2017",0.350845,0.489658,0.348458,0.446240,"979,391","9,685,660"
XST,"Dec 13, 2017",0.364051,0.387247,0.334632,0.351830,"56,834","10,047,800"
XST,"Dec 12, 2017",0.342182,0.411917,0.333579,0.369232,"130,672","9,441,370"
XST,"Dec 11, 2017",0.287655,0.428111,0.274960,0.341086,"246,936","7,934,420"
XST,"Dec 10, 2017",0.329117,0.342157,0.265117,0.289748,"57,284","9,072,900"
XST,"Dec 09, 2017",0.369154,0.422521,0.317330,0.329425,"157,886","10,174,200"
XST,"Dec 08, 2017",0.392986,0.405064,0.296882,0.369551,"98,762","10,828,400"
XST,"Dec 07, 2017",0.373947,0.405886,0.327483,0.402279,"68,906","10,301,300"
XST,"Dec 06, 2017",0.393562,0.406997,0.331506,0.374560,"208,500","10,838,900"
XST,"Dec 05, 2017",0.370118,0.407696,0.358376,0.401135,"81,150","10,190,500"
XST,"Dec 04, 2017",0.329403,0.383594,0.319179,0.369376,"126,870","9,067,240"
XST,"Dec 03, 2017",0.318106,0.358666,0.310228,0.325610,"47,609","8,753,630"
XST,"Dec 02, 2017",0.334719,0.351026,0.301552,0.321007,"75,517","9,207,570"
XST,"Dec 01, 2017",0.283810,0.335586,0.267900,0.334962,"49,494","7,803,810"
XST,"Nov 30, 2017",0.286890,0.325091,0.258539,0.285158,"31,518","7,886,090"
XST,"Nov 29, 2017",0.317543,0.347919,0.268475,0.282615,"68,074","8,726,300"
XST,"Nov 28, 2017",0.311983,0.323454,0.305614,0.317897,"44,131","8,571,200"
XST,"Nov 27, 2017",0.316639,0.349166,0.296511,0.311214,"139,277","8,696,800"
XST,"Nov 26, 2017",0.283058,0.322391,0.276831,0.316570,"96,880","7,772,430"
XST,"Nov 25, 2017",0.264197,0.284154,0.259268,0.280485,"70,404","7,252,430"
XST,"Nov 24, 2017",0.258650,0.274171,0.251937,0.264736,"36,683","7,098,230"
XST,"Nov 23, 2017",0.267343,0.275078,0.259017,0.259017,"55,714","7,334,690"
XST,"Nov 22, 2017",0.251196,0.315090,0.250461,0.265570,"203,167","6,889,920"
XST,"Nov 21, 2017",0.261074,0.267021,0.243770,0.250629,"56,107","7,158,310"
XST,"Nov 20, 2017",0.248644,0.270325,0.244667,0.261030,"51,884","6,815,490"
XST,"Nov 19, 2017",0.255463,0.269637,0.248777,0.249477,"47,835","7,000,640"
XST,"Nov 18, 2017",0.274891,0.274891,0.246015,0.255938,"108,341","7,531,260"
XST,"Nov 17, 2017",0.253234,0.342443,0.235145,0.284611,"596,601","6,936,200"
XST,"Nov 16, 2017",0.244309,0.260517,0.234918,0.245467,"150,129","6,690,040"
XST,"Nov 15, 2017",0.247271,0.257512,0.226774,0.243034,"170,957","6,768,380"
XST,"Nov 14, 2017",0.287574,0.297374,0.231419,0.248948,"855,091","7,869,010"
XST,"Nov 13, 2017",0.162904,0.362659,0.159152,0.290081,"2,058,370","4,456,380"
XST,"Nov 12, 2017",0.180279,0.180279,0.142248,0.161804,"50,134","4,930,650"
XST,"Nov 11, 2017",0.180139,0.203585,0.173391,0.180413,"104,177","4,925,530"
XST,"Nov 10, 2017",0.219521,0.228533,0.170168,0.180774,"124,973","6,000,780"
XST,"Nov 09, 2017",0.231509,0.259809,0.204395,0.218872,"496,669","6,326,760"
XST,"Nov 08, 2017",0.166499,0.305810,0.163219,0.239439,"2,301,400","4,548,090"
XST,"Nov 07, 2017",0.170081,0.178450,0.156389,0.167023,"59,103","4,644,810"
XST,"Nov 06, 2017",0.163062,0.180216,0.150283,0.176673,"161,340","4,452,230"
XST,"Nov 05, 2017",0.181166,0.183413,0.154475,0.162849,"78,908","4,945,300"
XST,"Nov 04, 2017",0.185198,0.211996,0.179048,0.180553,"412,200","5,053,840"
XST,"Nov 03, 2017",0.195617,0.310640,0.174960,0.186111,"2,795,900","5,336,570"
XST,"Nov 02, 2017",0.145389,0.204265,0.092239,0.193283,"210,601","3,964,790"
XST,"Nov 01, 2017",0.142533,0.149006,0.135312,0.146165,"39,602","3,886,100"
XST,"Oct 31, 2017",0.152563,0.158287,0.142382,0.142649,"17,209","4,158,540"
XST,"Oct 30, 2017",0.147781,0.159111,0.142132,0.153083,"21,205","4,026,870"
XST,"Oct 29, 2017",0.148125,0.156186,0.136017,0.150963,"29,684","4,035,390"
XST,"Oct 28, 2017",0.141181,0.150935,0.129801,0.148325,"59,990","3,845,100"
XST,"Oct 27, 2017",0.154377,0.156720,0.139614,0.140796,"9,535","4,203,560"
XST,"Oct 26, 2017",0.162788,0.165828,0.148136,0.154480,"27,595","4,431,510"
XST,"Oct 25, 2017",0.149818,0.162930,0.137980,0.162930,"39,520","4,077,060"
XST,"Oct 24, 2017",0.131339,0.153275,0.130562,0.149626,"23,616","3,573,220"
XST,"Oct 23, 2017",0.142219,0.148397,0.126099,0.126384,"32,293","3,868,030"
XST,"Oct 22, 2017",0.144626,0.159873,0.139857,0.144953,"14,440","3,932,670"
XST,"Oct 21, 2017",0.153414,0.176318,0.139409,0.144582,"50,167","4,170,600"
XST,"Oct 20, 2017",0.149771,0.179831,0.131920,0.156840,"175,513","4,070,060"
XST,"Oct 19, 2017",0.163151,0.166761,0.147092,0.149728,"41,599","4,432,720"
XST,"Oct 18, 2017",0.187507,0.195026,0.149901,0.163066,"401,456","5,093,180"
XST,"Oct 17, 2017",0.170369,0.203405,0.159867,0.187498,"31,814","4,626,590"
XST,"Oct 16, 2017",0.177305,0.179032,0.160994,0.170348,"15,446","4,813,420"
XST,"Oct 15, 2017",0.194351,0.206013,0.164876,0.175291,"61,330","5,274,760"
XST,"Oct 14, 2017",0.163271,0.213359,0.153642,0.184045,"73,620","4,430,330"
XST,"Oct 13, 2017",0.191111,0.216125,0.151723,0.163340,"44,838","5,183,890"
XST,"Oct 12, 2017",0.161080,0.198004,0.155015,0.190524,"93,147","4,368,240"
XST,"Oct 11, 2017",0.148188,0.170601,0.142071,0.160942,"57,521","4,017,340"
XST,"Oct 10, 2017",0.158405,0.158735,0.144124,0.148185,"26,159","4,293,310"
