symbol,date,open,high,low,close,volume,market_cap
XVC,"Dec 20, 2017",1.35,1.49,1.18,1.31,"812,973","20,676,400"
XVC,"Dec 19, 2017",1.40,1.63,1.24,1.37,"1,493,940","21,548,100"
XVC,"Dec 18, 2017",1.20,1.52,1.12,1.38,"1,193,240","18,476,700"
XVC,"Dec 17, 2017",1.15,1.24,1.12,1.20,"400,876","17,660,000"
XVC,"Dec 16, 2017",1.06,1.17,1.04,1.16,"265,512","16,350,200"
XVC,"Dec 15, 2017",1.09,1.15,1.00,1.06,"365,790","16,818,700"
XVC,"Dec 14, 2017",1.17,1.17,1.02,1.08,"415,171","17,913,900"
XVC,"Dec 13, 2017",1.04,1.25,1.02,1.17,"846,089","15,907,200"
XVC,"Dec 12, 2017",0.941674,1.04,0.931021,1.03,"309,350","14,467,600"
XVC,"Dec 11, 2017",0.899724,1.06,0.895791,0.938660,"156,125","13,822,700"
XVC,"Dec 10, 2017",0.974732,1.00,0.834009,0.906268,"201,146","14,974,800"
XVC,"Dec 09, 2017",0.992744,1.06,0.850750,0.971697,"290,806","15,251,100"
XVC,"Dec 08, 2017",1.13,1.13,0.846046,0.993094,"427,422","17,354,800"
XVC,"Dec 07, 2017",1.09,1.51,1.06,1.15,"1,341,720","16,663,000"
XVC,"Dec 06, 2017",1.07,1.09,0.999099,1.09,"392,426","16,382,700"
XVC,"Dec 05, 2017",1.02,1.14,1.00,1.06,"456,587","15,674,200"
XVC,"Dec 04, 2017",1.05,1.09,0.996282,1.00,"461,965","16,088,700"
XVC,"Dec 03, 2017",1.05,1.16,0.986190,1.04,"748,985","16,081,400"
XVC,"Dec 02, 2017",0.939755,1.31,0.917229,1.08,"1,809,070","14,430,600"
XVC,"Dec 01, 2017",0.838519,1.05,0.787572,0.924651,"956,105","12,876,100"
XVC,"Nov 30, 2017",0.765851,0.922808,0.746362,0.833355,"206,858","11,760,200"
XVC,"Nov 29, 2017",0.797711,1.01,0.736534,0.754266,"433,736","12,249,400"
