symbol,date,open,high,low,close,volume,market_cap
XVG,"Dec 20, 2017",0.078770,0.163700,0.063310,0.143051,"981,665,000","1,135,060,000"
XVG,"Dec 19, 2017",0.059601,0.079966,0.058949,0.078311,"200,742,000","858,594,000"
XVG,"Dec 18, 2017",0.052265,0.060436,0.048062,0.059563,"157,485,000","752,705,000"
XVG,"Dec 17, 2017",0.041717,0.090037,0.041717,0.052139,"591,389,000","600,370,000"
XVG,"Dec 16, 2017",0.018721,0.046954,0.018721,0.040697,"254,115,000","269,341,000"
XVG,"Dec 15, 2017",0.019239,0.020249,0.014960,0.018863,"46,278,500","276,718,000"
XVG,"Dec 14, 2017",0.014517,0.020732,0.013085,0.019107,"85,882,100","208,747,000"
XVG,"Dec 13, 2017",0.009203,0.016603,0.008960,0.014828,"36,652,000","132,294,000"
XVG,"Dec 12, 2017",0.008905,0.009516,0.008588,0.009330,"5,287,600","127,979,000"
XVG,"Dec 11, 2017",0.008212,0.009273,0.008168,0.008766,"4,143,160","117,988,000"
XVG,"Dec 10, 2017",0.008712,0.008712,0.007423,0.008294,"3,091,980","125,143,000"
XVG,"Dec 09, 2017",0.008916,0.009633,0.008002,0.008588,"3,849,740","128,031,000"
XVG,"Dec 08, 2017",0.008677,0.009150,0.007607,0.008793,"5,311,020","124,572,000"
XVG,"Dec 07, 2017",0.007868,0.008847,0.007628,0.008828,"7,877,410","112,922,000"
XVG,"Dec 06, 2017",0.007618,0.008063,0.007106,0.007999,"6,034,820","109,316,000"
XVG,"Dec 05, 2017",0.007919,0.008584,0.007314,0.007733,"6,136,980","113,601,000"
XVG,"Dec 04, 2017",0.006855,0.008185,0.006656,0.007803,"7,735,120","98,308,300"
XVG,"Dec 03, 2017",0.006136,0.007735,0.005979,0.006723,"5,592,120","87,978,200"
XVG,"Dec 02, 2017",0.006202,0.006391,0.005749,0.006140,"2,385,550","88,895,000"
XVG,"Dec 01, 2017",0.005513,0.006246,0.005363,0.006196,"1,803,340","79,002,500"
XVG,"Nov 30, 2017",0.005435,0.006072,0.004783,0.005612,"2,238,420","77,867,500"
XVG,"Nov 29, 2017",0.006324,0.006513,0.005035,0.005435,"3,923,970","90,568,800"
XVG,"Nov 28, 2017",0.006620,0.006710,0.006257,0.006330,"3,405,020","94,785,400"
XVG,"Nov 27, 2017",0.006899,0.007084,0.006479,0.006534,"5,292,330","98,756,200"
XVG,"Nov 26, 2017",0.005764,0.006859,0.005605,0.006802,"3,279,390","82,482,200"
XVG,"Nov 25, 2017",0.005347,0.005656,0.005321,0.005604,"1,972,920","76,503,000"
XVG,"Nov 24, 2017",0.005378,0.005459,0.005093,0.005430,"1,937,470","76,925,500"
XVG,"Nov 23, 2017",0.005754,0.005770,0.005043,0.005385,"4,320,440","82,272,700"
XVG,"Nov 22, 2017",0.006000,0.006080,0.005494,0.005755,"3,124,250","85,767,300"
XVG,"Nov 21, 2017",0.005764,0.006086,0.005460,0.006059,"2,561,260","82,376,800"
XVG,"Nov 20, 2017",0.006120,0.006253,0.005693,0.005693,"3,703,680","87,439,300"
XVG,"Nov 19, 2017",0.006083,0.006616,0.005948,0.006125,"3,189,610","86,881,500"
XVG,"Nov 18, 2017",0.006083,0.006383,0.005904,0.006091,"1,926,720","86,867,200"
XVG,"Nov 17, 2017",0.006360,0.006633,0.005983,0.006100,"2,212,420","90,788,700"
XVG,"Nov 16, 2017",0.006638,0.006644,0.006297,0.006370,"2,973,370","94,741,300"
XVG,"Nov 15, 2017",0.006215,0.006726,0.006160,0.006539,"3,029,220","88,670,700"
XVG,"Nov 14, 2017",0.006143,0.006292,0.005930,0.006213,"2,045,030","87,615,800"
XVG,"Nov 13, 2017",0.005402,0.006404,0.005402,0.006124,"2,525,080","77,032,800"
XVG,"Nov 12, 2017",0.006228,0.006228,0.004982,0.005454,"4,172,140","88,791,200"
XVG,"Nov 11, 2017",0.006444,0.006801,0.006068,0.006238,"2,749,640","91,621,300"
XVG,"Nov 10, 2017",0.007485,0.007717,0.006004,0.006466,"3,987,030","106,391,000"
XVG,"Nov 09, 2017",0.007911,0.007963,0.007360,0.007463,"4,518,290","112,417,000"
XVG,"Nov 08, 2017",0.007399,0.008185,0.006819,0.007851,"10,436,000","105,112,000"
XVG,"Nov 07, 2017",0.007876,0.008613,0.006899,0.007485,"13,530,400","111,852,000"
XVG,"Nov 06, 2017",0.008517,0.009780,0.007915,0.007915,"15,782,700","120,924,000"
XVG,"Nov 05, 2017",0.007701,0.009003,0.007337,0.008470,"9,120,990","109,309,000"
XVG,"Nov 04, 2017",0.007110,0.007957,0.007038,0.007716,"9,060,670","100,900,000"
XVG,"Nov 03, 2017",0.005906,0.007197,0.005877,0.007115,"5,205,730","83,780,400"
XVG,"Nov 02, 2017",0.006201,0.006409,0.005556,0.005913,"4,871,020","87,938,200"
