symbol,date,open,high,low,close,volume,market_cap
XWC,"Dec 20, 2017",0.262779,0.262812,0.229551,0.238260,"2,694,810","65,319,500"
XWC,"Dec 19, 2017",0.255386,0.445895,0.237536,0.262910,"6,155,050","63,481,100"
XWC,"Dec 18, 2017",0.219490,0.255283,0.204712,0.255283,"3,132,530","54,557,800"
XWC,"Dec 17, 2017",0.203655,0.251414,0.198072,0.218836,"632,731","50,621,400"
XWC,"Dec 16, 2017",0.165304,0.225241,0.162565,0.204210,"1,141,430","41,088,200"
XWC,"Dec 15, 2017",0.159354,0.173631,0.151869,0.161877,"317,459","39,609,000"
XWC,"Dec 14, 2017",0.170307,0.174391,0.155827,0.158282,"376,102","42,330,800"
XWC,"Dec 13, 2017",0.146928,0.190408,0.146646,0.170856,"934,318","36,519,400"
XWC,"Dec 12, 2017",0.138943,0.155620,0.134332,0.146971,"522,110","34,534,400"
XWC,"Dec 11, 2017",0.137223,0.160794,0.130859,0.139819,"365,279","34,106,700"
XWC,"Dec 10, 2017",0.138710,0.155023,0.113073,0.138215,"424,025","34,475,900"
XWC,"Dec 09, 2017",0.137370,0.143514,0.115566,0.139669,"221,305","34,142,400"
XWC,"Dec 08, 2017",0.117523,0.176538,0.109197,0.137524,"764,961","29,209,300"
XWC,"Dec 07, 2017",0.161163,0.166432,0.111578,0.116041,"1,463,400","40,055,100"
XWC,"Dec 06, 2017",0.135989,0.169727,0.125605,0.163766,"586,458","33,798,100"
XWC,"Dec 05, 2017",0.134742,0.154663,0.122627,0.137460,"575,603","33,487,900"
XWC,"Dec 04, 2017",0.131168,0.168755,0.123605,0.134710,"1,651,220","32,599,200"
XWC,"Dec 03, 2017",0.087975,0.154464,0.083708,0.129408,"2,240,340","21,864,200"
XWC,"Dec 02, 2017",0.088146,0.098212,0.082986,0.087673,"376,502","21,906,600"
XWC,"Dec 01, 2017",0.070996,0.093324,0.068475,0.088224,"559,761","17,644,200"
XWC,"Nov 30, 2017",0.071854,0.082078,0.064857,0.073543,"402,136","17,857,200"
XWC,"Nov 29, 2017",0.060625,0.078510,0.058787,0.071152,"353,294","15,066,300"
XWC,"Nov 28, 2017",0.061946,0.068324,0.059389,0.060684,"247,430","15,394,600"
XWC,"Nov 27, 2017",0.063360,0.068783,0.060088,0.060911,"222,912","15,745,800"
XWC,"Nov 26, 2017",0.055798,0.064790,0.055648,0.062417,"154,257","13,866,300"
XWC,"Nov 25, 2017",0.051948,0.057297,0.051948,0.055816,"59,862","12,909,400"
XWC,"Nov 24, 2017",0.054583,0.055680,0.052038,0.052053,"67,685","13,564,200"
XWC,"Nov 23, 2017",0.056507,0.057992,0.054122,0.054658,"49,354","14,042,100"
XWC,"Nov 22, 2017",0.055782,0.063637,0.054553,0.056525,"216,670","13,861,700"
XWC,"Nov 21, 2017",0.053740,0.058913,0.052662,0.055646,"93,371","13,354,200"
XWC,"Nov 20, 2017",0.055919,0.058259,0.053048,0.053730,"131,806","13,895,700"
XWC,"Nov 19, 2017",0.059961,0.060498,0.053694,0.056669,"193,223","14,899,900"
XWC,"Nov 18, 2017",0.060725,0.061005,0.055584,0.060073,"271,516","15,089,600"
XWC,"Nov 17, 2017",0.051069,0.073090,0.048470,0.060959,"1,627,920","12,689,900"
XWC,"Nov 16, 2017",0.043964,0.057545,0.043828,0.051153,"188,691","10,924,400"
XWC,"Nov 15, 2017",0.042050,0.045428,0.042050,0.043735,"70,826","10,448,600"
XWC,"Nov 14, 2017",0.043430,0.046312,0.041122,0.042021,"121,573","10,791,500"
XWC,"Nov 13, 2017",0.037397,0.046781,0.036635,0.043338,"123,645","9,292,280"
XWC,"Nov 12, 2017",0.043065,0.043931,0.034717,0.037343,"103,305","10,700,600"
XWC,"Nov 11, 2017",0.041553,0.045995,0.040433,0.043097,"67,003","10,324,700"
XWC,"Nov 10, 2017",0.048975,0.050855,0.038431,0.041702,"112,671","12,168,800"
XWC,"Nov 09, 2017",0.047791,0.052650,0.046659,0.048404,"258,413","11,874,600"
XWC,"Nov 08, 2017",0.048959,0.053653,0.045765,0.047093,"191,598","12,164,500"
XWC,"Nov 07, 2017",0.052192,0.057584,0.047153,0.049113,"250,522","12,967,800"
XWC,"Nov 06, 2017",0.045839,0.058616,0.045160,0.052694,"282,994","11,389,000"
XWC,"Nov 05, 2017",0.050531,0.060999,0.046472,0.046622,"665,347","12,554,700"
XWC,"Nov 04, 2017",0.039776,0.051337,0.039276,0.050183,"241,686","9,882,580"
XWC,"Nov 03, 2017",0.036451,0.043751,0.034725,0.039880,"186,665","9,056,230"
XWC,"Nov 02, 2017",0.034989,0.048575,0.032297,0.036499,"751,905","8,692,900"
XWC,"Nov 01, 2017",0.029964,0.039931,0.029111,0.034950,"392,746","7,444,490"
XWC,"Oct 31, 2017",0.030823,0.033240,0.029271,0.029986,"118,804","7,657,710"
XWC,"Oct 30, 2017",0.026290,0.036835,0.025529,0.031174,"276,685","6,531,510"
XWC,"Oct 29, 2017",0.025031,0.028483,0.024168,0.026444,"74,501","6,218,640"
XWC,"Oct 28, 2017",0.024898,0.027555,0.024305,0.025065,"23,169","6,185,540"
XWC,"Oct 27, 2017",0.026903,0.027290,0.023967,0.024830,"28,067","6,683,500"
XWC,"Oct 26, 2017",0.028041,0.028366,0.026491,0.026896,"19,318","6,966,260"
XWC,"Oct 25, 2017",0.025108,0.027988,0.024642,0.027700,"42,075","6,237,580"
XWC,"Oct 24, 2017",0.022582,0.026791,0.021572,0.025815,"62,586","5,610,040"
XWC,"Oct 23, 2017",0.024754,0.027198,0.022066,0.022750,"30,126","6,149,510"
XWC,"Oct 22, 2017",0.022130,0.031838,0.021058,0.024794,"123,735","5,497,620"
XWC,"Oct 21, 2017",0.025942,0.025983,0.020608,0.022124,"47,628","6,444,490"
XWC,"Oct 20, 2017",0.026127,0.030509,0.025220,0.025997,"152,526","6,490,310"
XWC,"Oct 19, 2017",0.025310,0.026693,0.024905,0.026120,"34,186","6,287,370"
XWC,"Oct 18, 2017",0.025595,0.025736,0.022695,0.025297,"39,349","6,358,120"
XWC,"Oct 17, 2017",0.026468,0.028048,0.024512,0.025594,"88,589","6,574,840"
XWC,"Oct 16, 2017",0.023906,0.030080,0.022470,0.026464,"273,078","5,938,340"
XWC,"Oct 15, 2017",0.021767,0.025772,0.021175,0.023903,"53,835","5,406,880"
XWC,"Oct 14, 2017",0.022170,0.026392,0.020473,0.021728,"205,046","5,507,070"
XWC,"Oct 13, 2017",0.024646,0.027629,0.021103,0.022617,"93,722","6,122,070"
XWC,"Oct 12, 2017",0.024855,0.025872,0.023071,0.024571,"65,940","6,173,860"
XWC,"Oct 11, 2017",0.023480,0.025924,0.021877,0.024834,"96,978","5,832,320"
XWC,"Oct 10, 2017",0.020293,0.025663,0.019231,0.023341,"81,062","5,040,640"
XWC,"Oct 09, 2017",0.021449,0.023805,0.020242,0.020774,"62,250","5,327,630"
XWC,"Oct 08, 2017",0.024218,0.024759,0.020669,0.021260,"75,689","6,015,270"
XWC,"Oct 07, 2017",0.025106,0.025371,0.023577,0.024283,"42,452","6,235,810"
XWC,"Oct 06, 2017",0.023348,0.026105,0.022956,0.025098,"59,719","5,799,090"
XWC,"Oct 05, 2017",0.024822,0.026973,0.023086,0.023348,"227,575","6,165,160"
XWC,"Oct 04, 2017",0.022678,0.026508,0.020893,0.024799,"142,574","5,632,710"
XWC,"Oct 03, 2017",0.025713,0.026116,0.022100,0.022626,"72,520","6,386,250"
XWC,"Oct 02, 2017",0.029353,0.030114,0.025257,0.025712,"93,586","7,290,250"
XWC,"Oct 01, 2017",0.027503,0.028706,0.025554,0.028706,"186,220","6,830,740"
XWC,"Sep 30, 2017",0.029454,0.031477,0.026169,0.027488,"568,479","7,315,380"
XWC,"Sep 29, 2017",0.021387,0.032764,0.018299,0.029159,"1,709,530","5,311,790"
XWC,"Sep 28, 2017",0.023562,0.023562,0.020948,0.021068,"147,443","5,851,800"
XWC,"Sep 27, 2017",0.020376,0.024360,0.019890,0.024318,"263,206","5,060,550"
XWC,"Sep 26, 2017",0.022263,0.023177,0.019915,0.020433,"221,862","5,529,010"
XWC,"Sep 25, 2017",0.024715,0.025249,0.021629,0.022226,"296,618","6,137,980"
XWC,"Sep 24, 2017",0.025383,0.028104,0.023885,0.024667,"148,702","6,303,810"
