symbol,date,open,high,low,close,volume,market_cap
XZC,"Dec 20, 2017",68.41,75.82,57.76,75.82,"22,449,400","252,567,000"
XZC,"Dec 19, 2017",69.62,75.99,65.87,69.07,"18,541,300","256,530,000"
XZC,"Dec 18, 2017",62.69,69.29,59.98,68.85,"15,852,500","230,589,000"
XZC,"Dec 17, 2017",58.63,64.60,58.36,62.53,"10,504,600","215,217,000"
XZC,"Dec 16, 2017",56.87,61.23,55.99,58.50,"11,209,100","208,347,000"
XZC,"Dec 15, 2017",64.77,64.77,50.98,56.31,"14,739,600","236,740,000"
XZC,"Dec 14, 2017",52.04,69.94,51.80,63.64,"26,740,800","189,786,000"
XZC,"Dec 13, 2017",45.09,54.11,44.10,52.15,"13,258,200","164,053,000"
XZC,"Dec 12, 2017",47.13,47.95,43.75,45.22,"7,477,480","171,184,000"
XZC,"Dec 11, 2017",39.22,48.42,39.16,47.19,"7,371,060","142,154,000"
XZC,"Dec 10, 2017",44.40,44.40,37.02,39.41,"4,706,380","160,627,000"
XZC,"Dec 09, 2017",41.50,45.84,40.41,43.70,"7,928,530","149,892,000"
XZC,"Dec 08, 2017",40.53,45.69,38.70,41.46,"7,994,100","146,074,000"
XZC,"Dec 07, 2017",46.96,49.33,35.70,40.74,"13,734,500","168,900,000"
XZC,"Dec 06, 2017",46.92,49.81,42.75,47.17,"14,971,700","168,435,000"
XZC,"Dec 05, 2017",40.28,49.56,38.29,46.96,"16,080,900","144,320,000"
XZC,"Dec 04, 2017",37.50,41.51,35.21,40.35,"9,191,720","134,064,000"
XZC,"Dec 03, 2017",38.06,40.27,35.26,37.71,"5,173,850","135,823,000"
XZC,"Dec 02, 2017",37.67,39.34,36.37,37.99,"5,199,850","134,203,000"
XZC,"Dec 01, 2017",36.69,38.55,33.57,37.90,"6,124,190","130,400,000"
XZC,"Nov 30, 2017",37.91,41.58,31.66,36.59,"6,780,450","134,469,000"
XZC,"Nov 29, 2017",43.01,46.12,35.66,38.19,"13,749,800","152,268,000"
XZC,"Nov 28, 2017",38.07,44.66,36.27,42.84,"13,565,100","134,491,000"
XZC,"Nov 27, 2017",35.44,39.00,33.47,38.06,"8,641,240","124,926,000"
XZC,"Nov 26, 2017",37.20,37.51,34.30,35.68,"5,705,990","130,893,000"
XZC,"Nov 25, 2017",35.99,38.45,35.52,37.41,"8,099,220","126,360,000"
XZC,"Nov 24, 2017",34.99,36.91,32.47,36.24,"6,782,260","122,548,000"
XZC,"Nov 23, 2017",38.46,40.19,33.64,34.91,"10,472,000","134,378,000"
XZC,"Nov 22, 2017",32.18,40.92,31.59,38.50,"29,522,600","112,171,000"
XZC,"Nov 21, 2017",25.76,34.47,23.67,32.35,"14,513,000","89,443,700"
XZC,"Nov 20, 2017",23.35,25.87,23.09,25.82,"2,667,830","81,030,200"
XZC,"Nov 19, 2017",24.26,24.32,22.68,23.14,"1,290,300","84,061,700"
XZC,"Nov 18, 2017",21.97,24.53,21.63,24.34,"2,713,880","75,954,300"
XZC,"Nov 17, 2017",23.14,23.27,20.96,22.04,"2,037,320","79,773,100"
XZC,"Nov 16, 2017",22.24,24.19,21.86,23.16,"3,371,330","76,540,200"
XZC,"Nov 15, 2017",22.95,24.40,21.62,22.22,"4,397,470","78,800,900"
XZC,"Nov 14, 2017",18.71,24.59,18.25,22.85,"10,179,900","64,139,500"
XZC,"Nov 13, 2017",14.29,19.02,14.29,18.98,"4,150,310","48,867,900"
XZC,"Nov 12, 2017",14.91,15.29,12.77,14.08,"1,303,000","50,918,000"
XZC,"Nov 11, 2017",15.05,16.21,14.46,14.94,"784,594","51,257,700"
XZC,"Nov 10, 2017",18.08,18.08,14.04,15.04,"1,577,410","61,430,600"
XZC,"Nov 09, 2017",17.07,18.66,16.23,18.23,"2,701,420","57,888,000"
