symbol,date,open,high,low,close,volume,market_cap
ZSC,"Dec 20, 2017",0.036867,0.039418,0.031855,0.032822,"1,534,640","42,514,400"
ZSC,"Dec 19, 2017",0.040572,0.043634,0.035761,0.036895,"1,961,290","46,785,800"
ZSC,"Dec 18, 2017",0.040587,0.045367,0.033700,0.040559,"2,610,420","46,804,400"
ZSC,"Dec 17, 2017",0.032336,0.041246,0.032137,0.040629,"2,605,480","37,288,500"
ZSC,"Dec 16, 2017",0.033658,0.035842,0.031058,0.032259,"1,907,380","38,813,900"
ZSC,"Dec 15, 2017",0.030188,0.033593,0.027745,0.033593,"1,817,890","34,812,000"
ZSC,"Dec 14, 2017",0.029080,0.032211,0.027020,0.030324,"1,349,010","33,533,700"
ZSC,"Dec 13, 2017",0.038023,0.038859,0.027018,0.029530,"1,076,510","43,847,300"
ZSC,"Dec 12, 2017",0.034434,0.038250,0.031450,0.037998,"1,310,200","39,708,300"
ZSC,"Dec 11, 2017",0.031838,0.034651,0.030714,0.034651,"1,146,570","36,714,700"
ZSC,"Dec 10, 2017",0.035148,0.035148,0.028796,0.031803,"1,526,120","40,531,700"
ZSC,"Dec 09, 2017",0.034013,0.037805,0.030244,0.035038,"1,914,060","39,223,000"
ZSC,"Dec 08, 2017",0.030588,0.034709,0.029486,0.034014,"1,508,260","35,272,900"
ZSC,"Dec 07, 2017",0.032364,0.032943,0.028911,0.030544,"1,814,400","37,321,600"
ZSC,"Dec 06, 2017",0.032299,0.033859,0.030953,0.032476,"1,702,600","37,246,000"
ZSC,"Dec 05, 2017",0.033762,0.035154,0.031757,0.032355,"1,344,500","38,933,400"
ZSC,"Dec 04, 2017",0.033409,0.035562,0.032247,0.033745,"1,666,690","38,526,600"
ZSC,"Dec 03, 2017",0.035891,0.036828,0.032405,0.033348,"1,618,420","41,388,600"
ZSC,"Dec 02, 2017",0.033779,0.036606,0.033779,0.035881,"1,940,770","38,952,600"
ZSC,"Dec 01, 2017",0.025882,0.034340,0.025335,0.033785,"1,364,320","29,846,500"
ZSC,"Nov 30, 2017",0.025901,0.028087,0.023535,0.025945,"839,591","29,842,200"
ZSC,"Nov 29, 2017",0.028171,0.031026,0.024213,0.025574,"957,260","32,457,300"
ZSC,"Nov 28, 2017",0.031215,0.031473,0.027913,0.028148,"1,094,920","35,964,900"
ZSC,"Nov 27, 2017",0.033341,0.035579,0.028439,0.031257,"1,212,120","38,414,700"
ZSC,"Nov 26, 2017",0.035938,0.035938,0.032719,0.033349,"1,138,040","41,406,300"
ZSC,"Nov 25, 2017",0.038401,0.038988,0.034177,0.035937,"1,162,900","44,244,300"
ZSC,"Nov 24, 2017",0.037588,0.041542,0.034627,0.038409,"887,616","43,308,100"
ZSC,"Nov 23, 2017",0.042299,0.043657,0.037485,0.037773,"1,175,470","48,736,100"
ZSC,"Nov 22, 2017",0.042239,0.043207,0.040559,0.042203,"1,233,610","48,667,000"
ZSC,"Nov 21, 2017",0.043223,0.046510,0.041520,0.042185,"1,014,580","49,858,300"
ZSC,"Nov 20, 2017",0.042888,0.046269,0.041349,0.043290,"2,199,500","49,472,600"
ZSC,"Nov 19, 2017",0.045126,0.047330,0.042051,0.042934,"2,175,560","52,054,300"
ZSC,"Nov 18, 2017",0.041172,0.045463,0.040477,0.045243,"723,283","47,492,300"
ZSC,"Nov 17, 2017",0.039315,0.043179,0.039091,0.041234,"498,577","45,351,000"
ZSC,"Nov 16, 2017",0.039578,0.082173,0.038670,0.039343,"1,459,170","45,654,500"
ZSC,"Nov 15, 2017",0.043259,0.043423,0.039236,0.039580,"90,879","49,900,300"
ZSC,"Nov 14, 2017",0.042071,0.044044,0.038305,0.043235,"131,520","48,519,600"
ZSC,"Nov 13, 2017",0.039505,0.043026,0.037343,0.042017,"28,821","45,560,000"
ZSC,"Nov 12, 2017",0.038483,0.041074,0.035819,0.039443,"90,006","44,382,300"
ZSC,"Nov 11, 2017",0.038644,0.041263,0.035630,0.038488,"144,843","44,567,500"
ZSC,"Nov 10, 2017",0.041694,0.044463,0.036540,0.038755,"266,776","48,084,500"
ZSC,"Nov 09, 2017",0.043134,0.044575,0.039960,0.044575,"280,231","49,745,900"
ZSC,"Nov 08, 2017",0.040949,0.044906,0.040785,0.043364,"78,375","47,226,300"
ZSC,"Nov 07, 2017",0.041476,0.045222,0.040419,0.040982,"118,821","47,833,500"
ZSC,"Nov 06, 2017",0.043139,0.046860,0.040305,0.041424,"313,780",-
ZSC,"Nov 05, 2017",0.044942,0.044981,0.040532,0.043089,"52,470",-
ZSC,"Nov 04, 2017",0.045513,0.045513,0.041660,0.044887,"46,289",-
ZSC,"Nov 03, 2017",0.039794,0.046850,0.039794,0.045512,"140,640",-
ZSC,"Nov 02, 2017",0.043505,0.043830,0.039323,0.039618,"112,726",-
ZSC,"Nov 01, 2017",0.042863,0.045633,0.041036,0.043392,"78,356",-
ZSC,"Oct 31, 2017",0.048972,0.049313,0.042936,0.042936,"158,776",-
ZSC,"Oct 30, 2017",0.045685,0.049439,0.045669,0.048953,"314,283",-
ZSC,"Oct 29, 2017",0.041215,0.049237,0.041129,0.045801,"416,842",-
ZSC,"Oct 28, 2017",0.044214,0.046820,0.041113,0.041236,"164,211",-
ZSC,"Oct 27, 2017",0.044341,0.050362,0.041050,0.044167,"275,545",-
ZSC,"Oct 26, 2017",0.041883,0.047069,0.038769,0.044363,"479,472",-
ZSC,"Oct 25, 2017",0.041723,0.047788,0.040754,0.041962,"181,761",-
ZSC,"Oct 24, 2017",0.042563,0.046543,0.041649,0.041687,"159,549",-
ZSC,"Oct 23, 2017",0.044348,0.046685,0.041172,0.042598,"217,380",-
ZSC,"Oct 22, 2017",0.044746,0.050540,0.043836,0.044381,"155,289",-
ZSC,"Oct 21, 2017",0.048198,0.050879,0.044019,0.044642,"194,080",-
ZSC,"Oct 20, 2017",0.046326,0.054490,0.043207,0.048263,"521,084",-
ZSC,"Oct 19, 2017",0.040773,0.052062,0.040321,0.046292,"447,824",-
ZSC,"Oct 18, 2017",0.029296,0.044409,0.028616,0.043749,"323,715",-
ZSC,"Oct 17, 2017",0.033461,0.035624,0.028454,0.029322,"118,863",-
ZSC,"Oct 16, 2017",0.033735,0.034580,0.030345,0.033406,"35,654",-
ZSC,"Oct 15, 2017",0.033919,0.037236,0.030292,0.033662,"69,240",-
ZSC,"Oct 14, 2017",0.033850,0.037806,0.033386,0.033822,"63,652",-
ZSC,"Oct 13, 2017",0.033870,0.033897,0.030230,0.033819,"95,286",-
